Date,Barclays Capital
2009-10-01,76
2009-10-02,84
2009-10-03,82
2009-10-04,82
2009-10-05,83
2009-10-06,84
2009-10-07,85
2009-10-08,86
2009-10-09,87
2009-10-10,90
2009-10-11,87
2009-10-12,87
2009-10-13,87
2009-10-14,86
2009-10-15,86
2009-10-16,89
2009-10-17,86
2009-10-18,87
2009-10-19,88
2009-10-20,95
2009-10-21,90
2009-10-22,91
2009-10-23,97
2009-10-24,93
2009-10-25,92
2009-10-26,91
2009-10-27,90
2009-10-28,95
2009-10-29,88
2009-10-30,87
2009-10-31,92
2009-11-01,84
2009-11-02,82
2009-11-03,80
2009-11-04,79
2009-11-05,81
2009-11-06,75
2009-11-07,74
2009-11-08,76
2009-11-09,79
2009-11-10,84
2009-11-11,84
2009-11-12,87
2009-11-13,90
2009-11-14,93
2009-11-15,92
2009-11-16,91
2009-11-17,91
2009-11-18,96
2009-11-19,94
2009-11-20,89
2009-11-21,93
2009-11-22,89
2009-11-23,89
2009-11-24,89
2009-11-25,97
2009-11-26,90
2009-11-27,92
2009-11-28,95
2009-11-29,88
2009-11-30,86
2009-12-01,83
2009-12-02,81
2009-12-03,84
2009-12-04,76
2009-12-05,74
2009-12-06,73
2009-12-07,72
2009-12-08,72
2009-12-09,70
2009-12-10,69
2009-12-11,71
2009-12-12,68
2009-12-13,68
2009-12-14,68
2009-12-15,72
2009-12-16,69
2009-12-17,69
2009-12-18,70
2009-12-19,70
2009-12-20,68
2009-12-21,66
2009-12-22,67
2009-12-23,63
2009-12-24,61
2009-12-25,59
2009-12-26,58
2009-12-27,59
2009-12-28,60
2009-12-29,61
2009-12-30,62
2009-12-31,63
2010-01-01,64
2010-01-02,66
2010-01-03,70
2010-01-04,75
2010-01-05,81
2010-01-06,86
2010-01-07,90
2010-01-08,97
2010-01-09,100
2010-01-10,97
2010-01-11,95
2010-01-12,96
2010-01-13,90
2010-01-14,88
2010-01-15,86
2010-01-16,89
2010-01-17,83
2010-01-18,83
2010-01-19,83
2010-01-20,86
2010-01-21,83
2010-01-22,83
2010-01-23,83
2010-01-24,82
2010-01-25,81
2010-01-26,80
2010-01-27,83
2010-01-28,78
2010-01-29,78
2010-01-30,77
2010-01-31,78
2010-02-01,80
2010-02-02,87
2010-02-03,90
2010-02-04,86
2010-02-05,93
2010-02-06,90
2010-02-07,87
2010-02-08,85
2010-02-09,90
2010-02-10,84
2010-02-11,79
2010-02-12,78
2010-02-13,75
2010-02-14,77
2010-02-15,79
2010-02-16,81
2010-02-17,89
2010-02-18,87
2010-02-19,87
2010-02-20,90
2010-02-21,89
2010-02-22,88
2010-02-23,87
2010-02-24,88
2010-02-25,86
2010-02-26,92
2010-02-27,85
2010-02-28,81
2010-03-01,77
2010-03-02,73
2010-03-03,69
2010-03-04,65
2010-03-05,61
2010-03-06,60
2010-03-07,58
2010-03-08,59
2010-03-09,60
2010-03-10,62
2010-03-11,60
2010-03-12,62
2010-03-13,62
2010-03-14,63
2010-03-15,64
2010-03-16,69
2010-03-17,67
2010-03-18,76
2010-03-19,70
2010-03-20,72
2010-03-21,71
2010-03-22,70
2010-03-23,73
2010-03-24,70
2010-03-25,69
2010-03-26,68
2010-03-27,69
2010-03-28,67
2010-03-29,67
2010-03-30,68
2010-03-31,66
2010-04-01,65
2010-04-02,65
2010-04-03,65
2010-04-04,67
2010-04-05,70
2010-04-06,79
2010-04-07,76
2010-04-08,83
2010-04-09,82
2010-04-10,85
2010-04-11,81
2010-04-12,77
2010-04-13,76
2010-04-14,69
2010-04-15,65
2010-04-16,61
2010-04-17,57
2010-04-18,58
2010-04-19,60
2010-04-20,62
2010-04-21,68
2010-04-22,69
2010-04-23,68
2010-04-24,70
2010-04-25,72
2010-04-26,75
2010-04-27,77
2010-04-28,80
2010-04-29,82
2010-04-30,85
2010-05-01,88
2010-05-02,88
2010-05-03,88
2010-05-04,93
2010-05-05,90
2010-05-06,89
2010-05-07,89
2010-05-08,94
2010-05-09,90
2010-05-10,90
2010-05-11,90
2010-05-12,91
2010-05-13,95
2010-05-14,95
2010-05-15,92
2010-05-16,89
2010-05-17,87
2010-05-18,87
2010-05-19,82
2010-05-20,80
2010-05-21,78
2010-05-22,76
