Date,Goldman Sachs
2010-12-01,19
2010-12-02,20
2010-12-03,19
2010-12-04,21
2010-12-05,20
2010-12-06,20
2010-12-07,21
2010-12-08,21
2010-12-09,22
2010-12-10,23
2010-12-11,22
2010-12-12,21
2010-12-13,20
2010-12-14,19
2010-12-15,18
2010-12-16,18
2010-12-17,16
2010-12-18,16
2010-12-19,15
2010-12-20,15
2010-12-21,15
2010-12-22,15
2010-12-23,14
2010-12-24,14
2010-12-25,14
2010-12-26,14
2010-12-27,14
2010-12-28,14
2010-12-29,15
2010-12-30,14
2010-12-31,15
2011-01-01,15
2011-01-02,16
2011-01-03,18
2011-01-04,19
2011-01-05,21
2011-01-06,23
2011-01-07,24
2011-01-08,28
2011-01-09,25
2011-01-10,24
2011-01-11,24
2011-01-12,25
2011-01-13,23
2011-01-14,22
2011-01-15,23
2011-01-16,24
2011-01-17,26
2011-01-18,28
2011-01-19,30
2011-01-20,35
2011-01-21,35
2011-01-22,40
2011-01-23,35
2011-01-24,33
2011-01-25,31
2011-01-26,29
2011-01-27,29
2011-01-28,25
2011-01-29,23
2011-01-30,23
2011-01-31,23
2011-02-01,21
2011-02-02,20
2011-02-03,20
2011-02-04,21
2011-02-05,19
2011-02-06,18
2011-02-07,18
2011-02-08,18
2011-02-09,19
2011-02-10,19
2011-02-11,18
2011-02-12,19
2011-02-13,18
2011-02-14,17
2011-02-15,17
2011-02-16,17
2011-02-17,18
2011-02-18,17
2011-02-19,17
2011-02-20,17
2011-02-21,17
2011-02-22,17
2011-02-23,18
2011-02-24,20
2011-02-25,18
2011-02-26,19
2011-02-27,19
2011-02-28,19
2011-03-01,19
2011-03-02,19
2011-03-03,20
2011-03-04,19
2011-03-05,20
2011-03-06,18
2011-03-07,18
2011-03-08,18
2011-03-09,19
2011-03-10,18
2011-03-11,18
2011-03-12,18
2011-03-13,17
2011-03-14,17
2011-03-15,18
2011-03-16,17
2011-03-17,17
2011-03-18,17
2011-03-19,17
2011-03-20,17
2011-03-21,17
2011-03-22,19
2011-03-23,17
2011-03-24,18
2011-03-25,18
2011-03-26,18
2011-03-27,17
2011-03-28,17
2011-03-29,17
2011-03-30,17
2011-03-31,17
2011-04-01,18
2011-04-02,17
2011-04-03,17
2011-04-04,17
2011-04-05,17
2011-04-06,17
2011-04-07,17
2011-04-08,17
2011-04-09,18
2011-04-10,18
2011-04-11,19
2011-04-12,20
2011-04-13,21
2011-04-14,22
2011-04-15,24
2011-04-16,27
2011-04-17,26
2011-04-18,25
2011-04-19,25
2011-04-20,27
2011-04-21,25
2011-04-22,27
2011-04-23,25
2011-04-24,23
2011-04-25,22
2011-04-26,21
2011-04-27,21
2011-04-28,19
2011-04-29,19
2011-04-30,18
2011-05-01,16
2011-05-02,16
2011-05-03,15
2011-05-04,16
2011-05-05,14
2011-05-06,14
2011-05-07,14
2011-05-08,14
2011-05-09,14
2011-05-10,14
2011-05-11,16
2011-05-12,15
2011-05-13,15
2011-05-14,17
2011-05-15,16
2011-05-16,16
2011-05-17,16
2011-05-18,16
2011-05-19,16
2011-05-20,18
2011-05-21,17
2011-05-22,17
2011-05-23,18
2011-05-24,18
2011-05-25,20
2011-05-26,19
2011-05-27,22
2011-05-28,21
2011-05-29,20
2011-05-30,22
2011-05-31,20
2011-06-01,20
2011-06-02,20
2011-06-03,22
2011-06-04,20
2011-06-05,20
2011-06-06,18
2011-06-07,18
2011-06-08,17
2011-06-09,16
2011-06-10,16
2011-06-11,15
2011-06-12,15
2011-06-13,15
2011-06-14,15
2011-06-15,15
2011-06-16,16
2011-06-17,15
2011-06-18,16
2011-06-19,15
2011-06-20,15
2011-06-21,15
2011-06-22,15
2011-06-23,16
2011-06-24,15
2011-06-25,15
2011-06-26,15
2011-06-27,15
2011-06-28,16
2011-06-29,16
2011-06-30,16
2011-07-01,19
2011-07-02,17
2011-07-03,16
2011-07-04,15
2011-07-05,14
2011-07-06,14
2011-07-07,13
2011-07-08,13
2011-07-09,12
2011-07-10,12
2011-07-11,13
2011-07-12,14
2011-07-13,15
2011-07-14,15
2011-07-15,16
2011-07-16,19
2011-07-17,18
2011-07-18,20
2011-07-19,21
2011-07-20,26
2011-07-21,25
2011-07-22,26
2011-07-23,30
2011-07-24,26
2011-07-25,24
2011-07-26,24
2011-07-27,21
2011-07-28,20
2011-07-29,18
2011-07-30,18
2011-07-31,17
2011-08-01,17
2011-08-02,17
2011-08-03,17
2011-08-04,17
2011-08-05,18
2011-08-06,17
2011-08-07,17
2011-08-08,18
2011-08-09,20
2011-08-10,19
2011-08-11,19
2011-08-12,22
2011-08-13,22
2011-08-14,20
2011-08-15,20
2011-08-16,20
2011-08-17,19
2011-08-18,18
2011-08-19,18
2011-08-20,20
2011-08-21,19
2011-08-22,20
2011-08-23,21
2011-08-24,24
2011-08-25,23
2011-08-26,26
2011-08-27,27
2011-08-28,25
2011-08-29,23
2011-08-30,22
2011-08-31,21
2011-09-01,20
2011-09-02,19
2011-09-03,21
2011-09-04,18
2011-09-05,18
2011-09-06,17
2011-09-07,17
2011-09-08,17
2011-09-09,16
2011-09-10,16
2011-09-11,16
2011-09-12,16
2011-09-13,17
2011-09-14,18
2011-09-15,17
2011-09-16,18
2011-09-17,18
2011-09-18,18
2011-09-19,18
2011-09-20,19
2011-09-21,18
2011-09-22,18
2011-09-23,18
2011-09-24,19
2011-09-25,19
2011-09-26,21
2011-09-27,22
2011-09-28,24
2011-09-29,27
2011-09-30,29
2011-10-01,30
2011-10-02,28
2011-10-03,28
2011-10-04,28
2011-10-05,29
2011-10-06,28
2011-10-07,28
2011-10-08,29
2011-10-09,28
2011-10-10,27
2011-10-11,26
2011-10-12,26
2011-10-13,27
2011-10-14,25
2011-10-15,25
2011-10-16,28
2011-10-17,27
2011-10-18,28
2011-10-19,31
2011-10-20,35
2011-10-21,32
2011-10-22,35
2011-10-23,33
2011-10-24,30
2011-10-25,28
2011-10-26,26
2011-10-27,24
2011-10-28,23
2011-10-29,20
2011-10-30,22
2011-10-31,20
2011-11-01,21
2011-11-02,22
2011-11-03,22
2011-11-04,23
2011-11-05,23
2011-11-06,24
2011-11-07,22
2011-11-08,21
2011-11-09,22
2011-11-10,20
2011-11-11,21
2011-11-12,21
2011-11-13,20
2011-11-14,20
