Date,Deutsche Bank
2007-06-01,35
2007-06-02,35
2007-06-03,34
2007-06-04,33
2007-06-05,33
2007-06-06,32
2007-06-07,31
2007-06-08,30
2007-06-09,30
2007-06-10,31
2007-06-11,32
2007-06-12,33
2007-06-13,34
2007-06-14,39
2007-06-15,36
2007-06-16,38
2007-06-17,37
2007-06-18,37
2007-06-19,37
2007-06-20,39
2007-06-21,36
2007-06-22,39
2007-06-23,36
2007-06-24,35
2007-06-25,35
2007-06-26,35
2007-06-27,36
2007-06-28,34
2007-06-29,37
2007-06-30,34
2007-07-01,34
2007-07-02,34
2007-07-03,34
2007-07-04,35
2007-07-05,34
2007-07-06,37
2007-07-07,35
2007-07-08,35
2007-07-09,35
2007-07-10,36
2007-07-11,36
2007-07-12,37
2007-07-13,38
2007-07-14,38
2007-07-15,37
2007-07-16,36
2007-07-17,35
2007-07-18,36
2007-07-19,36
2007-07-20,33
2007-07-21,33
2007-07-22,33
2007-07-23,33
2007-07-24,33
2007-07-25,35
2007-07-26,33
2007-07-27,33
2007-07-28,35
2007-07-29,35
2007-07-30,37
2007-07-31,40
2007-08-01,41
2007-08-02,46
2007-08-03,45
2007-08-04,49
2007-08-05,45
2007-08-06,43
2007-08-07,41
2007-08-08,40
2007-08-09,41
2007-08-10,36
2007-08-11,35
2007-08-12,35
2007-08-13,35
2007-08-14,36
2007-08-15,36
2007-08-16,35
2007-08-17,35
2007-08-18,38
2007-08-19,37
2007-08-20,37
2007-08-21,39
2007-08-22,42
2007-08-23,40
2007-08-24,41
2007-08-25,42
2007-08-26,41
2007-08-27,41
2007-08-28,42
2007-08-29,40
2007-08-30,42
2007-08-31,40
2007-09-01,40
2007-09-02,40
2007-09-03,40
2007-09-04,44
2007-09-05,41
2007-09-06,40
2007-09-07,40
2007-09-08,46
2007-09-09,39
2007-09-10,38
2007-09-11,37
2007-09-12,36
2007-09-13,35
2007-09-14,34
2007-09-15,34
2007-09-16,33
2007-09-17,34
2007-09-18,34
2007-09-19,36
2007-09-20,35
2007-09-21,38
2007-09-22,37
2007-09-23,37
2007-09-24,38
2007-09-25,43
2007-09-26,40
2007-09-27,41
2007-09-28,42
2007-09-29,47
2007-09-30,42
2007-10-01,41
2007-10-02,43
2007-10-03,43
2007-10-04,38
2007-10-05,37
2007-10-06,40
2007-10-07,38
2007-10-08,39
2007-10-09,44
2007-10-10,42
2007-10-11,43
2007-10-12,46
2007-10-13,46
2007-10-14,45
2007-10-15,45
2007-10-16,46
2007-10-17,44
2007-10-18,44
2007-10-19,47
2007-10-20,46
2007-10-21,43
2007-10-22,42
2007-10-23,45
2007-10-24,41
2007-10-25,41
2007-10-26,40
2007-10-27,43
