Date,Citigroup
2003-12-01,0
2003-12-02,0
2003-12-03,0
2003-12-04,0
2003-12-05,0
2003-12-06,0
2003-12-07,0
2003-12-08,0
2003-12-09,0
2003-12-10,0
2003-12-11,0
2003-12-12,0
2003-12-13,0
2003-12-14,0
2003-12-15,0
2003-12-16,0
2003-12-17,0
2003-12-18,0
2003-12-19,0
2003-12-20,0
2003-12-21,0
2003-12-22,0
2003-12-23,0
2003-12-24,0
2003-12-25,0
2003-12-26,0
2003-12-27,0
2003-12-28,0
2003-12-29,0
2003-12-30,0
2003-12-31,0
2004-01-01,0
2004-01-02,0
2004-01-03,0
2004-01-04,0
2004-01-05,0
2004-01-06,0
2004-01-07,0
2004-01-08,0
2004-01-09,0
2004-01-10,0
2004-01-11,0
2004-01-12,0
2004-01-13,0
2004-01-14,0
2004-01-15,0
2004-01-16,0
2004-01-17,0
2004-01-18,0
2004-01-19,0
2004-01-20,0
2004-01-21,0
2004-01-22,0
2004-01-23,0
2004-01-24,0
2004-01-25,0
2004-01-26,0
2004-01-27,0
2004-01-28,0
2004-01-29,0
2004-01-30,0
2004-01-31,0
2004-02-01,0
2004-02-02,0
2004-02-03,0
2004-02-04,0
2004-02-05,0
2004-02-06,0
2004-02-07,0
2004-02-08,0
2004-02-09,0
2004-02-10,0
2004-02-11,0
2004-02-12,0
2004-02-13,0
2004-02-14,0
2004-02-15,0
2004-02-16,0
2004-02-17,0
2004-02-18,0
2004-02-19,0
2004-02-20,0
2004-02-21,0
2004-02-22,0
2004-02-23,0
2004-02-24,0
2004-02-25,0
2004-02-26,0
2004-02-27,0
2004-02-28,0
2004-02-29,0
2004-03-01,0
2004-03-02,0
2004-03-03,0
2004-03-04,0
2004-03-05,0
2004-03-06,0
2004-03-07,0
2004-03-08,0
2004-03-09,0
2004-03-10,0
2004-03-11,0
2004-03-12,0
2004-03-13,0
2004-03-14,0
2004-03-15,0
2004-03-16,0
2004-03-17,0
2004-03-18,0
2004-03-19,0
2004-03-20,0
2004-03-21,0
2004-03-22,13
2004-03-23,26
2004-03-24,39
2004-03-25,52
2004-03-26,65
2004-03-27,78
2004-03-28,91
2004-03-29,91
2004-03-30,92
2004-03-31,92
2004-04-01,93
2004-04-02,93
2004-04-03,94
2004-04-04,95
2004-04-05,95
2004-04-06,96
2004-04-07,97
2004-04-08,97
2004-04-09,98
2004-04-10,99
2004-04-11,100
2004-04-12,97
2004-04-13,95
2004-04-14,92
2004-04-15,90
2004-04-16,87
2004-04-17,85
2004-04-18,83
2004-04-19,79
2004-04-20,75
2004-04-21,71
2004-04-22,67
2004-04-23,63
2004-04-24,59
2004-04-25,55
2004-04-26,55
2004-04-27,55
2004-04-28,55
2004-04-29,55
2004-04-30,55
2004-05-01,55
2004-05-02,55
2004-05-03,55
2004-05-04,56
2004-05-05,56
2004-05-06,57
2004-05-07,57
2004-05-08,58
2004-05-09,59
2004-05-10,63
2004-05-11,67
2004-05-12,71
2004-05-13,75
2004-05-14,79
2004-05-15,83
2004-05-16,87
2004-05-17,74
2004-05-18,62
2004-05-19,49
2004-05-20,37
2004-05-21,24
2004-05-22,12
2004-05-23,0
2004-05-24,0
2004-05-25,0
2004-05-26,0
2004-05-27,0
2004-05-28,0
2004-05-29,0
2004-05-30,0
2004-05-31,0
2004-06-01,0
2004-06-02,0
2004-06-03,0
2004-06-04,0
2004-06-05,0
2004-06-06,0
2004-06-07,0
2004-06-08,0
2004-06-09,0
2004-06-10,0
2004-06-11,0
2004-06-12,0
2004-06-13,0
2004-06-14,9
2004-06-15,19
2004-06-16,29
2004-06-17,38
2004-06-18,48
2004-06-19,58
2004-06-20,68
2004-06-21,69
2004-06-22,71
2004-06-23,72
2004-06-24,74
2004-06-25,75
2004-06-26,77
2004-06-27,79
2004-06-28,80
2004-06-29,81
2004-06-30,83
2004-07-01,84
2004-07-02,86
2004-07-03,87
2004-07-04,89
2004-07-05,90
2004-07-06,92
2004-07-07,93
2004-07-08,95
2004-07-09,96
2004-07-10,98
2004-07-11,100
2004-07-12,95
2004-07-13,91
2004-07-14,87
2004-07-15,83
2004-07-16,79
2004-07-17,75
2004-07-18,71
2004-07-19,71
2004-07-20,71
2004-07-21,71
2004-07-22,71
2004-07-23,71
2004-07-24,71
2004-07-25,71
2004-07-26,71
2004-07-27,71
2004-07-28,71
2004-07-29,71
2004-07-30,71
2004-07-31,71
2004-08-01,71
2004-08-02,71
2004-08-03,71
2004-08-04,71
2004-08-05,72
2004-08-06,72
2004-08-07,72
2004-08-08,73
2004-08-09,73
2004-08-10,73
2004-08-11,73
2004-08-12,74
2004-08-13,74
2004-08-14,74
2004-08-15,75
2004-08-16,64
2004-08-17,53
2004-08-18,42
2004-08-19,32
2004-08-20,21
2004-08-21,10
2004-08-22,0
2004-08-23,0
2004-08-24,0
2004-08-25,0
2004-08-26,0
2004-08-27,0
2004-08-28,0
2004-08-29,0
2004-08-30,0
2004-08-31,0
2004-09-01,0
2004-09-02,0
2004-09-03,0
2004-09-04,0
2004-09-05,0
2004-09-06,6
2004-09-07,12
2004-09-08,18
2004-09-09,25
2004-09-10,31
2004-09-11,37
2004-09-12,44
2004-09-13,44
2004-09-14,44
2004-09-15,44
2004-09-16,44
2004-09-17,44
2004-09-18,44
2004-09-19,44
2004-09-20,44
2004-09-21,45
2004-09-22,45
2004-09-23,46
2004-09-24,46
2004-09-25,47
2004-09-26,48
2004-09-27,53
2004-09-28,59
2004-09-29,65
2004-09-30,70
2004-10-01,76
2004-10-02,82
2004-10-03,88
2004-10-04,86
2004-10-05,84
2004-10-06,82
2004-10-07,81
2004-10-08,79
2004-10-09,77
2004-10-10,76
2004-10-11,76
2004-10-12,76
2004-10-13,76
2004-10-14,76
2004-10-15,76
2004-10-16,76
2004-10-17,76
2004-10-18,71
2004-10-19,67
2004-10-20,63
2004-10-21,58
2004-10-22,54
2004-10-23,50
2004-10-24,46
2004-10-25,46
2004-10-26,46
2004-10-27,46
2004-10-28,46
2004-10-29,46
2004-10-30,46
2004-10-31,46
2004-11-01,49
2004-11-02,53
2004-11-03,57
2004-11-04,61
2004-11-05,65
2004-11-06,69
2004-11-07,73
2004-11-08,76
2004-11-09,80
2004-11-10,84
2004-11-11,88
2004-11-12,92
2004-11-13,96
2004-11-14,100
2004-11-15,94
2004-11-16,88
2004-11-17,82
2004-11-18,76
2004-11-19,70
2004-11-20,64
2004-11-21,59
2004-11-22,50
2004-11-23,42
2004-11-24,33
2004-11-25,25
2004-11-26,16
2004-11-27,8
2004-11-28,0
2004-11-29,0
2004-11-30,0
2004-12-01,0
2004-12-02,0
2004-12-03,0
2004-12-04,0
2004-12-05,0
2004-12-06,8
2004-12-07,17
2004-12-08,26
2004-12-09,35
2004-12-10,44
2004-12-11,53
2004-12-12,62
2004-12-13,64
2004-12-14,66
2004-12-15,69
2004-12-16,71
2004-12-17,74
2004-12-18,76
2004-12-19,79
2004-12-20,74
2004-12-21,70
2004-12-22,66
2004-12-23,62
2004-12-24,58
2004-12-25,54
2004-12-26,50
2004-12-27,50
2004-12-28,50
2004-12-29,50
2004-12-30,50
2004-12-31,50
2005-01-01,50
2005-01-02,50
2005-01-03,56
2005-01-04,62
2005-01-05,69
2005-01-06,75
2005-01-07,82
2005-01-08,88
2005-01-09,95
2005-01-10,93
2005-01-11,92
2005-01-12,90
2005-01-13,89
2005-01-14,87
2005-01-15,86
2005-01-16,85
2005-01-17,82
2005-01-18,80
2005-01-19,78
2005-01-20,76
2005-01-21,74
2005-01-22,72
2005-01-23,70
2005-01-24,72
