Date,HSBC
2006-02-05,47
2006-02-06,48
2006-02-07,49
2006-02-08,49
2006-02-09,50
2006-02-10,51
2006-02-11,52
2006-02-12,54
2006-02-13,56
2006-02-14,58
2006-02-15,60
2006-02-16,62
2006-02-17,64
2006-02-18,66
2006-02-19,63
2006-02-20,60
2006-02-21,57
2006-02-22,54
2006-02-23,51
2006-02-24,48
2006-02-25,45
2006-02-26,44
2006-02-27,43
2006-02-28,43
2006-03-01,42
2006-03-02,42
2006-03-03,41
2006-03-04,41
2006-03-05,42
2006-03-06,43
2006-03-07,44
2006-03-08,45
2006-03-09,46
2006-03-10,47
2006-03-11,48
2006-03-12,48
2006-03-13,49
2006-03-14,49
2006-03-15,50
2006-03-16,51
2006-03-17,51
2006-03-18,52
2006-03-19,50
2006-03-20,47
2006-03-21,45
2006-03-22,43
2006-03-23,41
2006-03-24,39
2006-03-25,37
2006-03-26,39
2006-05-07,42
2006-05-08,45
2006-05-09,46
2006-05-10,48
2006-05-11,50
2006-05-12,52
2006-05-13,54
2006-05-14,52
2006-05-15,49
2006-05-16,47
2006-05-17,45
2006-05-18,43
2006-05-19,41
2006-05-20,39
2006-05-21,39
2006-05-22,39
2006-05-23,39
2006-05-24,39
2006-05-25,39
2006-05-26,39
2006-05-27,40
2006-05-28,41
2006-05-29,44
2006-05-30,46
2006-05-31,47
2006-06-01,49
2006-06-02,51
2006-06-03,53
2006-06-04,51
2006-06-05,48
2006-06-06,46
2006-06-07,44
2006-06-08,42
2006-06-09,40
2006-06-10,38
2006-06-11,36
2006-06-12,35
2006-06-13,33
2006-06-14,32
2006-06-15,30
2006-06-16,29
2006-06-17,28
2006-06-18,30
2006-06-19,32
2006-06-20,34
2006-06-21,36
2006-06-22,38
2006-06-23,40
2006-06-24,42
2006-06-25,42
2006-06-26,41
2006-06-27,41
2006-06-28,41
2006-06-29,41
2006-06-30,41
2006-07-01,41
2006-07-02,43
2006-07-03,46
2006-07-04,48
2006-07-05,51
2006-07-06,53
2006-07-07,55
2006-07-08,58
2006-07-09,54
2006-07-10,50
2006-07-11,47
2006-07-12,43
2006-07-13,40
2006-07-14,36
2006-07-15,33
2006-07-16,35
2006-07-17,37
2006-07-18,39
2006-07-19,41
2006-07-20,43
2006-07-21,45
2006-07-22,47
2006-07-23,47
2006-07-24,47
2006-07-25,47
2006-07-26,47
2006-07-27,48
2006-07-28,48
2006-07-29,48
2006-07-30,47
2006-08-06,41
2006-08-07,40
2006-08-08,40
2006-08-09,39
2006-08-10,39
2006-08-11,38
2006-08-12,38
2006-08-13,40
2006-08-14,42
2006-08-15,44
2006-08-16,47
2006-08-17,49
2006-08-18,51
2006-08-19,54
2006-08-20,54
2006-08-21,55
2006-08-22,56
2006-08-23,57
2006-08-24,57
2006-08-25,58
2006-08-26,59
2006-08-27,54
2006-08-28,49
2006-08-29,45
2006-08-30,41
2006-08-31,37
2006-09-01,33
2006-09-02,29
2006-09-03,31
2006-09-04,34
2006-09-05,36
2006-09-06,39
2006-09-07,41
2006-09-08,44
2006-09-09,47
2006-09-10,46
2006-09-11,46
2006-09-12,46
2006-09-13,45
2006-09-14,45
2006-09-15,44
2006-09-16,44
2006-09-17,43
2006-09-18,41
2006-09-19,40
2006-09-20,38
2006-09-21,37
2006-09-22,36
2006-09-23,35
2006-09-24,36
2006-09-25,38
2006-09-26,39
2006-09-27,41
2006-09-28,42
2006-09-29,44
2006-09-30,45
2006-10-01,43
2006-10-02,41
2006-10-03,39
2006-10-04,37
2006-10-05,35
2006-10-06,33
2006-10-07,32
2006-10-08,35
2006-10-09,40
2006-10-10,43
2006-10-11,47
2006-10-12,51
2006-10-13,55
2006-10-14,59
