Date,Piper Jaffray
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,2
2009-08-03,5
2009-08-04,8
2009-08-05,11
2009-08-06,13
2009-08-07,16
2009-08-08,19
2009-08-09,22
2009-08-10,24
2009-08-11,27
2009-08-12,30
2009-08-13,33
2009-08-14,36
2009-08-15,38
2009-08-16,41
2009-08-17,44
2009-08-18,47
2009-08-19,49
2009-08-20,52
2009-08-21,55
2009-08-22,58
2009-08-23,61
2009-08-24,63
2009-08-25,66
2009-08-26,69
2009-08-27,72
2009-08-28,74
2009-08-29,77
2009-08-30,80
2009-08-31,83
2009-09-01,86
2009-09-02,86
2009-09-03,86
2009-09-04,86
2009-09-05,86
2009-09-06,86
2009-09-07,86
2009-09-08,86
2009-09-09,86
2009-09-10,86
2009-09-11,86
2009-09-12,86
2009-09-13,86
2009-09-14,86
2009-09-15,86
2009-09-16,86
2009-09-17,86
2009-09-18,86
2009-09-19,86
2009-09-20,86
2009-09-21,86
2009-09-22,86
2009-09-23,86
2009-09-24,86
2009-09-25,86
2009-09-26,86
2009-09-27,86
2009-09-28,86
2009-09-29,86
2009-09-30,86
2009-10-01,86
2009-10-02,86
2009-10-03,86
2009-10-04,86
2009-10-05,86
2009-10-06,86
2009-10-07,86
2009-10-08,86
2009-10-09,86
2009-10-10,86
2009-10-11,86
2009-10-12,86
2009-10-13,86
2009-10-14,86
2009-10-15,86
2009-10-16,86
2009-10-17,86
2009-10-18,86
2009-10-19,86
2009-10-20,86
2009-10-21,86
2009-10-22,86
2009-10-23,86
2009-10-24,86
2009-10-25,86
2009-10-26,86
2009-10-27,86
2009-10-28,86
2009-10-29,86
2009-10-30,86
2009-10-31,86
2009-11-01,87
2009-11-02,87
2009-11-03,87
2009-11-04,87
2009-11-05,87
2009-11-06,87
2009-11-07,87
2009-11-08,87
2009-11-09,87
2009-11-10,87
2009-11-11,87
2009-11-12,87
2009-11-13,87
2009-11-14,87
2009-11-15,87
2009-11-16,87
2009-11-17,87
2009-11-18,87
2009-11-19,87
2009-11-20,87
2009-11-21,87
2009-11-22,87
2009-11-23,87
2009-11-24,87
2009-11-25,87
2009-11-26,87
2009-11-27,87
2009-11-28,87
2009-11-29,87
2009-11-30,87
2009-12-01,88
2009-12-02,88
2009-12-03,88
2009-12-04,88
2009-12-05,88
2009-12-06,88
2009-12-07,88
2009-12-08,88
2009-12-09,88
2009-12-10,88
2009-12-11,88
2009-12-12,88
2009-12-13,88
2009-12-14,88
2009-12-15,88
2009-12-16,88
2009-12-17,88
2009-12-18,88
2009-12-19,88
2009-12-20,88
2009-12-21,88
2009-12-22,88
2009-12-23,88
2009-12-24,88
2009-12-25,88
2009-12-26,88
2009-12-27,88
2009-12-28,88
2009-12-29,88
2009-12-30,88
2009-12-31,88
2010-01-01,88
2010-01-02,88
2010-01-03,88
2010-01-04,89
2010-01-05,89
2010-01-06,89
2010-01-07,90
2010-01-08,90
2010-01-09,91
2010-01-10,91
2010-01-11,91
2010-01-12,92
2010-01-13,92
2010-01-14,93
2010-01-15,93
2010-01-16,93
2010-01-17,94
2010-01-18,94
2010-01-19,94
2010-01-20,95
2010-01-21,95
2010-01-22,96
2010-01-23,96
2010-01-24,96
2010-01-25,97
2010-01-26,97
2010-01-27,98
2010-01-28,98
2010-01-29,98
2010-01-30,99
2010-01-31,99
2010-02-01,100
2010-02-02,96
2010-02-03,92
2010-02-04,89
2010-02-05,85
2010-02-06,82
2010-02-07,78
2010-02-08,75
2010-02-09,71
2010-02-10,67
2010-02-11,64
2010-02-12,60
2010-02-13,57
2010-02-14,53
2010-02-15,50
2010-02-16,46
2010-02-17,42
2010-02-18,39
2010-02-19,35
2010-02-20,32
2010-02-21,28
2010-02-22,25
2010-02-23,21
2010-02-24,17
2010-02-25,14
2010-02-26,10
2010-02-27,7
2010-02-28,3
2010-03-01,0
2010-03-02,0
2010-03-03,0
2010-03-04,0
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,0
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,0
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
