Date,Legg Mason
2005-01-02,32
2005-01-03,36
2005-01-04,40
2005-01-05,43
2005-01-06,47
2005-01-07,50
2005-01-08,54
2005-01-09,51
2005-01-10,48
2005-01-11,45
2005-01-12,42
2005-01-13,39
2005-01-14,36
2005-01-15,33
2005-01-16,31
2005-01-17,30
2005-01-18,28
2005-01-19,27
2005-01-20,25
2005-01-21,24
2005-01-22,23
2005-01-23,26
2005-01-24,29
2005-01-25,32
2005-01-26,36
2005-01-27,39
2005-01-28,42
2005-01-29,46
2005-01-30,44
2005-01-31,43
2005-02-01,42
2005-02-02,40
2005-02-03,39
2005-02-04,37
2005-02-05,36
2005-02-06,34
2005-02-07,32
2005-02-08,30
2005-02-09,28
2005-02-10,26
2005-02-11,25
2005-02-12,23
2005-02-13,23
2005-02-14,24
2005-02-15,25
2005-02-16,25
2005-02-17,26
2005-02-18,27
2005-02-19,28
2005-02-20,27
2005-02-21,26
2005-02-22,25
2005-02-23,24
2005-02-24,23
2005-02-25,22
2005-02-26,22
2005-02-27,23
2005-02-28,25
2005-03-01,27
2005-03-02,28
2005-03-03,30
2005-03-04,32
2005-03-05,34
2005-03-06,31
2005-03-07,29
2005-03-08,27
2005-03-09,24
2005-03-10,22
2005-03-11,20
2005-03-12,18
2005-03-13,20
2005-03-14,22
2005-03-15,24
2005-03-16,26
2005-03-17,28
2005-03-18,30
2005-03-19,33
2005-03-20,34
2005-03-21,35
2005-03-22,36
2005-03-23,37
2005-03-24,38
2005-03-25,40
2005-03-26,41
2005-03-27,39
2005-04-03,30
2005-04-04,38
2005-04-05,29
2005-04-06,28
2005-04-07,28
2005-04-08,27
2005-04-09,27
2005-04-10,30
2005-04-11,33
2005-04-12,37
2005-04-13,40
2005-04-14,43
2005-04-15,46
2005-04-16,50
2005-04-17,46
2005-04-18,43
2005-04-19,40
2005-04-20,36
2005-04-21,33
2005-04-22,30
2005-04-23,27
2005-04-24,29
2005-04-25,31
2005-04-26,33
2005-04-27,35
2005-04-28,37
2005-04-29,39
2005-04-30,42
2005-05-01,40
2005-05-02,38
2005-05-03,36
2005-05-04,35
2005-05-05,33
2005-05-06,31
2005-05-07,29
2005-05-08,29
2005-05-09,29
2005-05-10,29
2005-05-11,29
2005-05-12,29
2005-05-13,29
2005-05-14,29
2005-05-15,27
2005-05-16,26
2005-05-17,25
2005-05-18,23
2005-05-19,22
2005-05-20,21
2005-05-21,20
2005-05-22,23
2005-05-23,26
2005-05-24,29
2005-05-25,32
2005-05-26,35
2005-05-27,38
2005-05-28,42
2005-05-29,41
2005-05-30,41
2005-05-31,41
2005-06-01,40
2005-06-02,40
2005-06-03,40
2005-06-04,40
2005-06-05,40
2005-06-06,41
2005-06-07,42
2005-06-08,43
2005-06-09,44
2005-06-10,45
2005-06-11,46
2005-06-12,48
2005-06-13,50
2005-06-14,52
2005-06-15,55
2005-06-16,57
2005-06-17,59
2005-06-18,62
2005-06-19,67
2005-06-20,73
2005-06-21,78
2005-06-22,84
2005-06-23,89
2005-06-24,94
2005-06-25,100
2005-06-26,98
2005-07-03,77
2005-07-04,70
2005-07-05,63
2005-07-06,57
2005-07-07,50
2005-07-08,43
2005-07-09,37
2005-07-10,37
2005-07-11,38
2005-07-12,39
2005-07-13,40
2005-07-14,40
2005-07-15,41
2005-07-16,42
2005-07-17,40
2005-07-18,39
2005-07-19,38
2005-07-20,36
2005-07-21,35
2005-07-22,34
2005-07-23,33
2005-07-24,36
2005-07-25,39
2005-07-26,42
2005-07-27,45
2005-07-28,48
2005-07-29,51
2005-07-30,54
2005-07-31,59
2005-08-01,65
2005-08-02,71
2005-08-03,76
2005-08-04,82
2005-08-05,88
2005-08-06,94
2005-08-07,86
2005-08-08,73
2005-08-09,65
2005-08-10,56
2005-08-11,48
2005-08-12,39
2005-08-13,31
2005-08-14,30
2005-08-15,30
2005-08-16,30
2005-08-17,29
2005-08-18,29
2005-08-19,29
2005-08-20,29
2005-08-21,29
2005-08-22,29
2005-08-23,30
2005-08-24,30
2005-08-25,30
2005-08-26,31
2005-08-27,31
2005-08-28,30
2005-08-29,30
2005-08-30,29
2005-08-31,29
2005-09-01,28
2005-09-02,28
2005-09-03,28
2005-09-04,28
2005-09-05,29
2005-09-06,30
2005-09-07,31
2005-09-08,31
2005-09-09,32
2005-09-10,33
2005-09-11,31
2005-09-12,30
2005-09-13,29
2005-09-14,28
2005-09-15,26
2005-09-16,25
2005-09-17,24
2005-09-18,24
2005-09-19,24
2005-09-20,24
2005-09-21,24
2005-09-22,24
2005-09-23,24
2005-09-24,24
2005-09-25,25
2005-10-02,31
2005-10-03,30
2005-10-04,29
2005-10-05,28
2005-10-06,27
2005-10-07,26
2005-10-08,25
2005-10-09,24
2005-10-10,23
2005-10-11,22
2005-10-12,21
2005-10-13,20
2005-10-14,19
2005-10-15,18
2005-10-16,19
2005-10-17,21
2005-10-18,23
2005-10-19,24
2005-10-20,26
2005-10-21,28
2005-10-22,30
2005-10-23,30
2005-10-24,30
2005-10-25,30
2005-10-26,30
2005-10-27,30
2005-10-28,30
2005-10-29,30
2005-10-30,29
2005-10-31,29
2005-11-01,29
2005-11-02,28
2005-11-03,28
2005-11-04,27
2005-11-05,27
2005-11-06,27
2005-11-07,27
2005-11-08,27
2005-11-09,27
2005-11-10,27
2005-11-11,27
2005-11-12,28
2005-11-13,29
2005-11-14,31
2005-11-15,33
2005-11-16,35
2005-11-17,36
2005-11-18,38
2005-11-19,40
2005-11-20,38
2005-11-21,36
2005-11-22,34
2005-11-23,33
2005-11-24,31
2005-11-25,29
2005-11-26,28
2005-11-27,29
2005-11-28,31
2005-11-29,33
2005-11-30,35
2005-12-01,37
2005-12-02,39
2005-12-03,41
2005-12-04,39
2005-12-05,37
2005-12-06,36
2005-12-07,34
2005-12-08,33
2005-12-09,31
2005-12-10,30
2005-12-11,30
2005-12-12,31
2005-12-13,32
2005-12-14,33
2005-12-15,34
2005-12-16,35
2005-12-17,36
2005-12-18,34
2005-12-19,33
2005-12-20,32
2005-12-21,30
2005-12-22,29
2005-12-23,28
2005-12-24,27
2005-12-25,26
2006-01-01,25
2006-01-02,28
