Date,JPMorgan Chase
2011-04-01,15
2011-04-02,15
2011-04-03,15
2011-04-04,15
2011-04-05,16
2011-04-06,16
2011-04-07,17
2011-04-08,19
2011-04-09,18
2011-04-10,19
2011-04-11,20
2011-04-12,22
2011-04-13,23
2011-04-14,25
2011-04-15,26
2011-04-16,27
2011-04-17,25
2011-04-18,24
2011-04-19,22
2011-04-20,21
2011-04-21,20
2011-04-22,19
2011-04-23,17
2011-04-24,16
2011-04-25,16
2011-04-26,16
2011-04-27,17
2011-04-28,16
2011-04-29,16
2011-04-30,17
2011-05-01,15
2011-05-02,15
2011-05-03,15
2011-05-04,16
2011-05-05,14
2011-05-06,14
2011-05-07,14
2011-05-08,13
2011-05-09,13
2011-05-10,13
2011-05-11,13
2011-05-12,12
2011-05-13,12
2011-05-14,12
2011-05-15,12
2011-05-16,12
2011-05-17,12
2011-05-18,12
2011-05-19,12
2011-05-20,12
2011-05-21,12
2011-05-22,12
2011-05-23,12
2011-05-24,13
2011-05-25,14
2011-05-26,13
2011-05-27,14
2011-05-28,14
2011-05-29,13
2011-05-30,13
2011-05-31,13
2011-06-01,13
2011-06-02,13
2011-06-03,13
2011-06-04,13
2011-06-05,13
2011-06-06,13
2011-06-07,13
2011-06-08,13
2011-06-09,13
2011-06-10,13
2011-06-11,13
2011-06-12,13
2011-06-13,13
2011-06-14,14
2011-06-15,14
2011-06-16,14
2011-06-17,14
2011-06-18,15
2011-06-19,15
2011-06-20,15
2011-06-21,15
2011-06-22,15
2011-06-23,15
2011-06-24,15
2011-06-25,15
2011-06-26,15
2011-06-27,15
2011-06-28,16
2011-06-29,19
2011-06-30,17
2011-07-01,17
2011-07-02,18
2011-07-03,18
2011-07-04,18
2011-07-05,18
2011-07-06,19
2011-07-07,18
2011-07-08,18
2011-07-09,19
2011-07-10,18
2011-07-11,19
2011-07-12,19
2011-07-13,20
2011-07-14,20
2011-07-15,22
2011-07-16,23
2011-07-17,21
2011-07-18,20
2011-07-19,20
2011-07-20,20
2011-07-21,19
2011-07-22,20
2011-07-23,18
2011-07-24,17
2011-07-25,17
2011-07-26,17
2011-07-27,16
2011-07-28,16
2011-07-29,15
2011-07-30,16
2011-07-31,15
2011-08-01,15
2011-08-02,15
2011-08-03,16
2011-08-04,16
2011-08-05,17
2011-08-06,18
2011-08-07,18
2011-08-08,19
2011-08-09,22
2011-08-10,22
2011-08-11,24
2011-08-12,24
2011-08-13,27
2011-08-14,24
2011-08-15,22
2011-08-16,22
2011-08-17,19
2011-08-18,18
2011-08-19,16
2011-08-20,16
2011-08-21,16
2011-08-22,18
2011-08-23,19
2011-08-24,21
2011-08-25,25
2011-08-26,25
2011-08-27,26
2011-08-28,24
2011-08-29,22
2011-08-30,22
2011-08-31,19
2011-09-01,17
2011-09-02,15
2011-09-03,15
2011-09-04,14
2011-09-05,14
2011-09-06,14
2011-09-07,14
2011-09-08,14
2011-09-09,14
2011-09-10,14
2011-09-11,14
2011-09-12,14
2011-09-13,14
2011-09-14,14
2011-09-15,14
2011-09-16,14
2011-09-17,14
2011-09-18,14
2011-09-19,16
2011-09-20,16
2011-09-21,16
2011-09-22,17
2011-09-23,18
2011-09-24,20
2011-09-25,18
2011-09-26,18
2011-09-27,18
2011-09-28,18
2011-09-29,18
2011-09-30,18
2011-10-01,18
2011-10-02,18
2011-10-03,18
2011-10-04,18
2011-10-05,19
2011-10-06,18
2011-10-07,20
2011-10-08,20
2011-10-09,20
2011-10-10,22
2011-10-11,23
2011-10-12,25
2011-10-13,26
2011-10-14,31
2011-10-15,32
2011-10-16,28
2011-10-17,27
2011-10-18,26
2011-10-19,26
2011-10-20,23
2011-10-21,22
2011-10-22,23
2011-10-23,20
2011-10-24,19
2011-10-25,20
2011-10-26,18
2011-10-27,17
2011-10-28,17
2011-10-29,16
2011-10-30,17
2011-10-31,18
2011-11-01,19
2011-11-02,20
2011-11-03,22
2011-11-04,22
2011-11-05,24
2011-11-06,22
2011-11-07,22
2011-11-08,21
2011-11-09,23
2011-11-10,20
2011-11-11,21
2011-11-12,21
2011-11-13,20
2011-11-14,19
2011-11-15,19
2011-11-16,19
2011-11-17,18
2011-11-18,18
2011-11-19,19
2011-11-20,17
2011-11-21,17
2011-11-22,16
2011-11-23,16
2011-11-24,16
2011-11-25,15
2011-11-26,16
2011-11-27,15
2011-11-28,15
2011-11-29,16
2011-11-30,16
2011-12-01,17
2011-12-02,18
2011-12-03,20
2011-12-04,17
2011-12-05,17
2011-12-06,17
2011-12-07,18
2011-12-08,17
2011-12-09,17
2011-12-10,17
2011-12-11,16
2011-12-12,16
2011-12-13,16
2011-12-14,15
2011-12-15,16
2011-12-16,14
2011-12-17,14
2011-12-18,13
2011-12-19,13
2011-12-20,13
2011-12-21,13
2011-12-22,12
2011-12-23,12
2011-12-24,12
2011-12-25,11
2011-12-26,10
2011-12-27,10
