Date,Merrill Lynch
2005-04-03,58
2005-04-04,71
2005-04-05,55
2005-04-06,54
2005-04-07,52
2005-04-08,51
2005-04-09,50
2005-04-10,50
2005-04-11,50
2005-04-12,50
2005-04-13,50
2005-04-14,50
2005-04-15,50
2005-04-16,50
2005-04-17,50
2005-04-18,51
2005-04-19,52
2005-04-20,53
2005-04-21,53
2005-04-22,54
2005-04-23,55
2005-04-24,54
2005-04-25,53
2005-04-26,52
2005-04-27,52
2005-04-28,51
2005-04-29,50
2005-04-30,50
2005-05-01,52
2005-05-02,54
2005-05-03,56
2005-05-04,58
2005-05-05,60
2005-05-06,62
2005-05-07,64
2005-05-08,63
2005-05-09,63
2005-05-10,62
2005-05-11,62
2005-05-12,61
2005-05-13,60
2005-05-14,60
2005-05-15,58
2005-05-16,56
2005-05-17,55
2005-05-18,53
2005-05-19,52
2005-05-20,50
2005-05-21,49
2005-05-22,49
2005-05-23,50
2005-05-24,51
2005-05-25,51
2005-05-26,52
2005-05-27,53
2005-05-28,54
2005-05-29,52
2005-05-30,51
2005-05-31,50
2005-06-01,49
2005-06-02,48
2005-06-03,47
2005-06-04,46
2005-06-05,49
2005-06-06,52
2005-06-07,55
2005-06-08,58
2005-06-09,61
2005-06-10,64
2005-06-11,67
2005-06-12,63
2005-06-13,58
2005-06-14,54
2005-06-15,50
2005-06-16,46
2005-06-17,42
2005-06-18,38
2005-06-19,40
2005-06-20,42
2005-06-21,44
2005-06-22,47
2005-06-23,49
2005-06-24,51
2005-06-25,54
2005-06-26,56
2005-07-03,70
2005-07-04,71
2005-07-05,72
2005-07-06,73
2005-07-07,74
2005-07-08,75
2005-07-09,76
2005-07-10,76
2005-07-11,78
2005-07-12,79
2005-07-13,80
2005-07-14,81
2005-07-15,81
2005-07-16,82
2005-07-17,85
2005-07-18,87
2005-07-19,90
2005-07-20,92
2005-07-21,95
2005-07-22,97
2005-07-23,100
2005-07-24,93
2005-07-25,85
2005-07-26,78
2005-07-27,71
2005-07-28,64
2005-07-29,57
2005-07-30,50
2005-07-31,52
2005-08-01,55
2005-08-02,58
2005-08-03,61
2005-08-04,63
2005-08-05,66
2005-08-06,69
2005-08-07,66
2005-08-08,63
2005-08-09,60
2005-08-10,57
2005-08-11,54
2005-08-12,51
2005-08-13,49
2005-08-14,49
2005-08-15,49
2005-08-16,49
2005-08-17,49
2005-08-18,49
2005-08-19,49
2005-08-20,49
2005-08-21,48
2005-08-22,47
2005-08-23,46
2005-08-24,45
2005-08-25,44
2005-08-26,43
2005-08-27,42
2005-08-28,42
2005-08-29,43
2005-08-30,43
2005-08-31,44
2005-09-01,44
2005-09-02,45
2005-09-03,46
2005-09-04,45
2005-09-05,45
2005-09-06,45
2005-09-07,45
2005-09-08,45
2005-09-09,45
2005-09-10,45
2005-09-11,46
2005-09-12,48
2005-09-13,49
2005-09-14,51
2005-09-15,53
2005-09-16,54
2005-09-17,56
2005-09-18,56
2005-09-19,55
2005-09-20,55
2005-09-21,55
2005-09-22,54
2005-09-23,54
2005-09-24,54
2005-09-25,51
2005-10-02,36
2005-10-03,41
2005-10-04,46
2005-10-05,51
2005-10-06,56
2005-10-07,61
2005-10-08,65
2005-10-09,61
2005-10-10,55
2005-10-11,51
2005-10-12,46
2005-10-13,41
2005-10-14,36
2005-10-15,32
2005-10-16,33
2005-10-17,34
2005-10-18,35
2005-10-19,36
2005-10-20,37
2005-10-21,38
2005-10-22,40
2005-10-23,41
2005-10-24,42
2005-10-25,43
2005-10-26,44
2005-10-27,45
2005-10-28,46
2005-10-29,47
2005-10-30,51
2005-10-31,55
2005-11-01,59
2005-11-02,63
2005-11-03,67
2005-11-04,71
2005-11-05,75
2005-11-06,74
2005-11-07,73
2005-11-08,72
2005-11-09,71
2005-11-10,70
2005-11-11,69
2005-11-12,68
2005-11-13,64
2005-11-14,58
2005-11-15,54
2005-11-16,49
2005-11-17,45
2005-11-18,40
2005-11-19,36
2005-11-20,39
2005-11-21,42
2005-11-22,45
2005-11-23,48
2005-11-24,51
2005-11-25,54
2005-11-26,57
2005-11-27,60
2005-11-28,64
2005-11-29,67
2005-11-30,70
2005-12-01,73
2005-12-02,76
2005-12-03,80
2005-12-04,74
2005-12-05,66
2005-12-06,60
