Date,Credit Suisse
2012-11-01,68
2012-11-02,62
2012-11-03,56
2012-11-04,58
2012-11-05,61
2012-11-06,66
2012-11-07,66
2012-11-08,69
2012-11-09,72
2012-11-10,75
2012-11-11,74
2012-11-12,73
2012-11-13,72
2012-11-14,71
2012-11-15,74
2012-11-16,69
2012-11-17,68
2012-11-18,68
2012-11-19,68
2012-11-20,73
2012-11-21,68
2012-11-22,68
2012-11-23,68
2012-11-24,71
2012-11-25,68
2012-11-26,67
2012-11-27,66
2012-11-28,66
2012-11-29,64
2012-11-30,65
2012-12-01,62
2012-12-02,63
2012-12-03,64
2012-12-04,65
2012-12-05,66
2012-12-06,71
2012-12-07,68
2012-12-08,70
2012-12-09,69
2012-12-10,68
2012-12-11,68
2012-12-12,67
2012-12-13,67
2012-12-14,66
2012-12-15,72
2012-12-16,65
2012-12-17,64
2012-12-18,63
2012-12-19,63
2012-12-20,62
2012-12-21,61
2012-12-22,61
2012-12-23,57
2012-12-24,54
2012-12-25,50
2012-12-26,47
2012-12-27,43
2012-12-28,41
2012-12-29,37
2012-12-30,37
2012-12-31,38
2013-01-01,39
2013-01-02,39
2013-01-03,40
2013-01-04,41
2013-01-05,42
2013-01-06,47
2013-01-07,52
2013-01-08,58
2013-01-09,63
2013-01-10,71
2013-01-11,75
2013-01-12,80
2013-01-13,77
2013-01-14,75
2013-01-15,72
2013-01-16,75
2013-01-17,69
2013-01-18,65
2013-01-19,64
2013-01-20,62
2013-01-21,61
2013-01-22,60
2013-01-23,60
2013-01-24,58
2013-01-25,57
2013-01-26,56
2013-01-27,59
2013-01-28,62
2013-01-29,65
2013-01-30,75
2013-01-31,72
2013-02-01,75
2013-02-02,81
2013-02-03,80
2013-02-04,82
2013-02-05,85
2013-02-06,85
2013-02-07,87
2013-02-08,101
2013-02-09,96
2013-02-10,85
2013-02-11,80
2013-02-12,75
2013-02-13,72
2013-02-14,64
2013-02-15,59
2013-02-16,54
2013-02-17,57
2013-02-18,60
2013-02-19,64
2013-02-20,66
2013-02-21,69
2013-02-22,74
2013-02-23,75
2013-02-24,71
2013-02-25,68
2013-02-26,64
2013-02-27,61
2013-02-28,58
2013-03-01,54
2013-03-02,51
2013-03-03,52
2013-03-04,54
2013-03-05,56
2013-03-06,58
2013-03-07,62
2013-03-08,62
2013-03-09,65
2013-03-10,63
2013-03-11,62
2013-03-12,62
2013-03-13,66
2013-03-14,61
2013-03-15,60
2013-03-16,60
2013-03-17,60
2013-03-18,60
2013-03-19,61
2013-03-20,60
2013-03-21,66
2013-03-22,60
2013-03-23,60
2013-03-24,56
2013-03-25,52
2013-03-26,48
2013-03-27,45
2013-03-28,41
2013-03-29,37
2013-03-30,34
2013-03-31,35
2013-05-01,63
2013-05-02,63
2013-05-03,64
2013-05-04,67
2013-05-05,64
2013-05-06,64
2013-05-07,64
2013-05-08,64
2013-05-09,63
2013-05-10,62
2013-05-11,62
2013-05-12,61
2013-05-13,60
2013-05-14,63
2013-05-15,59
2013-05-16,59
2013-05-17,58
2013-05-18,58
2013-05-19,57
2013-05-20,56
2013-05-21,56
2013-05-22,55
2013-05-23,58
2013-05-24,54
2013-05-25,54
2013-05-26,53
2013-05-27,52
2013-05-28,51
2013-05-29,52
2013-05-30,50
2013-05-31,49
2013-06-01,49
2013-06-02,51
2013-06-03,53
2013-06-04,57
2013-06-05,59
2013-06-06,59
2013-06-07,61
2013-06-08,63
2013-06-09,61
2013-06-10,59
2013-06-11,57
2013-06-12,55
2013-06-13,56
2013-06-14,51
2013-06-15,50
2013-06-16,50
2013-06-17,50
2013-06-18,50
2013-06-19,50
2013-06-20,50
2013-06-21,50
2013-06-22,52
2013-06-23,48
2013-06-24,47
2013-06-25,45
2013-06-26,44
2013-06-27,42
2013-06-28,41
2013-06-29,40
2013-06-30,41
2013-07-01,43
2013-07-02,44
2013-07-03,46
2013-07-04,48
2013-07-05,49
2013-07-06,51
2013-07-07,50
2013-07-08,49
2013-07-09,49
2013-07-10,48
2013-07-11,48
2013-07-12,49
2013-07-13,47
2013-07-14,46
2013-07-15,46
2013-07-16,46
2013-07-17,46
2013-07-18,46
2013-07-19,46
2013-07-20,46
2013-07-21,49
2013-07-22,53
2013-07-23,57
2013-07-24,61
2013-07-25,65
2013-07-26,70
2013-07-27,77
2013-07-28,69
2013-07-29,65
2013-07-30,62
2013-07-31,61
2013-08-01,55
2013-08-02,51
2013-08-03,48
2013-08-04,49
2013-08-05,50
2013-08-06,51
2013-08-07,56
2013-08-08,54
2013-08-09,55
2013-08-10,57
2013-08-11,54
2013-08-12,51
2013-08-13,48
2013-08-14,46
2013-08-15,43
2013-08-16,40
2013-08-17,38
2013-08-18,41
2013-08-19,44
2013-08-20,47
2013-08-21,54
2013-08-22,53
2013-08-23,56
2013-08-24,59
2013-08-25,58
2013-08-26,57
2013-08-27,56
2013-08-28,55
2013-08-29,54
2013-08-30,53
2013-08-31,52
2013-09-01,51
2013-09-02,50
2013-09-03,49
2013-09-04,48
2013-09-05,47
2013-09-06,46
2013-09-07,45
2013-09-08,47
2013-09-09,50
2013-09-10,53
2013-09-11,55
2013-09-12,57
2013-09-13,64
2013-09-14,63
2013-09-15,61
2013-09-16,60
2013-09-17,61
2013-09-18,57
2013-09-19,55
2013-09-20,57
2013-09-21,53
2013-09-22,52
2013-09-23,51
2013-09-24,50
2013-09-25,49
2013-09-26,48
2013-09-27,47
2013-09-28,46
2013-09-29,46
2013-09-30,47
2013-10-01,47
2013-10-02,48
2013-10-03,48
2013-10-04,49
2013-10-05,50
2013-10-06,54
2013-10-07,58
2013-10-08,62
2013-10-09,68
2013-10-10,70
2013-10-11,77
2013-10-12,79
2013-10-13,77
2013-10-14,75
2013-10-15,73
2013-10-16,71
2013-10-17,69
2013-10-18,69
2013-10-19,66
2013-10-20,67
2013-10-21,69
2013-10-22,75
2013-10-23,72
2013-10-24,73
2013-10-25,77
2013-10-26,77
2013-10-27,74
2013-10-28,72
2013-10-29,74
2013-10-30,67
2013-10-31,66
2013-11-01,63
2013-11-02,61
2013-11-03,61
2013-11-04,61
2013-11-05,68
2013-11-06,61
2013-11-07,61
2013-11-08,61
2013-11-09,61
2013-11-10,61
2013-11-11,62
2013-11-12,63
2013-11-13,70
2013-11-14,65
2013-11-15,67
2013-11-16,67
2013-11-17,67
2013-11-18,67
2013-11-19,67
2013-11-20,71
2013-11-21,67
2013-11-22,67
2013-11-23,68
2013-11-24,67
2013-11-25,66
2013-11-26,65
2013-11-27,64
2013-11-28,63
2013-11-29,62
2013-11-30,61
2013-12-01,61
2013-12-02,61
2013-12-03,67
2013-12-04,64
2013-12-05,62
2013-12-06,62
2013-12-07,64
2013-12-08,62
2013-12-09,61
2013-12-10,61
2013-12-11,61
2013-12-12,65
2013-12-13,59
2013-12-14,59
2013-12-15,56
2013-12-16,54
2013-12-17,52
2013-12-18,50
2013-12-19,48
2013-12-20,46
2013-12-21,44
2013-12-22,43
2013-12-23,42
2013-12-24,45
2013-12-25,41
2013-12-26,41
2013-12-27,40
2013-12-28,40
2013-12-29,40
2013-12-30,41
2013-12-31,42
2014-01-01,42
2014-01-02,42
2014-01-03,43
2014-01-04,44
2014-01-05,47
2014-01-06,50
2014-01-07,56
2014-01-08,56
2014-01-09,59
2014-01-10,62
2014-01-11,65
2014-01-12,64
2014-01-13,63
2014-01-14,66
2014-01-15,62
2014-01-16,64
2014-01-17,60
2014-01-18,60
2014-01-19,60
2014-01-20,61
2014-01-21,63
2014-01-22,66
2014-01-23,64
2014-01-24,65
2014-01-25,66
2014-01-26,65
2014-01-27,65
2014-01-28,69
2014-01-29,65
2014-01-30,65
2014-01-31,65
2014-02-01,65
2014-02-02,65
2014-02-03,70
2014-02-04,65
2014-02-05,66
2014-02-06,66
2014-02-07,68
2014-02-08,69
2014-02-09,67
2014-02-10,68
2014-02-11,69
2014-02-12,73
2014-02-13,70
2014-02-14,71
2014-02-15,73
2014-02-16,70
2014-02-17,68
2014-02-18,67
2014-02-19,66
2014-02-20,64
2014-02-21,62
2014-02-22,61
2014-02-23,62
2014-02-24,63
2014-02-25,64
2014-02-26,66
2014-02-27,74
2014-02-28,70
