Date,Lehman Brothers
2006-11-05,1
2006-11-06,1
2006-11-07,1
2006-11-08,1
2006-11-09,1
2006-11-10,1
2006-11-11,2
2006-11-12,2
2006-11-13,2
2006-11-14,2
2006-11-15,2
2006-11-16,2
2006-11-17,2
2006-11-18,2
2006-11-19,2
2006-11-20,2
2006-11-21,2
2006-11-22,2
2006-11-23,2
2006-11-24,2
2006-11-25,2
2006-11-26,2
2006-11-27,2
2006-11-28,2
2006-11-29,2
2006-11-30,2
2006-12-01,2
2006-12-02,2
2006-12-03,2
2006-12-04,2
2006-12-05,2
2006-12-06,2
2006-12-07,2
2006-12-08,2
2006-12-09,2
2006-12-10,1
2006-12-11,1
2006-12-12,1
2006-12-13,1
2006-12-14,1
2006-12-15,1
2006-12-16,1
2006-12-17,1
2006-12-18,1
2006-12-19,1
2006-12-20,1
2006-12-21,1
2006-12-22,1
2006-12-23,2
2006-12-24,1
2006-12-25,1
2006-12-26,1
2006-12-27,1
2006-12-28,1
2006-12-29,1
2006-12-30,1
2006-12-31,1
2007-01-01,1
2007-01-02,1
2007-01-03,1
2007-01-04,1
2007-01-05,1
2007-01-06,1
2007-01-07,1
2007-01-08,1
2007-01-09,1
2007-01-10,1
2007-01-11,1
2007-01-12,1
2007-01-13,1
2007-01-14,1
2007-01-15,1
2007-01-16,1
2007-01-17,1
2007-01-18,1
2007-01-19,1
2007-01-20,1
2007-01-21,1
2007-01-22,1
2007-01-23,1
2007-01-24,1
2007-01-25,1
2007-01-26,1
2007-01-27,1
2007-01-28,1
2007-02-04,1
2007-02-05,1
2007-02-06,1
2007-02-07,1
2007-02-08,1
2007-02-09,1
2007-02-10,1
2007-02-11,1
2007-02-12,1
2007-02-13,1
2007-02-14,1
2007-02-15,1
2007-02-16,1
2007-02-17,1
2007-02-18,1
2007-02-19,1
2007-02-20,1
2007-02-21,1
2007-02-22,1
2007-02-23,1
2007-02-24,2
2007-02-25,1
2007-02-26,1
2007-02-27,1
2007-02-28,1
2007-03-01,1
2007-03-02,1
2007-03-03,1
2007-03-04,1
2007-03-05,1
2007-03-06,1
2007-03-07,1
2007-03-08,1
2007-03-09,1
2007-03-10,1
2007-03-11,1
2007-03-12,2
2007-03-13,2
2007-03-14,3
2007-03-15,3
2007-03-16,4
2007-03-17,5
2007-03-18,4
2007-03-19,3
2007-03-20,3
2007-03-21,2
2007-03-22,2
2007-03-23,1
2007-03-24,1
2007-03-25,1
2007-05-06,1
2007-05-07,1
