Date,Wachovia
2006-11-05,3
2006-11-06,3
2006-11-07,3
2006-11-08,3
2006-11-09,3
2006-11-10,3
2006-11-11,3
2006-11-12,3
2006-11-13,3
2006-11-14,3
2006-11-15,3
2006-11-16,3
2006-11-17,3
2006-11-18,3
2006-11-19,3
2006-11-20,3
2006-11-21,3
2006-11-22,3
2006-11-23,3
2006-11-24,3
2006-11-25,3
2006-11-26,3
2006-11-27,3
2006-11-28,3
2006-11-29,3
2006-11-30,3
2006-12-01,3
2006-12-02,3
2006-12-03,3
2006-12-04,3
2006-12-05,3
2006-12-06,3
2006-12-07,3
2006-12-08,3
2006-12-09,3
2006-12-10,3
2006-12-11,3
2006-12-12,3
2006-12-13,3
2006-12-14,3
2006-12-15,3
2006-12-16,3
2006-12-17,2
2006-12-18,2
2006-12-19,2
2006-12-20,2
2006-12-21,2
2006-12-22,2
2006-12-23,2
2006-12-24,2
2006-12-25,2
2006-12-26,2
2006-12-27,2
2006-12-28,2
2006-12-29,2
2006-12-30,2
2006-12-31,2
2007-01-01,2
2007-01-02,2
2007-01-03,2
2007-01-04,2
2007-01-05,2
2007-01-06,3
2007-01-07,2
2007-01-08,2
2007-01-09,2
2007-01-10,2
2007-01-11,2
2007-01-12,2
2007-01-13,2
2007-01-14,2
2007-01-15,2
2007-01-16,2
2007-01-17,2
2007-01-18,2
2007-01-19,2
2007-01-20,3
2007-01-21,3
2007-01-22,3
2007-01-23,3
2007-01-24,3
2007-01-25,3
2007-01-26,3
2007-01-27,4
2007-01-28,3
2007-02-04,2
2007-02-05,2
2007-02-06,2
2007-02-07,3
2007-02-08,3
2007-02-09,3
2007-02-10,4
2007-02-11,3
2007-02-12,3
2007-02-13,3
2007-02-14,3
2007-02-15,3
2007-02-16,3
2007-02-17,3
2007-02-18,3
2007-02-19,3
2007-02-20,3
2007-02-21,3
2007-02-22,3
2007-02-23,3
2007-02-24,3
2007-02-25,3
2007-02-26,3
2007-02-27,3
2007-02-28,3
2007-03-01,3
2007-03-02,3
2007-03-03,4
2007-03-04,3
2007-03-05,3
2007-03-06,3
2007-03-07,3
2007-03-08,3
2007-03-09,3
2007-03-10,3
2007-03-11,2
2007-03-12,2
2007-03-13,2
2007-03-14,2
2007-03-15,2
2007-03-16,2
2007-03-17,2
2007-03-18,1
2007-03-19,1
2007-03-20,1
2007-03-21,1
2007-03-22,1
2007-03-23,1
2007-03-24,1
2007-03-25,1
2007-05-06,2
2007-05-07,2
2007-05-08,2
2007-05-09,2
2007-05-10,2
2007-05-11,2
2007-05-12,2
2007-05-13,2
2007-05-14,2
2007-05-15,2
2007-05-16,3
2007-05-17,3
2007-05-18,3
2007-05-19,4
2007-05-20,3
2007-05-21,3
2007-05-22,3
2007-05-23,2
2007-05-24,2
2007-05-25,2
2007-05-26,2
2007-05-27,2
2007-05-28,2
2007-05-29,2
2007-05-30,3
2007-05-31,3
2007-06-01,3
2007-06-02,4
2007-06-03,4
2007-06-04,4
2007-06-05,4
2007-06-06,4
2007-06-07,4
2007-06-08,4
2007-06-09,4
2007-06-10,3
2007-06-11,3
2007-06-12,3
2007-06-13,3
2007-06-14,3
2007-06-15,3
2007-06-16,3
2007-06-17,3
2007-06-18,3
2007-06-19,3
2007-06-20,3
2007-06-21,3
2007-06-22,3
2007-06-23,3
2007-06-24,3
2007-06-25,3
2007-06-26,3
2007-06-27,3
2007-06-28,3
2007-06-29,3
2007-06-30,3
2007-07-01,3
2007-07-02,3
2007-07-03,3
2007-07-04,3
2007-07-05,3
2007-07-06,3
2007-07-07,3
2007-07-08,3
2007-07-09,3
2007-07-10,3
2007-07-11,3
2007-07-12,3
2007-07-13,3
2007-07-14,4
2007-07-15,4
2007-07-16,4
2007-07-17,4
2007-07-18,4
2007-07-19,4
2007-07-20,4
2007-07-21,4
2007-07-22,3
2007-07-23,3
2007-07-24,3
2007-07-25,3
2007-07-26,3
2007-07-27,3
2007-07-28,3
2007-07-29,3
2007-08-05,4
2007-08-06,4
2007-08-07,4
2007-08-08,4
2007-08-09,4
2007-08-10,4
2007-08-11,4
2007-08-12,4
2007-08-13,4
2007-08-14,4
2007-08-15,4
2007-08-16,4
2007-08-17,4
2007-08-18,4
2007-08-19,4
2007-08-20,4
2007-08-21,4
2007-08-22,4
2007-08-23,4
2007-08-24,4
2007-08-25,4
2007-08-26,3
2007-08-27,3
2007-08-28,3
2007-08-29,3
2007-08-30,3
2007-08-31,3
2007-09-01,3
2007-09-02,3
2007-09-03,3
2007-09-04,3
2007-09-05,3
2007-09-06,3
