Date,Robert W Baird
2013-01-01,0
2013-01-02,1
2013-01-03,3
2013-01-04,5
2013-01-05,7
2013-01-06,9
2013-01-07,11
2013-01-08,13
2013-01-09,15
2013-01-10,17
2013-01-11,19
2013-01-12,20
2013-01-13,22
2013-01-14,24
2013-01-15,26
2013-01-16,28
2013-01-17,30
2013-01-18,32
2013-01-19,34
2013-01-20,36
2013-01-21,38
2013-01-22,39
2013-01-23,41
2013-01-24,43
2013-01-25,45
2013-01-26,47
2013-01-27,49
2013-01-28,51
2013-01-29,53
2013-01-30,55
2013-01-31,57
2013-02-01,59
2013-02-02,59
2013-02-03,59
2013-02-04,59
2013-02-05,59
2013-02-06,60
2013-02-07,60
2013-02-08,60
2013-02-09,60
2013-02-10,60
2013-02-11,61
2013-02-12,61
2013-02-13,61
2013-02-14,61
2013-02-15,62
2013-02-16,62
2013-02-17,62
2013-02-18,62
2013-02-19,62
2013-02-20,63
2013-02-21,63
2013-02-22,63
2013-02-23,63
2013-02-24,63
2013-02-25,64
2013-02-26,64
2013-02-27,64
2013-02-28,64
2013-03-01,65
2013-03-02,64
2013-03-03,64
2013-03-04,63
2013-03-05,63
2013-03-06,63
2013-03-07,62
2013-03-08,62
2013-03-09,62
2013-03-10,61
2013-03-11,61
2013-03-12,61
2013-03-13,60
2013-03-14,60
2013-03-15,60
2013-03-16,59
2013-03-17,59
2013-03-18,58
2013-03-19,58
2013-03-20,58
2013-03-21,57
2013-03-22,57
2013-03-23,57
2013-03-24,56
2013-03-25,56
2013-03-26,56
2013-03-27,55
2013-03-28,55
2013-03-29,55
2013-03-30,54
2013-03-31,54
2013-04-01,54
2013-04-02,54
2013-04-03,54
2013-04-04,54
2013-04-05,54
2013-04-06,54
2013-04-07,54
2013-04-08,54
2013-04-09,54
2013-04-10,54
2013-04-11,54
2013-04-12,54
2013-04-13,54
2013-04-14,54
2013-04-15,54
2013-04-16,54
2013-04-17,54
2013-04-18,54
2013-04-19,54
2013-04-20,54
2013-04-21,54
2013-04-22,54
2013-04-23,54
2013-04-24,54
2013-04-25,54
2013-04-26,54
2013-04-27,54
2013-04-28,54
2013-04-29,54
2013-04-30,54
