Date,Paulson & Co
2011-12-01,57
2011-12-02,57
2011-12-03,57
2011-12-04,57
2011-12-05,57
2011-12-06,57
2011-12-07,58
2011-12-08,58
2011-12-09,58
2011-12-10,58
2011-12-11,58
2011-12-12,59
2011-12-13,59
2011-12-14,59
2011-12-15,59
2011-12-16,59
2011-12-17,60
2011-12-18,60
2011-12-19,60
2011-12-20,60
2011-12-21,60
2011-12-22,61
2011-12-23,61
2011-12-24,61
2011-12-25,61
2011-12-26,61
2011-12-27,62
2011-12-28,62
2011-12-29,62
2011-12-30,62
2011-12-31,62
2012-01-01,63
2012-01-02,63
2012-01-03,63
2012-01-04,63
2012-01-05,64
2012-01-06,64
2012-01-07,64
2012-01-08,64
2012-01-09,65
2012-01-10,65
2012-01-11,65
2012-01-12,65
2012-01-13,66
2012-01-14,66
2012-01-15,66
2012-01-16,66
2012-01-17,67
2012-01-18,67
2012-01-19,67
2012-01-20,67
2012-01-21,68
2012-01-22,68
2012-01-23,68
2012-01-24,68
2012-01-25,69
2012-01-26,69
2012-01-27,69
2012-01-28,69
2012-01-29,70
2012-01-30,70
2012-01-31,70
2012-02-01,71
2012-02-02,70
2012-02-03,69
2012-02-04,68
2012-02-05,67
2012-02-06,66
2012-02-07,65
2012-02-08,64
2012-02-09,63
2012-02-10,62
2012-02-11,61
2012-02-12,60
2012-02-13,59
2012-02-14,58
2012-02-15,57
2012-02-16,57
2012-02-17,56
2012-02-18,55
2012-02-19,54
2012-02-20,53
2012-02-21,52
2012-02-22,51
2012-02-23,50
2012-02-24,49
2012-02-25,48
2012-02-26,47
2012-02-27,46
2012-02-28,45
2012-02-29,44
2012-03-01,44
2012-03-02,44
2012-03-03,45
2012-03-04,45
2012-03-05,46
2012-03-06,46
2012-03-07,47
2012-03-08,47
2012-03-09,48
2012-03-10,48
2012-03-11,49
2012-03-12,49
2012-03-13,50
2012-03-14,50
2012-03-15,51
2012-03-16,51
2012-03-17,52
2012-03-18,52
2012-03-19,53
2012-03-20,53
2012-03-21,54
2012-03-22,54
2012-03-23,55
2012-03-24,55
2012-03-25,56
2012-03-26,56
2012-03-27,57
2012-03-28,57
2012-03-29,58
2012-03-30,58
2012-03-31,59
2012-04-01,60
2012-04-02,59
2012-04-03,58
2012-04-04,58
2012-04-05,57
2012-04-06,56
2012-04-07,56
2012-04-08,55
2012-04-09,54
2012-04-10,54
2012-04-11,53
2012-04-12,52
2012-04-13,52
2012-04-14,51
2012-04-15,50
2012-04-16,50
2012-04-17,49
2012-04-18,48
2012-04-19,48
2012-04-20,47
2012-04-21,46
2012-04-22,46
2012-04-23,45
2012-04-24,44
2012-04-25,44
2012-04-26,43
2012-04-27,42
2012-04-28,42
2012-04-29,41
2012-04-30,40
2012-05-01,40
2012-05-02,39
2012-05-03,39
2012-05-04,39
2012-05-05,39
2012-05-06,39
2012-05-07,39
2012-05-08,39
2012-05-09,39
2012-05-10,39
2012-05-11,39
2012-05-12,39
2012-05-13,39
2012-05-14,39
2012-05-15,39
2012-05-16,39
2012-05-17,38
2012-05-18,38
2012-05-19,38
2012-05-20,38
2012-05-21,38
2012-05-22,38
2012-05-23,38
2012-05-24,38
2012-05-25,38
2012-05-26,38
2012-05-27,38
2012-05-28,38
2012-05-29,38
2012-05-30,38
2012-05-31,38
2012-06-01,38
2012-06-02,37
2012-06-03,37
2012-06-04,36
2012-06-05,36
2012-06-06,36
2012-06-07,35
2012-06-08,35
2012-06-09,34
2012-06-10,34
2012-06-11,34
2012-06-12,33
2012-06-13,33
2012-06-14,32
2012-06-15,32
2012-06-16,32
2012-06-17,31
2012-06-18,31
2012-06-19,30
2012-06-20,30
2012-06-21,30
2012-06-22,29
2012-06-23,29
2012-06-24,28
2012-06-25,28
2012-06-26,28
2012-06-27,27
2012-06-28,27
2012-06-29,26
2012-06-30,26
2012-07-01,26
2012-07-02,26
2012-07-03,27
2012-07-04,28
2012-07-05,29
2012-07-06,30
2012-07-07,31
2012-07-08,32
2012-07-09,33
2012-07-10,34
2012-07-11,35
2012-07-12,36
2012-07-13,37
2012-07-14,38
2012-07-15,39
2012-07-16,40
2012-07-17,41
2012-07-18,42
2012-07-19,43
2012-07-20,44
2012-07-21,45
2012-07-22,46
2012-07-23,47
2012-07-24,48
2012-07-25,49
2012-07-26,50
2012-07-27,51
2012-07-28,52
2012-07-29,53
2012-07-30,54
2012-07-31,55
2012-08-01,56
2012-08-02,55
2012-08-03,54
2012-08-04,53
2012-08-05,52
2012-08-06,51
2012-08-07,50
2012-08-08,49
2012-08-09,49
2012-08-10,48
2012-08-11,47
2012-08-12,46
2012-08-13,45
2012-08-14,44
2012-08-15,43
2012-08-16,42
2012-08-17,42
2012-08-18,41
2012-08-19,40
2012-08-20,39
2012-08-21,38
2012-08-22,37
2012-08-23,36
2012-08-24,35
2012-08-25,35
2012-08-26,34
2012-08-27,33
2012-08-28,32
2012-08-29,31
2012-08-30,30
2012-08-31,29
2012-09-01,29
2012-09-02,29
2012-09-03,30
2012-09-04,31
2012-09-05,32
2012-09-06,33
2012-09-07,34
2012-09-08,35
2012-09-09,35
2012-09-10,36
2012-09-11,37
2012-09-12,38
2012-09-13,39
2012-09-14,40
2012-09-15,41
2012-09-16,42
2012-09-17,42
2012-09-18,43
2012-09-19,44
2012-09-20,45
2012-09-21,46
2012-09-22,47
2012-09-23,48
2012-09-24,48
2012-09-25,49
2012-09-26,50
2012-09-27,51
2012-09-28,52
2012-09-29,53
2012-09-30,54
2012-10-01,55
2012-10-02,54
2012-10-03,53
2012-10-04,52
2012-10-05,51
2012-10-06,50
2012-10-07,49
2012-10-08,48
2012-10-09,47
2012-10-10,46
2012-10-11,45
2012-10-12,45
2012-10-13,44
2012-10-14,43
2012-10-15,42
2012-10-16,41
2012-10-17,40
2012-10-18,39
2012-10-19,38
2012-10-20,37
2012-10-21,36
2012-10-22,36
2012-10-23,35
2012-10-24,34
2012-10-25,33
2012-10-26,32
2012-10-27,31
2012-10-28,30
2012-10-29,29
2012-10-30,28
2012-10-31,27
2012-11-01,27
2012-11-02,27
2012-11-03,27
2012-11-04,27
2012-11-05,27
2012-11-06,27
2012-11-07,27
2012-11-08,27
2012-11-09,27
2012-11-10,27
2012-11-11,27
2012-11-12,27
2012-11-13,27
2012-11-14,27
2012-11-15,27
2012-11-16,27
2012-11-17,27
2012-11-18,27
2012-11-19,27
2012-11-20,27
2012-11-21,27
2012-11-22,27
2012-11-23,27
2012-11-24,27
2012-11-25,27
2012-11-26,27
2012-11-27,27
2012-11-28,27
2012-11-29,27
2012-11-30,27
2012-12-01,27
2012-12-02,27
2012-12-03,27
2012-12-04,27
2012-12-05,27
2012-12-06,27
2012-12-07,27
2012-12-08,27
2012-12-09,27
2012-12-10,27
2012-12-11,27
2012-12-12,27
2012-12-13,27
2012-12-14,27
2012-12-15,27
2012-12-16,27
2012-12-17,27
2012-12-18,27
