Date,Stifel
2012-09-01,60
2012-09-02,60
2012-09-03,60
2012-09-04,60
2012-09-05,60
2012-09-06,60
2012-09-07,60
2012-09-08,60
2012-09-09,60
2012-09-10,60
2012-09-11,60
2012-09-12,60
2012-09-13,60
2012-09-14,60
2012-09-15,60
2012-09-16,61
2012-09-17,61
2012-09-18,61
2012-09-19,61
2012-09-20,61
2012-09-21,61
2012-09-22,61
2012-09-23,61
2012-09-24,61
2012-09-25,61
2012-09-26,61
2012-09-27,61
2012-09-28,61
2012-09-29,61
2012-09-30,61
2012-10-01,62
2012-10-02,61
2012-10-03,61
2012-10-04,60
2012-10-05,60
2012-10-06,59
2012-10-07,59
2012-10-08,59
2012-10-09,58
2012-10-10,58
2012-10-11,57
2012-10-12,57
2012-10-13,56
2012-10-14,56
2012-10-15,56
2012-10-16,55
2012-10-17,55
2012-10-18,54
2012-10-19,54
2012-10-20,54
2012-10-21,53
2012-10-22,53
2012-10-23,52
2012-10-24,52
2012-10-25,51
2012-10-26,51
2012-10-27,51
2012-10-28,50
2012-10-29,50
2012-10-30,49
2012-10-31,49
2012-11-01,49
2012-11-02,49
2012-11-03,49
2012-11-04,50
2012-11-05,50
2012-11-06,51
2012-11-07,51
2012-11-08,52
2012-11-09,52
2012-11-10,52
2012-11-11,53
2012-11-12,53
2012-11-13,54
2012-11-14,54
2012-11-15,55
2012-11-16,55
2012-11-17,55
2012-11-18,56
2012-11-19,56
2012-11-20,57
2012-11-21,57
2012-11-22,58
2012-11-23,58
2012-11-24,58
2012-11-25,59
2012-11-26,59
2012-11-27,60
2012-11-28,60
2012-11-29,61
2012-11-30,61
2012-12-01,62
2012-12-02,62
2012-12-03,63
2012-12-04,63
2012-12-05,64
2012-12-06,65
2012-12-07,65
2012-12-08,66
2012-12-09,66
2012-12-10,67
2012-12-11,68
2012-12-12,68
2012-12-13,69
2012-12-14,69
2012-12-15,70
2012-12-16,71
2012-12-17,71
2012-12-18,72
2012-12-19,73
2012-12-20,73
2012-12-21,74
2012-12-22,74
2012-12-23,75
2012-12-24,76
2012-12-25,76
2012-12-26,77
2012-12-27,77
2012-12-28,78
2012-12-29,79
2012-12-30,79
2012-12-31,80
2013-01-01,81
2013-01-02,81
2013-01-03,82
2013-01-04,82
2013-01-05,83
2013-01-06,84
2013-01-07,84
2013-01-08,85
2013-01-09,85
2013-01-10,86
2013-01-11,87
2013-01-12,87
2013-01-13,88
2013-01-14,88
2013-01-15,89
2013-01-16,90
2013-01-17,90
2013-01-18,91
2013-01-19,92
2013-01-20,92
2013-01-21,93
2013-01-22,93
2013-01-23,94
2013-01-24,95
2013-01-25,95
2013-01-26,96
2013-01-27,96
2013-01-28,97
2013-01-29,98
2013-01-30,98
2013-01-31,99
2013-02-01,100
2013-02-02,98
2013-02-03,96
2013-02-04,94
2013-02-05,92
2013-02-06,90
2013-02-07,88
2013-02-08,86
2013-02-09,84
2013-02-10,82
2013-02-11,81
2013-02-12,79
2013-02-13,77
2013-02-14,75
2013-02-15,73
2013-02-16,71
2013-02-17,69
2013-02-18,67
2013-02-19,65
2013-02-20,64
2013-02-21,62
2013-02-22,60
2013-02-23,58
2013-02-24,56
2013-02-25,54
2013-02-26,52
2013-02-27,50
2013-02-28,48
2013-03-01,47
2013-03-02,47
2013-03-03,48
