Date,UBS Securities
2011-03-01,50
2011-03-02,50
2011-03-03,51
2011-03-04,50
2011-03-05,58
2011-03-06,48
2011-03-07,46
2011-03-08,45
2011-03-09,47
2011-03-10,42
2011-03-11,42
2011-03-12,39
2011-03-13,40
2011-03-14,41
2011-03-15,42
2011-03-16,45
2011-03-17,45
2011-03-18,48
2011-03-19,53
2011-03-20,47
2011-03-21,46
2011-03-22,45
2011-03-23,45
2011-03-24,46
2011-03-25,42
2011-03-26,45
2011-03-27,42
2011-03-28,43
2011-03-29,44
2011-03-30,45
2011-03-31,44
2011-04-01,45
2011-04-02,50
2011-04-03,46
2011-04-04,44
2011-04-05,44
2011-04-06,43
2011-04-07,46
2011-04-08,45
2011-04-09,43
2011-04-10,42
2011-04-11,40
2011-04-12,40
2011-04-13,40
2011-04-14,38
2011-04-15,39
2011-04-16,38
2011-04-17,37
2011-04-18,37
2011-04-19,37
2011-04-20,37
2011-04-21,37
2011-04-22,41
2011-04-23,38
2011-04-24,39
2011-04-25,41
2011-04-26,43
2011-04-27,44
2011-04-28,47
2011-04-29,51
2011-04-30,51
2011-05-01,50
2011-05-02,47
2011-05-03,46
2011-05-04,46
2011-05-05,43
2011-05-06,43
2011-05-07,41
2011-05-08,40
2011-05-09,39
2011-05-10,39
2011-05-11,37
2011-05-12,39
2011-05-13,35
2011-05-14,39
2011-05-15,35
2011-05-16,36
2011-05-17,37
2011-05-18,37
2011-05-19,38
2011-05-20,42
2011-05-21,41
2011-05-22,40
2011-05-23,40
2011-05-24,40
2011-05-25,41
2011-05-26,41
2011-05-27,43
2011-05-28,44
2011-05-29,41
2011-05-30,40
2011-05-31,40
2011-06-01,38
2011-06-02,39
2011-06-03,38
2011-06-04,35
2011-06-05,34
2011-06-06,34
2011-06-07,34
2011-06-08,36
2011-06-09,34
2011-06-10,34
2011-06-11,36
2011-06-12,33
2011-06-13,33
2011-06-14,33
2011-06-15,38
2011-06-16,32
2011-06-17,34
2011-06-18,33
2011-06-19,33
2011-06-20,34
2011-06-21,36
2011-06-22,37
2011-06-23,40
2011-06-24,39
2011-06-25,46
2011-06-26,40
2011-06-27,40
2011-06-28,40
2011-06-29,39
2011-06-30,40
2011-07-01,38
2011-07-02,43
2011-07-03,38
2011-07-04,38
2011-07-05,38
2011-07-06,41
2011-07-07,39
2011-07-08,40
2011-07-09,40
2011-07-10,40
2011-07-11,41
2011-07-12,41
2011-07-13,44
2011-07-14,42
2011-07-15,47
2011-07-16,48
2011-07-17,43
2011-07-18,43
2011-07-19,43
2011-07-20,42
2011-07-21,41
2011-07-22,45
2011-07-23,44
2011-07-24,42
2011-07-25,44
2011-07-26,46
2011-07-27,51
2011-07-28,49
2011-07-29,56
2011-07-30,54
2011-07-31,55
2011-08-01,52
2011-08-02,52
2011-08-03,52
2011-08-04,52
2011-08-05,52
2011-08-06,60
2011-08-07,55
2011-08-08,58
2011-08-09,61
2011-08-10,66
2011-08-11,67
2011-08-12,75
2011-08-13,84
2011-08-14,70
2011-08-15,67
2011-08-16,68
2011-08-17,61
2011-08-18,60
2011-08-19,55
2011-08-20,62
2011-08-21,52
2011-08-22,52
2011-08-23,52
2011-08-24,52
2011-08-25,52
2011-08-26,54
2011-08-27,53
2011-08-28,50
2011-08-29,49
2011-08-30,48
2011-08-31,49
2011-09-01,46
2011-09-02,47
2011-09-03,46
2011-09-04,45
2011-09-05,44
2011-09-06,44
2011-09-07,48
2011-09-08,45
2011-09-09,45
2011-09-10,52
2011-09-11,53
2011-09-12,61
2011-09-13,69
2011-09-14,78
2011-09-15,84
2011-09-16,100
2011-09-17,112
2011-09-18,101
2011-09-19,98
2011-09-20,104
2011-09-21,97
2011-09-22,99
2011-09-23,96
2011-09-24,96
2011-09-25,96
2011-09-26,91
2011-09-27,93
2011-09-28,90
2011-09-29,89
2011-09-30,82
2011-10-01,85
2011-10-02,77
2011-10-03,74
2011-10-04,71
2011-10-05,71
2011-10-06,65
2011-10-07,62
2011-10-08,63
2011-10-09,61
2011-10-10,55
2011-10-11,57
2011-10-12,51
2011-10-13,49
2011-10-14,47
2011-10-15,49
2011-10-16,47
2011-10-17,43
2011-10-18,44
2011-10-19,42
2011-10-20,40
2011-10-21,40
2011-10-22,42
2011-10-23,40
2011-10-24,42
2011-10-25,43
2011-10-26,46
2011-10-27,46
2011-10-28,50
2011-10-29,54
2011-10-30,49
2011-10-31,48
2011-11-01,48
2011-11-02,47
2011-11-03,48
2011-11-04,45
2011-11-05,51
2011-11-06,44
2011-11-07,43
2011-11-08,44
2011-11-09,44
2011-11-10,42
2011-11-11,44
2011-11-12,46
2011-11-13,42
2011-11-14,43
2011-11-15,44
2011-11-16,45
2011-11-17,47
2011-11-18,47
2011-11-19,56
2011-11-20,47
2011-11-21,47
2011-11-22,46
2011-11-23,46
2011-11-24,45
2011-11-25,46
2011-11-26,48
2011-11-27,44
2011-11-28,44
2011-11-29,44
2011-11-30,43
2011-12-01,43
2011-12-02,46
2011-12-03,43
2011-12-04,42
2011-12-05,42
2011-12-06,42
2011-12-07,41
2011-12-08,41
2011-12-09,40
2011-12-10,45
2011-12-11,39
2011-12-12,40
2011-12-13,37
2011-12-14,37
2011-12-15,36
2011-12-16,36
2011-12-17,35
2011-12-18,34
2011-12-19,33
2011-12-20,32
2011-12-21,32
2011-12-22,33
2011-12-23,32
2011-12-24,30
2011-12-25,31
2011-12-26,29
2011-12-27,28
2011-12-28,28
2011-12-29,28
2011-12-30,27
2011-12-31,28
2012-01-01,28
2012-01-02,29
2012-01-03,30
2012-01-04,33
2012-01-05,33
2012-01-06,36
2012-01-07,36
2012-01-08,36
2012-01-09,36
2012-01-10,37
2012-01-11,40
2012-01-12,38
2012-01-13,40
2012-01-14,44
2012-01-15,38
2012-01-16,37
2012-01-17,38
2012-01-18,38
2012-01-19,36
2012-01-20,37
2012-01-21,36
2012-01-22,37
2012-01-23,36
2012-01-24,38
2012-01-25,38
2012-01-26,39
2012-01-27,41
2012-01-28,44
2012-01-29,42
2012-01-30,40
2012-01-31,40
2012-02-01,41
2012-02-02,39
2012-02-03,39
2012-02-04,43
2012-02-05,42
2012-02-06,39
2012-02-07,39
2012-02-08,42
2012-02-09,39
2012-02-10,44
2012-02-11,41
2012-02-12,39
2012-02-13,37
2012-02-14,36
2012-02-15,36
2012-02-16,34
2012-02-17,35
2012-02-18,33
2012-02-19,32
2012-02-20,32
2012-02-21,32
2012-02-22,32
2012-02-23,32
2012-02-24,33
2012-02-25,36
2012-02-26,32
2012-02-27,32
2012-02-28,34
2012-02-29,34
2012-03-01,33
2012-03-02,33
2012-03-03,36
2012-03-04,33
2012-03-05,33
2012-03-06,35
2012-03-07,33
2012-03-08,34
2012-03-09,33
2012-03-10,38
2012-03-11,33
2012-03-12,33
2012-03-13,33
2012-03-14,33
2012-03-15,35
2012-03-16,33
2012-03-17,37
2012-03-18,33
2012-03-19,32
2012-03-20,31
2012-03-21,31
2012-03-22,29
2012-03-23,28
2012-03-24,28
2012-03-25,27
2012-03-26,28
2012-03-27,29
2012-03-28,32
2012-03-29,30
2012-03-30,31
2012-03-31,36
2012-04-01,31
2012-04-02,31
2012-04-03,32
2012-04-04,34
2012-04-05,30
2012-04-06,33
2012-04-07,30
2012-04-08,30
2012-04-09,30
2012-04-10,30
2012-04-11,30
2012-04-12,31
2012-04-13,31
2012-04-14,32
2012-04-15,31
2012-04-16,31
2012-04-17,31
2012-04-18,32
2012-04-19,32
2012-04-20,33
2012-04-21,34
2012-04-22,32
2012-04-23,32
2012-04-24,31
2012-04-25,31
2012-04-26,31
2012-04-27,32
2012-04-28,31
2012-04-29,31
2012-04-30,32
2012-05-01,34
2012-05-02,34
2012-05-03,36
2012-05-04,39
2012-05-05,41
2012-05-06,37
2012-05-07,35
2012-05-08,37
2012-05-09,33
2012-05-10,33
2012-05-11,31
2012-05-12,34
2012-05-13,30
2012-05-14,30
2012-05-15,30
2012-05-16,31
2012-05-17,33
2012-05-18,30
2012-05-19,35
2012-05-20,31
2012-05-21,31
2012-05-22,31
2012-05-23,33
2012-05-24,31
2012-05-25,31
2012-05-26,34
2012-05-27,30
2012-05-28,29
2012-05-29,28
2012-05-30,27
2012-05-31,28
2012-06-01,25
2012-06-02,27
2012-06-03,25
2012-06-04,26
2012-06-05,26
2012-06-06,27
2012-06-07,28
2012-06-08,28
2012-06-09,29
2012-06-10,28
2012-06-11,28
2012-06-12,28
2012-06-13,28
2012-06-14,26
2012-06-15,27
2012-06-16,26
2012-06-17,27
2012-06-18,27
2012-06-19,30
2012-06-20,28
2012-06-21,29
2012-06-22,29
2012-06-23,33
2012-06-24,29
2012-06-25,29
2012-06-26,30
2012-06-27,29
2012-06-28,28
2012-06-29,28
2012-06-30,27
2012-07-01,27
2012-07-02,27
2012-07-03,28
2012-07-04,31
2012-07-05,29
2012-07-06,29
2012-07-07,31
2012-07-08,29
2012-07-09,29
2012-07-10,30
2012-07-11,28
2012-07-12,29
2012-07-13,28
2012-07-14,30
2012-07-15,29
2012-07-16,30
2012-07-17,31
2012-07-18,32
2012-07-19,34
2012-07-20,34
2012-07-21,37
2012-07-22,36
2012-07-23,34
2012-07-24,34
2012-07-25,34
2012-07-26,34
2012-07-27,36
2012-07-28,34
2012-07-29,34
2012-07-30,34
2012-07-31,35
2012-08-01,39
2012-08-02,36
2012-08-03,38
2012-08-04,40
2012-08-05,36
2012-08-06,35
2012-08-07,34
2012-08-08,33
2012-08-09,32
2012-08-10,32
2012-08-11,32
2012-08-12,29
2012-08-13,29
2012-08-14,29
2012-08-15,31
2012-08-16,28
2012-08-17,29
2012-08-18,29
2012-08-19,28
2012-08-20,28
2012-08-21,29
2012-08-22,29
2012-08-23,30
2012-08-24,32
2012-08-25,33
2012-08-26,30
2012-08-27,30
2012-08-28,29
2012-08-29,31
2012-08-30,28
2012-08-31,28
2012-09-01,28
2012-09-02,28
2012-09-03,29
2012-09-04,30
2012-09-05,32
2012-09-06,32
2012-09-07,33
2012-09-08,38
2012-09-09,34
2012-09-10,35
2012-09-11,35
2012-09-12,36
2012-09-13,36
2012-09-14,41
2012-09-15,41
2012-09-16,37
2012-09-17,37
2012-09-18,37
2012-09-19,37
2012-09-20,38
2012-09-21,36
2012-09-22,39
2012-09-23,36
2012-09-24,34
2012-09-25,33
2012-09-26,33
2012-09-27,32
2012-09-28,30
2012-09-29,31
2012-09-30,29
2012-10-01,29
2012-10-02,29
2012-10-03,30
2012-10-04,29
2012-10-05,29
2012-10-06,31
2012-10-07,29
2012-10-08,29
2012-10-09,29
2012-10-10,29
2012-10-11,29
2012-10-12,29
2012-10-13,30
2012-10-14,30
2012-10-15,30
2012-10-16,31
2012-10-17,34
2012-10-18,33
2012-10-19,34
2012-10-20,40
2012-10-21,35
2012-10-22,36
2012-10-23,36
2012-10-24,37
2012-10-25,38
2012-10-26,38
2012-10-27,43
2012-10-28,43
2012-10-29,47
2012-10-30,51
2012-10-31,60
2012-11-01,62
2012-11-02,65
2012-11-03,80
2012-11-04,69
2012-11-05,63
2012-11-06,60
2012-11-07,57
2012-11-08,55
2012-11-09,55
2012-11-10,49
2012-11-11,49
2012-11-12,45
2012-11-13,47
2012-11-14,43
2012-11-15,43
2012-11-16,41
2012-11-17,44
2012-11-18,41
2012-11-19,39
2012-11-20,38
2012-11-21,38
2012-11-22,39
2012-11-23,37
2012-11-24,40
2012-11-25,37
2012-11-26,37
2012-11-27,40
2012-11-28,38
2012-11-29,39
2012-11-30,40
2012-12-01,40
2012-12-02,40
2012-12-03,40
2012-12-04,41
2012-12-05,40
2012-12-06,40
2012-12-07,42
2012-12-08,42
2012-12-09,40
2012-12-10,39
2012-12-11,39
2012-12-12,39
2012-12-13,38
2012-12-14,40
2012-12-15,43
2012-12-16,39
2012-12-17,40
2012-12-18,41
2012-12-19,42
2012-12-20,44
2012-12-21,48
2012-12-22,49
2012-12-23,42
2012-12-24,39
2012-12-25,38
2012-12-26,34
2012-12-27,31
2012-12-28,31
2012-12-29,29
2012-12-30,26
2012-12-31,28
2013-01-01,28
2013-01-02,28
2013-01-03,29
2013-01-04,30
2013-01-05,37
2013-01-06,32
2013-01-07,34
2013-01-08,38
2013-01-09,38
2013-01-10,41
2013-01-11,42
