Date,Morgan Stanley
2012-05-01,31
2012-05-02,31
2012-05-03,32
2012-05-04,34
2012-05-05,33
2012-05-06,34
2012-05-07,35
2012-05-08,37
2012-05-09,39
2012-05-10,40
2012-05-11,41
2012-05-12,47
2012-05-13,45
2012-05-14,47
2012-05-15,49
2012-05-16,54
2012-05-17,53
2012-05-18,55
2012-05-19,58
2012-05-20,60
2012-05-21,62
2012-05-22,64
2012-05-23,66
2012-05-24,73
2012-05-25,73
2012-05-26,74
2012-05-27,67
2012-05-28,62
2012-05-29,57
2012-05-30,53
2012-05-31,48
2012-06-01,46
2012-06-02,40
2012-06-03,40
2012-06-04,42
2012-06-05,44
2012-06-06,45
2012-06-07,48
2012-06-08,51
2012-06-09,54
2012-06-10,49
2012-06-11,48
2012-06-12,47
2012-06-13,47
2012-06-14,44
2012-06-15,46
2012-06-16,42
2012-06-17,45
2012-06-18,49
2012-06-19,52
2012-06-20,60
2012-06-21,59
2012-06-22,67
2012-06-23,74
2012-06-24,63
2012-06-25,59
2012-06-26,56
2012-06-27,51
2012-06-28,47
2012-06-29,44
2012-06-30,39
2012-07-01,38
2012-07-02,37
2012-07-03,37
2012-07-04,35
2012-07-05,34
2012-07-06,33
2012-07-07,32
2012-07-08,33
2012-07-09,34
2012-07-10,35
2012-07-11,36
2012-07-12,38
2012-07-13,38
2012-07-14,39
2012-07-15,40
2012-07-16,41
2012-07-17,42
2012-07-18,43
2012-07-19,44
2012-07-20,49
2012-07-21,50
2012-07-22,46
2012-07-23,46
2012-07-24,46
2012-07-25,46
2012-07-26,46
2012-07-27,48
2012-07-28,46
2012-07-29,44
2012-07-30,43
2012-07-31,42
2012-08-01,40
2012-08-02,44
2012-08-03,38
2012-08-04,37
2012-08-05,36
2012-08-06,36
2012-08-07,36
2012-08-08,35
2012-08-09,35
2012-08-10,35
2012-08-11,35
2012-08-12,34
2012-08-13,34
2012-08-14,34
2012-08-15,35
2012-08-16,33
2012-08-17,33
2012-08-18,33
2012-08-19,33
2012-08-20,34
2012-08-21,35
2012-08-22,37
2012-08-23,37
2012-08-24,38
2012-08-25,39
2012-08-26,39
2012-08-27,39
2012-08-28,41
2012-08-29,40
2012-08-30,40
2012-08-31,42
2012-09-01,41
2012-09-02,40
2012-09-03,40
2012-09-04,39
2012-09-05,40
2012-09-06,41
2012-09-07,38
2012-09-08,40
2012-09-09,39
2012-09-10,40
2012-09-11,41
2012-09-12,44
2012-09-13,44
2012-09-14,46
2012-09-15,47
2012-09-16,46
2012-09-17,43
2012-09-18,42
2012-09-19,40
2012-09-20,40
2012-09-21,37
2012-09-22,36
2012-09-23,35
2012-09-24,34
2012-09-25,34
2012-09-26,33
2012-09-27,36
2012-09-28,32
2012-09-29,32
2012-09-30,33
2012-10-01,34
2012-10-02,35
2012-10-03,36
2012-10-04,40
2012-10-05,38
2012-10-06,41
2012-10-07,38
2012-10-08,38
2012-10-09,38
2012-10-10,40
2012-10-11,37
2012-10-12,38
2012-10-13,37
2012-10-14,40
2012-10-15,44
2012-10-16,48
2012-10-17,52
2012-10-18,55
2012-10-19,70
2012-10-20,63
2012-10-21,60
2012-10-22,57
2012-10-23,54
2012-10-24,51
2012-10-25,52
2012-10-26,45
2012-10-27,43
2012-10-28,41
2012-10-29,40
2012-10-30,42
2012-10-31,37
2012-11-01,36
2012-11-02,39
2012-11-03,34
2012-11-04,35
2012-11-05,36
2012-11-06,38
2012-11-07,42
2012-11-08,41
2012-11-09,42
2012-11-10,45
2012-11-11,43
2012-11-12,42
2012-11-13,41
2012-11-14,44
2012-11-15,40
2012-11-16,42
2012-11-17,39
2012-11-18,38
2012-11-19,38
2012-11-20,38
2012-11-21,42
2012-11-22,38
2012-11-23,38
2012-11-24,39
2012-11-25,37
2012-11-26,37
2012-11-27,36
2012-11-28,36
2012-11-29,35
2012-11-30,38
2012-12-01,35
2012-12-02,35
2012-12-03,35
2012-12-04,35
2012-12-05,35
2012-12-06,39
2012-12-07,35
2012-12-08,36
2012-12-09,36
2012-12-10,37
2012-12-11,38
2012-12-12,39
2012-12-13,40
2012-12-14,42
2012-12-15,42
2012-12-16,41
2012-12-17,40
2012-12-18,39
2012-12-19,41
2012-12-20,37
2012-12-21,36
2012-12-22,36
2012-12-23,34
2012-12-24,32
2012-12-25,30
2012-12-26,28
2012-12-27,26
2012-12-28,24
2012-12-29,24
2012-12-30,24
2012-12-31,26
2013-01-01,28
2013-01-02,30
2013-01-03,32
2013-01-04,35
2013-01-05,37
2013-01-06,43
2013-01-07,49
2013-01-08,55
2013-01-09,61
2013-01-10,67
2013-01-11,76
2013-01-12,86
2013-01-13,86
2013-01-14,85
2013-01-15,88
2013-01-16,93
2013-01-17,95
2013-01-18,97
2013-01-19,114
2013-01-20,98
2013-01-21,87
2013-01-22,80
2013-01-23,74
2013-01-24,67
2013-01-25,61
2013-01-26,57
2013-01-27,53
2013-01-28,51
2013-01-29,49
2013-01-30,50
2013-01-31,46
2013-02-01,44
2013-02-02,46
2013-02-03,42
2013-02-04,42
2013-02-05,43
2013-02-06,41
2013-02-07,42
2013-02-08,40
2013-02-09,42
2013-02-10,39
2013-02-11,38
2013-02-12,37
2013-02-13,39
2013-02-14,35
2013-02-15,37
2013-02-16,34
2013-02-17,34
2013-02-18,34
2013-02-19,35
2013-02-20,34
2013-02-21,34
2013-02-22,34
2013-02-23,36
2013-02-24,34
2013-02-25,34
2013-02-26,34
2013-02-27,35
2013-02-28,35
2013-03-01,38
2013-03-02,36
2013-03-03,36
2013-03-04,36
2013-03-05,38
2013-03-06,37
2013-03-07,37
2013-03-08,39
2013-03-09,38
2013-03-10,39
2013-03-11,36
2013-03-12,35
2013-03-13,34
2013-03-14,34
2013-03-15,35
2013-03-16,32
2013-03-17,32
2013-03-18,32
2013-03-19,33
2013-03-20,33
2013-03-21,32
2013-03-22,32
2013-03-23,32
2013-03-24,32
2013-03-25,32
2013-03-26,33
2013-03-27,33
2013-03-28,35
2013-03-29,34
2013-03-30,36
2013-03-31,33
2013-05-01,34
2013-05-02,35
2013-05-03,37
2013-05-04,36
2013-05-05,35
2013-05-06,34
2013-05-07,33
2013-05-08,35
2013-05-09,32
2013-05-10,31
2013-05-11,31
2013-05-12,32
2013-05-13,33
2013-05-14,34
2013-05-15,35
2013-05-16,37
2013-05-17,40
2013-05-18,39
2013-05-19,37
2013-05-20,35
2013-05-21,33
2013-05-22,33
2013-05-23,30
2013-05-24,28
2013-05-25,30
