Date,Credit Suisse First Boston
2005-02-01,100
2005-02-02,100
2005-02-03,100
2005-02-04,100
2005-02-05,100
2005-02-06,100
2005-02-07,100
2005-02-08,100
2005-02-09,100
2005-02-10,100
2005-02-11,100
2005-02-12,100
2005-02-13,100
2005-02-14,100
2005-02-15,100
2005-02-16,100
2005-02-17,100
2005-02-18,100
2005-02-19,100
2005-02-20,100
2005-02-21,100
2005-02-22,100
2005-02-23,100
2005-02-24,100
2005-02-25,100
2005-02-26,100
2005-02-27,100
2005-02-28,100
2005-03-01,100
2005-03-02,99
2005-03-03,99
2005-03-04,98
2005-03-05,98
2005-03-06,97
2005-03-07,97
2005-03-08,96
2005-03-09,96
2005-03-10,95
2005-03-11,95
2005-03-12,94
2005-03-13,94
2005-03-14,93
2005-03-15,93
2005-03-16,92
2005-03-17,92
2005-03-18,91
2005-03-19,91
2005-03-20,90
2005-03-21,90
2005-03-22,89
2005-03-23,89
2005-03-24,88
2005-03-25,88
2005-03-26,87
2005-03-27,87
2005-03-28,86
2005-03-29,86
2005-03-30,85
2005-03-31,85
2005-04-01,85
2005-04-02,85
2005-04-03,85
2005-04-04,85
2005-04-05,85
2005-04-06,85
2005-04-07,86
2005-04-08,86
2005-04-09,86
2005-04-10,86
2005-04-11,86
2005-04-12,86
2005-04-13,87
2005-04-14,87
2005-04-15,87
2005-04-16,87
2005-04-17,87
2005-04-18,87
2005-04-19,88
2005-04-20,88
2005-04-21,88
2005-04-22,88
2005-04-23,88
2005-04-24,88
2005-04-25,89
2005-04-26,89
2005-04-27,89
2005-04-28,89
2005-04-29,89
2005-04-30,89
2005-05-01,90
2005-05-02,90
2005-05-03,90
2005-05-04,90
2005-05-05,90
2005-05-06,90
2005-05-07,90
2005-05-08,90
2005-05-09,90
2005-05-10,90
2005-05-11,90
2005-05-12,90
2005-05-13,90
2005-05-14,90
2005-05-15,90
2005-05-16,90
2005-05-17,91
2005-05-18,91
2005-05-19,91
2005-05-20,91
2005-05-21,91
2005-05-22,91
2005-05-23,91
2005-05-24,91
2005-05-25,91
2005-05-26,91
2005-05-27,91
2005-05-28,91
2005-05-29,91
2005-05-30,91
2005-05-31,91
2005-06-01,92
2005-06-02,92
2005-06-03,92
2005-06-04,92
2005-06-05,92
2005-06-06,92
2005-06-07,92
2005-06-08,92
2005-06-09,92
2005-06-10,92
2005-06-11,92
2005-06-12,92
2005-06-13,92
2005-06-14,92
2005-06-15,92
2005-06-16,93
2005-06-17,93
2005-06-18,93
2005-06-19,93
2005-06-20,93
2005-06-21,93
2005-06-22,93
2005-06-23,93
2005-06-24,93
2005-06-25,93
2005-06-26,93
2005-06-27,93
2005-06-28,93
2005-06-29,93
2005-06-30,93
2005-07-01,94
2005-07-02,94
2005-07-03,94
2005-07-04,94
2005-07-05,94
2005-07-06,94
2005-07-07,94
2005-07-08,94
2005-07-09,94
2005-07-10,94
2005-07-11,94
2005-07-12,94
2005-07-13,94
2005-07-14,94
2005-07-15,94
2005-07-16,94
2005-07-17,95
2005-07-18,95
2005-07-19,95
2005-07-20,95
2005-07-21,95
2005-07-22,95
2005-07-23,95
2005-07-24,95
2005-07-25,95
2005-07-26,95
2005-07-27,95
2005-07-28,95
2005-07-29,95
2005-07-30,95
2005-07-31,95
2005-08-01,96
2005-08-02,95
2005-08-03,95
2005-08-04,94
2005-08-05,94
2005-08-06,93
2005-08-07,93
2005-08-08,92
2005-08-09,92
2005-08-10,91
2005-08-11,91
2005-08-12,90
2005-08-13,90
2005-08-14,89
2005-08-15,89
2005-08-16,88
2005-08-17,88
2005-08-18,87
2005-08-19,87
2005-08-20,86
2005-08-21,86
2005-08-22,85
2005-08-23,85
2005-08-24,84
2005-08-25,84
2005-08-26,83
2005-08-27,83
2005-08-28,82
2005-08-29,82
2005-08-30,81
2005-08-31,81
2005-09-01,81
2005-09-02,81
2005-09-03,81
2005-09-04,81
2005-09-05,81
2005-09-06,81
2005-09-07,81
2005-09-08,81
2005-09-09,81
2005-09-10,81
2005-09-11,81
2005-09-12,81
2005-09-13,81
2005-09-14,81
2005-09-15,81
2005-09-16,81
2005-09-17,81
2005-09-18,81
2005-09-19,81
2005-09-20,81
2005-09-21,81
2005-09-22,81
2005-09-23,81
2005-09-24,81
2005-09-25,81
2005-09-26,81
2005-09-27,81
2005-09-28,81
2005-09-29,81
2005-09-30,81
2005-10-01,81
2005-10-02,81
2005-10-03,81
2005-10-04,81
2005-10-05,81
2005-10-06,81
2005-10-07,81
2005-10-08,81
2005-10-09,81
2005-10-10,81
2005-10-11,81
2005-10-12,81
2005-10-13,81
2005-10-14,81
2005-10-15,81
2005-10-16,81
2005-10-17,81
2005-10-18,81
2005-10-19,81
2005-10-20,81
2005-10-21,81
2005-10-22,81
2005-10-23,81
2005-10-24,81
2005-10-25,81
2005-10-26,81
2005-10-27,81
2005-10-28,81
2005-10-29,81
2005-10-30,81
2005-10-31,81
2005-11-01,82
2005-11-02,81
2005-11-03,81
2005-11-04,81
2005-11-05,81
2005-11-06,81
2005-11-07,81
2005-11-08,81
2005-11-09,81
2005-11-10,81
2005-11-11,81
2005-11-12,81
2005-11-13,81
2005-11-14,81
2005-11-15,81
2005-11-16,81
2005-11-17,81
2005-11-18,81
2005-11-19,81
2005-11-20,81
2005-11-21,81
2005-11-22,81
2005-11-23,81
2005-11-24,81
2005-11-25,81
2005-11-26,81
2005-11-27,81
2005-11-28,81
2005-11-29,81
2005-11-30,81
2005-12-01,81
2005-12-02,78
2005-12-03,75
2005-12-04,73
2005-12-05,70
2005-12-06,67
2005-12-07,65
2005-12-08,62
2005-12-09,60
2005-12-10,57
2005-12-11,54
2005-12-12,52
2005-12-13,49
2005-12-14,47
2005-12-15,44
2005-12-16,41
2005-12-17,39
2005-12-18,36
2005-12-19,33
2005-12-20,31
2005-12-21,28
2005-12-22,26
2005-12-23,23
2005-12-24,20
2005-12-25,18
2005-12-26,15
2005-12-27,13
2005-12-28,10
2005-12-29,7
2005-12-30,5
2005-12-31,2
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0
2006-01-06,0
2006-01-07,0
2006-01-08,0
2006-01-09,0
2006-01-10,0
2006-01-11,0
2006-01-12,0
2006-01-13,0
2006-01-14,0
2006-01-15,0
2006-01-16,0
2006-01-17,0
2006-01-18,0
2006-01-19,0
2006-01-20,0
2006-01-21,0
2006-01-22,0
2006-01-23,0
2006-01-24,0
2006-01-25,0
2006-01-26,0
2006-01-27,0
2006-01-28,0
2006-01-29,0
2006-01-30,0
2006-01-31,0
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0
2006-02-06,0
2006-02-07,0
2006-02-08,0
2006-02-09,0
2006-02-10,0
2006-02-11,0
2006-02-12,0
2006-02-13,0
2006-02-14,0
2006-02-15,0
2006-02-16,0
2006-02-17,0
2006-02-18,0
2006-02-19,0
2006-02-20,0
2006-02-21,0
2006-02-22,0
2006-02-23,0
2006-02-24,0
2006-02-25,0
2006-02-26,0
2006-02-27,0
2006-02-28,0
2006-03-01,0
2006-03-02,0
2006-03-03,0
2006-03-04,0
2006-03-05,0
2006-03-06,0
2006-03-07,0
2006-03-08,0
2006-03-09,0
2006-03-10,0
2006-03-11,0
2006-03-12,0
2006-03-13,0
2006-03-14,0
2006-03-15,0
2006-03-16,0
2006-03-17,0
2006-03-18,0
2006-03-19,0
2006-03-20,0
2006-03-21,0
2006-03-22,0
