Date,William Blair & Company
2010-10-01,100
2010-10-02,99
2010-10-03,98
2010-10-04,98
2010-10-05,97
2010-10-06,96
2010-10-07,96
2010-10-08,95
2010-10-09,94
2010-10-10,94
2010-10-11,93
2010-10-12,92
2010-10-13,92
2010-10-14,91
2010-10-15,90
2010-10-16,90
2010-10-17,89
2010-10-18,89
2010-10-19,88
2010-10-20,87
2010-10-21,87
2010-10-22,86
2010-10-23,85
2010-10-24,85
2010-10-25,84
2010-10-26,83
2010-10-27,83
2010-10-28,82
2010-10-29,81
2010-10-30,81
2010-10-31,80
2010-11-01,80
2010-11-02,79
2010-11-03,78
2010-11-04,78
2010-11-05,77
2010-11-06,77
2010-11-07,76
2010-11-08,76
2010-11-09,75
2010-11-10,74
2010-11-11,74
2010-11-12,73
2010-11-13,73
2010-11-14,72
2010-11-15,72
2010-11-16,71
2010-11-17,70
2010-11-18,70
2010-11-19,69
2010-11-20,69
2010-11-21,68
2010-11-22,68
2010-11-23,67
2010-11-24,66
2010-11-25,66
2010-11-26,65
2010-11-27,65
2010-11-28,64
2010-11-29,64
2010-11-30,63
2010-12-01,63
2010-12-02,63
2010-12-03,63
2010-12-04,63
2010-12-05,63
2010-12-06,63
2010-12-07,63
2010-12-08,63
2010-12-09,63
2010-12-10,63
2010-12-11,63
2010-12-12,63
2010-12-13,63
2010-12-14,63
2010-12-15,63
2010-12-16,63
2010-12-17,63
2010-12-18,63
2010-12-19,63
2010-12-20,63
2010-12-21,63
2010-12-22,63
2010-12-23,63
2010-12-24,63
2010-12-25,63
2010-12-26,63
2010-12-27,63
2010-12-28,63
2010-12-29,63
2010-12-30,63
2010-12-31,63
2011-01-01,63
2011-01-02,62
2011-01-03,62
2011-01-04,62
2011-01-05,62
2011-01-06,62
2011-01-07,62
2011-01-08,61
2011-01-09,61
2011-01-10,61
2011-01-11,61
2011-01-12,61
2011-01-13,61
2011-01-14,60
2011-01-15,60
2011-01-16,60
2011-01-17,60
2011-01-18,60
2011-01-19,60
2011-01-20,59
2011-01-21,59
2011-01-22,59
2011-01-23,59
2011-01-24,59
2011-01-25,59
2011-01-26,58
2011-01-27,58
2011-01-28,58
2011-01-29,58
2011-01-30,58
2011-01-31,58
2011-02-01,58
2011-02-02,58
2011-02-03,58
2011-02-04,58
2011-02-05,58
2011-02-06,58
2011-02-07,58
2011-02-08,58
2011-02-09,58
2011-02-10,58
2011-02-11,58
2011-02-12,58
2011-02-13,58
2011-02-14,58
2011-02-15,58
2011-02-16,58
2011-02-17,58
2011-02-18,58
2011-02-19,58
2011-02-20,58
2011-02-21,58
2011-02-22,58
2011-02-23,58
2011-02-24,58
2011-02-25,58
2011-02-26,58
2011-02-27,58
2011-02-28,58
2011-03-01,58
2011-03-02,58
2011-03-03,58
2011-03-04,58
2011-03-05,58
2011-03-06,58
2011-03-07,58
2011-03-08,58
2011-03-09,58
2011-03-10,58
2011-03-11,58
2011-03-12,58
2011-03-13,58
2011-03-14,58
2011-03-15,58
2011-03-16,58
2011-03-17,58
2011-03-18,58
2011-03-19,58
2011-03-20,58
2011-03-21,58
2011-03-22,58
2011-03-23,58
2011-03-24,58
2011-03-25,58
2011-03-26,58
2011-03-27,58
2011-03-28,58
2011-03-29,58
2011-03-30,58
2011-03-31,58
2011-04-01,58
2011-04-02,58
2011-04-03,58
2011-04-04,59
2011-04-05,59
2011-04-06,60
2011-04-07,60
2011-04-08,61
2011-04-09,61
2011-04-10,61
2011-04-11,62
2011-04-12,62
2011-04-13,63
2011-04-14,63
2011-04-15,64
2011-04-16,64
2011-04-17,64
2011-04-18,65
2011-04-19,65
2011-04-20,66
2011-04-21,66
2011-04-22,67
2011-04-23,67
2011-04-24,67
2011-04-25,68
2011-04-26,68
2011-04-27,69
2011-04-28,69
2011-04-29,70
2011-04-30,70
2011-05-01,71
