Date,Merrill Lynch
2005-09-01,64
2005-09-02,64
2005-09-03,69
2005-09-04,62
2005-09-05,60
2005-09-06,59
2005-09-07,59
2005-09-08,56
2005-09-09,57
2005-09-10,53
2005-09-11,54
2005-09-12,55
2005-09-13,58
2005-09-14,58
2005-09-15,60
2005-09-16,61
2005-09-17,68
2005-09-18,61
2005-09-19,59
2005-09-20,58
2005-09-21,55
2005-09-22,58
2005-09-23,53
2005-09-24,50
2005-09-25,52
2005-09-26,55
2005-09-27,57
2005-09-28,61
2005-09-29,62
2005-09-30,65
2005-10-01,72
2005-10-02,67
2005-10-03,66
2005-10-04,69
2005-10-05,64
2005-10-06,63
2005-10-07,65
2005-10-08,64
2005-10-09,63
2005-10-10,64
2005-10-11,65
2005-10-12,66
2005-10-13,68
2005-10-14,69
2005-10-15,74
2005-10-16,70
2005-10-17,69
2005-10-18,70
2005-10-19,70
2005-10-20,71
2005-10-21,75
2005-10-22,77
2005-10-23,70
2005-10-24,69
2005-10-25,68
2005-10-26,67
2005-10-27,66
2005-10-28,68
2005-10-29,64
2005-10-30,63
2005-10-31,63
2005-11-01,66
2005-11-02,62
2005-11-03,64
2005-11-04,64
2005-11-05,62
2005-11-06,67
2005-11-07,61
2005-11-08,61
2005-11-09,62
2005-11-10,60
2005-11-11,60
2005-11-12,62
2005-11-13,58
2005-11-14,57
2005-11-15,56
2005-11-16,61
2005-11-17,54
2005-11-18,54
2005-11-19,52
2005-11-20,52
2005-11-21,52
2005-11-22,52
2005-11-23,52
2005-11-24,53
2005-11-25,52
2005-11-26,52
2005-11-27,56
2005-11-28,58
2005-11-29,61
2005-11-30,64
2005-12-01,67
2005-12-02,70
2005-12-03,81
2005-12-04,71
2005-12-05,70
2005-12-06,70
2005-12-07,67
2005-12-08,67
2005-12-09,66
2005-12-10,64
2005-12-11,62
2005-12-12,62
2005-12-13,64
2005-12-14,65
2005-12-15,60
2005-12-16,63
2005-12-17,62
2005-12-18,60
2005-12-19,60
2005-12-20,60
2005-12-21,63
2005-12-22,60
2005-12-23,60
2005-12-24,60
2005-12-25,60
2005-12-26,61
2005-12-27,61
2005-12-28,62
2005-12-29,66
2005-12-30,64
2005-12-31,64
2006-01-01,67
2006-01-02,66
2006-01-03,67
2006-01-04,68
2006-01-05,73
2006-01-06,70
2006-01-07,77
2006-01-08,74
2006-01-09,71
2006-01-10,75
2006-01-11,72
2006-01-12,75
2006-01-13,72
2006-01-14,78
2006-01-15,76
