Date,Deutsche Bank
2010-09-01,91
2010-09-02,95
2010-09-03,96
2010-09-04,105
2010-09-05,95
2010-09-06,94
2010-09-07,94
2010-09-08,91
2010-09-09,89
2010-09-10,88
2010-09-11,95
2010-09-12,87
2010-09-13,87
2010-09-14,87
2010-09-15,87
2010-09-16,89
2010-09-17,89
2010-09-18,95
2010-09-19,88
2010-09-20,88
2010-09-21,88
2010-09-22,88
2010-09-23,89
2010-09-24,88
2010-09-25,93
2010-09-26,90
2010-09-27,91
2010-09-28,93
2010-09-29,94
2010-09-30,96
2010-10-01,100
2010-10-02,109
2010-10-03,98
2010-10-04,97
2010-10-05,98
2010-10-06,95
2010-10-07,93
2010-10-08,94
2010-10-09,100
2010-10-10,90
2010-10-11,90
2010-10-12,91
2010-10-13,89
2010-10-14,89
2010-10-15,88
2010-10-16,95
2010-10-17,87
2010-10-18,86
2010-10-19,87
2010-10-20,85
2010-10-21,85
2010-10-22,85
2010-10-23,91
2010-10-24,85
2010-10-25,86
2010-10-26,87
2010-10-27,88
2010-10-28,89
2010-10-29,90
2010-10-30,101
2010-10-31,91
2010-11-01,90
2010-11-02,89
2010-11-03,90
2010-11-04,90
2010-11-05,89
2010-11-06,96
2010-11-07,87
2010-11-08,87
2010-11-09,87
2010-11-10,86
2010-11-11,86
2010-11-12,85
2010-11-13,91
2010-11-14,85
2010-11-15,85
2010-11-16,86
2010-11-17,86
2010-11-18,85
2010-11-19,86
2010-11-20,92
2010-11-21,85
2010-11-22,85
2010-11-23,85
2010-11-24,85
2010-11-25,85
2010-11-26,85
2010-11-27,92
2010-11-28,86
2010-11-29,87
2010-11-30,89
2010-12-01,90
2010-12-02,94
2010-12-03,94
2010-12-04,103
2010-12-05,93
2010-12-06,92
2010-12-07,90
2010-12-08,89
2010-12-09,88
2010-12-10,87
2010-12-11,92
2010-12-12,84
2010-12-13,84
2010-12-14,85
2010-12-15,85
2010-12-16,84
2010-12-17,86
2010-12-18,90
2010-12-19,83
2010-12-20,82
2010-12-21,82
2010-12-22,81
2010-12-23,82
2010-12-24,88
2010-12-25,81
2010-12-26,81
2010-12-27,83
2010-12-28,85
2010-12-29,87
2010-12-30,89
2010-12-31,98
2011-01-01,97
2011-01-02,93
2011-01-03,93
2011-01-04,96
2011-01-05,97
2011-01-06,96
2011-01-07,95
2011-01-08,104
2011-01-09,94
2011-01-10,93
2011-01-11,93
2011-01-12,90
2011-01-13,88
2011-01-14,88
2011-01-15,93
2011-01-16,86
2011-01-17,85
2011-01-18,86
2011-01-19,84
2011-01-20,84
2011-01-21,84
2011-01-22,90
2011-01-23,83
2011-01-24,84
2011-01-25,85
2011-01-26,85
2011-01-27,86
2011-01-28,87
2011-01-29,97
2011-01-30,88
2011-01-31,89
2011-02-01,90
2011-02-02,92
2011-02-03,91
2011-02-04,93
2011-02-05,99
2011-02-06,90
2011-02-07,88
2011-02-08,89
2011-02-09,85
2011-02-10,84
2011-02-11,84
2011-02-12,87
2011-02-13,81
2011-02-14,81
2011-02-15,81
2011-02-16,82
2011-02-17,81
2011-02-18,82
2011-02-19,87
2011-02-20,81
2011-02-21,82
2011-02-22,82
2011-02-23,84
2011-02-24,83
2011-02-25,84
2011-02-26,91
2011-02-27,86
2011-02-28,87
2011-03-01,88
2011-03-02,89
2011-03-03,93
2011-03-04,93
2011-03-05,100
2011-03-06,91
2011-03-07,89
2011-03-08,87
2011-03-09,85
2011-03-10,83
2011-03-11,83
2011-03-12,85
2011-03-13,79
2011-03-14,79
2011-03-15,80
2011-03-16,80
2011-03-17,81
2011-03-18,80
2011-03-19,87
2011-03-20,79
2011-03-21,78
2011-03-22,79
2011-03-23,78
2011-03-24,77
2011-03-25,76
2011-03-26,82
2011-03-27,79
2011-03-28,80
2011-03-29,82
2011-03-30,85
2011-03-31,87
2011-04-01,92
2011-04-02,101
2011-04-03,91
2011-04-04,90
2011-04-05,91
2011-04-06,89
2011-04-07,88
2011-04-08,90
2011-04-09,95
2011-04-10,86
2011-04-11,85
2011-04-12,85
2011-04-13,85
2011-04-14,84
2011-04-15,84
2011-04-16,90
2011-04-17,82
2011-04-18,80
2011-04-19,79
2011-04-20,79
2011-04-21,76
2011-04-22,81
2011-04-23,73
2011-04-24,77
2011-04-25,77
2011-04-26,79
2011-04-27,81
2011-04-28,83
2011-04-29,86
2011-04-30,95
2011-05-01,87
2011-05-02,87
2011-05-03,87
2011-05-04,87
2011-05-05,88
2011-05-06,89
2011-05-07,93
2011-05-08,88
2011-05-09,85
2011-05-10,87
2011-05-11,85
2011-05-12,84
2011-05-13,85
2011-05-14,90
2011-05-15,82
2011-05-16,81
2011-05-17,82
2011-05-18,79
2011-05-19,80
2011-05-20,77
2011-05-21,83
2011-05-22,77
2011-05-23,78
2011-05-24,78
2011-05-25,79
2011-05-26,79
2011-05-27,80
2011-05-28,88
2011-05-29,82
2011-05-30,81
2011-05-31,82
2011-06-01,82
2011-06-02,90
2011-06-03,83
2011-06-04,92
2011-06-05,83
2011-06-06,82
2011-06-07,82
2011-06-08,82
2011-06-09,80
2011-06-10,79
2011-06-11,87
2011-06-12,82
2011-06-13,77
2011-06-14,76
2011-06-15,77
2011-06-16,75
2011-06-17,76
2011-06-18,80
2011-06-19,74
2011-06-20,74
2011-06-21,74
2011-06-22,75
2011-06-23,76
2011-06-24,74
2011-06-25,80
2011-06-26,76
2011-06-27,79
2011-06-28,81
2011-06-29,84
2011-06-30,86
2011-07-01,92
2011-07-02,99
2011-07-03,90
2011-07-04,89
2011-07-05,90
2011-07-06,88
2011-07-07,86
2011-07-08,85
2011-07-09,93
2011-07-10,84
2011-07-11,84
2011-07-12,85
2011-07-13,85
2011-07-14,84
2011-07-15,85
2011-07-16,93
2011-07-17,84
2011-07-18,83
2011-07-19,84
2011-07-20,82
2011-07-21,81
2011-07-22,81
2011-07-23,87
2011-07-24,81
2011-07-25,82
2011-07-26,83
2011-07-27,84
2011-07-28,85
2011-07-29,86
2011-07-30,95
2011-07-31,88
2011-08-01,86
2011-08-02,87
2011-08-03,87
2011-08-04,86
2011-08-05,87
2011-08-06,94
2011-08-07,85
2011-08-08,85
2011-08-09,85
2011-08-10,85
2011-08-11,83
2011-08-12,84
2011-08-13,91
2011-08-14,81
2011-08-15,80
2011-08-16,80
2011-08-17,79
2011-08-18,77
2011-08-19,77
2011-08-20,81
2011-08-21,75
2011-08-22,75
2011-08-23,76
2011-08-24,75
2011-08-25,75
2011-08-26,75
2011-08-27,81
2011-08-28,76
2011-08-29,78
2011-08-30,80
2011-08-31,82
2011-09-01,84
2011-09-02,87
2011-09-03,95
2011-09-04,86
2011-09-05,85
2011-09-06,86
2011-09-07,84
2011-09-08,83
2011-09-09,82
2011-09-10,86
2011-09-11,79
2011-09-12,79
2011-09-13,81
2011-09-14,79
2011-09-15,79
2011-09-16,81
2011-09-17,86
2011-09-18,78
2011-09-19,77
2011-09-20,78
2011-09-21,76
2011-09-22,75
2011-09-23,76
2011-09-24,81
2011-09-25,75
2011-09-26,76
2011-09-27,77
2011-09-28,79
2011-09-29,80
2011-09-30,82
2011-10-01,91
2011-10-02,85
2011-10-03,82
2011-10-04,82
2011-10-05,85
2011-10-06,82
2011-10-07,83
2011-10-08,90
2011-10-09,81
2011-10-10,80
2011-10-11,80
2011-10-12,80
2011-10-13,78
2011-10-14,78
2011-10-15,84
2011-10-16,76
2011-10-17,76
2011-10-18,77
2011-10-19,76
2011-10-20,76
2011-10-21,77
2011-10-22,81
2011-10-23,78
2011-10-24,78
2011-10-25,79
2011-10-26,81
2011-10-27,81
2011-10-28,82
2011-10-29,92
2011-10-30,82
2011-10-31,82
2011-11-01,84
2011-11-02,81
2011-11-03,81
2011-11-04,82
2011-11-05,89
2011-11-06,80
2011-11-07,79
2011-11-08,80
2011-11-09,78
2011-11-10,77
2011-11-11,78
2011-11-12,81
2011-11-13,76
2011-11-14,75
2011-11-15,75
2011-11-16,75
2011-11-17,76
