Date,Credit Suisse
2009-04-01,81
2009-04-02,84
2009-04-03,83
2009-04-04,97
2009-04-05,83
2009-04-06,81
2009-04-07,88
2009-04-08,77
2009-04-09,75
2009-04-10,82
2009-04-11,72
2009-04-12,74
2009-04-13,76
2009-04-14,78
2009-04-15,81
2009-04-16,87
2009-04-17,89
2009-04-18,97
2009-04-19,88
2009-04-20,88
2009-04-21,90
2009-04-22,88
2009-04-23,88
2009-04-24,88
2009-04-25,88
2009-04-26,95
2009-04-27,86
2009-04-28,86
2009-04-29,86
2009-04-30,83
2009-05-01,92
2009-05-02,86
2009-05-03,82
2009-05-04,82
2009-05-05,85
2009-05-06,82
2009-05-07,90
2009-05-08,82
2009-05-09,88
2009-05-10,81
2009-05-11,80
2009-05-12,83
2009-05-13,77
2009-05-14,80
2009-05-15,74
2009-05-16,82
2009-05-17,72
2009-05-18,72
2009-05-19,72
2009-05-20,73
2009-05-21,71
2009-05-22,72
2009-05-23,76
2009-05-24,70
2009-05-25,70
2009-05-26,72
2009-05-27,72
2009-05-28,70
2009-05-29,70
2009-05-30,75
2009-05-31,71
2009-06-01,72
2009-06-02,74
2009-06-03,75
2009-06-04,77
2009-06-05,86
2009-06-06,81
2009-06-07,78
2009-06-08,76
2009-06-09,74
2009-06-10,73
2009-06-11,75
2009-06-12,72
2009-06-13,69
2009-06-14,70
2009-06-15,72
2009-06-16,78
2009-06-17,83
2009-06-18,79
2009-06-19,81
2009-06-20,92
2009-06-21,84
2009-06-22,84
2009-06-23,86
2009-06-24,85
2009-06-25,86
2009-06-26,100
2009-06-27,87
2009-06-28,85
2009-06-29,84
2009-06-30,83
2009-07-01,81
2009-07-02,80
2009-07-03,85
2009-07-04,78
2009-07-05,79
2009-07-06,81
2009-07-07,85
2009-07-08,86
2009-07-09,88
2009-07-10,89
2009-07-11,103
2009-07-12,89
2009-07-13,88
2009-07-14,92
2009-07-15,85
2009-07-16,85
2009-07-17,83
2009-07-18,84
2009-07-19,89
2009-07-20,85
2009-07-21,89
2009-07-22,88
2009-07-23,90
2009-07-24,99
2009-07-25,104
2009-07-26,91
2009-07-27,89
2009-07-28,87
2009-07-29,86
2009-07-30,83
2009-07-31,83
2009-08-01,78
2009-08-02,79
2009-08-03,79
2009-08-04,80
2009-08-05,81
2009-08-06,89
2009-08-07,85
2009-08-08,88
2009-08-09,82
2009-08-10,81
2009-08-11,80
2009-08-12,78
2009-08-13,77
2009-08-14,76
2009-08-15,80
2009-08-16,76
2009-08-17,72
2009-08-18,71
2009-08-19,71
2009-08-20,72
2009-08-21,68
2009-08-22,69
2009-08-23,70
2009-08-24,73
2009-08-25,79
2009-08-26,79
2009-08-27,87
2009-08-28,85
2009-08-29,88
2009-08-30,87
2009-08-31,86
2009-09-01,86
2009-09-02,86
2009-09-03,85
2009-09-04,91
2009-09-05,88
2009-09-06,85
2009-09-07,87
2009-09-08,88
2009-09-09,93
2009-09-10,94
2009-09-11,93
2009-09-12,106
2009-09-13,96
2009-09-14,90
2009-09-15,88
2009-09-16,86
2009-09-17,90
2009-09-18,81
2009-09-19,84
2009-09-20,83
2009-09-21,77
2009-09-22,77
2009-09-23,79
2009-09-24,77
2009-09-25,75
2009-09-26,80
2009-09-27,75
2009-09-28,76
2009-09-29,77
2009-09-30,78
2009-10-01,79
2009-10-02,80
2009-10-03,88
2009-10-04,81
2009-10-05,81
2009-10-06,81
2009-10-07,84
2009-10-08,82
2009-10-09,85
2009-10-10,90
2009-10-11,84
2009-10-12,85
2009-10-13,89
2009-10-14,91
2009-10-15,89
2009-10-16,93
2009-10-17,94
2009-10-18,96
2009-10-19,90
2009-10-20,93
2009-10-21,89
2009-10-22,89
2009-10-23,98
2009-10-24,88
2009-10-25,93
2009-10-26,85
2009-10-27,87
2009-10-28,82
2009-10-29,80
2009-10-30,81
2009-10-31,82
2009-11-01,79
2009-11-02,81
2009-11-03,84
2009-11-04,88
2009-11-05,86
2009-11-06,90
2009-11-07,99
2009-11-08,89
2009-11-09,88
2009-11-10,88
2009-11-11,91
2009-11-12,87
2009-11-13,87
2009-11-14,91
2009-11-15,85
2009-11-16,84
2009-11-17,83
2009-11-18,82
2009-11-19,82
2009-11-20,81
2009-11-21,85
2009-11-22,84
2009-11-23,80
2009-11-24,81
2009-11-25,81
2009-11-26,82
2009-11-27,87
2009-11-28,89
2009-11-29,84
2009-11-30,84
2009-12-01,86
2009-12-02,85
2009-12-03,84
2009-12-04,86
2009-12-05,91
2009-12-06,84
2009-12-07,84
2009-12-08,84
2009-12-09,87
2009-12-10,90
2009-12-11,84
2009-12-12,88
2009-12-13,90
2009-12-14,83
2009-12-15,83
2009-12-16,86
2009-12-17,82
2009-12-18,81
2009-12-19,84
2009-12-20,77
2009-12-21,73
2009-12-22,69
2009-12-23,70
2009-12-24,61
2009-12-25,60
2009-12-26,53
2009-12-27,54
2009-12-28,55
2009-12-29,56
2009-12-30,61
2009-12-31,60
2010-01-01,59
2010-01-02,67
2010-01-03,65
2010-01-04,69
2010-01-05,73
2010-01-06,77
2010-01-07,81
2010-01-08,87
2010-01-09,96
2010-01-10,86
2010-01-11,84
2010-01-12,86
2010-01-13,79
2010-01-14,76
2010-01-15,84
2010-01-16,75
2010-01-17,76
2010-01-18,73
2010-01-19,73
2010-01-20,76
2010-01-21,76
2010-01-22,75
2010-01-23,84
2010-01-24,77
2010-01-25,78
2010-01-26,82
2010-01-27,81
2010-01-28,88
2010-01-29,85
2010-01-30,90
2010-01-31,88
2010-02-01,90
2010-02-02,92
2010-02-03,95
2010-02-04,96
2010-02-05,100
2010-02-06,108
2010-02-07,97
2010-02-08,94
2010-02-09,91
2010-02-10,92
2010-02-11,86
2010-02-12,88
2010-02-13,89
2010-02-14,82
2010-02-15,83
2010-02-16,86
2010-02-17,87
2010-02-18,88
2010-02-19,92
2010-02-20,100
2010-02-21,89
2010-02-22,87
2010-02-23,86
2010-02-24,92
2010-02-25,83
2010-02-26,86
2010-02-27,87
2010-02-28,81
2010-03-01,80
2010-03-02,80
2010-03-03,83
2010-03-04,80
2010-03-05,83
2010-03-06,86
2010-03-07,81
2010-03-08,81
2010-03-09,85
2010-03-10,82
2010-03-11,84
2010-03-12,83
2010-03-13,83
2010-03-14,87
2010-03-15,84
2010-03-16,86
2010-03-17,85
2010-03-18,86
2010-03-19,97
2010-03-20,92
2010-03-21,87
2010-03-22,86
2010-03-23,87
2010-03-24,84
2010-03-25,89
2010-03-26,82
2010-03-27,90
2010-03-28,81
2010-03-29,81
2010-03-30,82
2010-03-31,81
2010-04-01,81
2010-04-02,89
2010-04-03,82
2010-04-04,84
2010-04-05,77
2010-04-06,75
2010-04-07,72
2010-04-08,71
2010-04-09,70
2010-04-10,73
2010-04-11,66
2010-04-12,66
2010-04-13,69
2010-04-14,72
2010-04-15,68
2010-04-16,71
2010-04-17,76
2010-04-18,68
2010-04-19,68
2010-04-20,68
2010-04-21,67
2010-04-22,71
2010-04-23,67
2010-04-24,76
2010-04-25,69
2010-04-26,71
2010-04-27,73
2010-04-28,79
2010-04-29,77
2010-04-30,79
2010-05-01,88
2010-05-02,83
2010-05-03,84
2010-05-04,85
2010-05-05,86
2010-05-06,88
2010-05-07,89
2010-05-08,94
2010-05-09,90
2010-05-10,87
2010-05-11,86
2010-05-12,85
2010-05-13,88
2010-05-14,83
2010-05-15,91
2010-05-16,82
2010-05-17,83
2010-05-18,88
2010-05-19,84
2010-05-20,87
2010-05-21,86
2010-05-22,100
2010-05-23,83
2010-05-24,79
2010-05-25,76
2010-05-26,72
2010-05-27,72
2010-05-28,71
2010-05-29,64
2010-05-30,64
2010-05-31,66
2010-06-01,68
2010-06-02,71
2010-06-03,77
2010-06-04,78
2010-06-05,84
2010-06-06,77
2010-06-07,76
2010-06-08,81
2010-06-09,75
2010-06-10,75
2010-06-11,74
2010-06-12,82
2010-06-13,73
2010-06-14,73
2010-06-15,73
2010-06-16,79
2010-06-17,73
2010-06-18,74
2010-06-19,77
2010-06-20,72
2010-06-21,72
2010-06-22,72
2010-06-23,75
2010-06-24,71
2010-06-25,79
2010-06-26,71
2010-06-27,72
2010-06-28,74
2010-06-29,77
2010-06-30,79
2010-07-01,78
2010-07-02,80
2010-07-03,89
2010-07-04,82
2010-07-05,82
2010-07-06,82
2010-07-07,83
2010-07-08,83
2010-07-09,83
2010-07-10,96
2010-07-11,82
2010-07-12,80
2010-07-13,78
2010-07-14,77
2010-07-15,81
2010-07-16,74
2010-07-17,81
2010-07-18,72
2010-07-19,73
2010-07-20,74
2010-07-21,76
2010-07-22,76
2010-07-23,79
2010-07-24,87
2010-07-25,77
2010-07-26,76
2010-07-27,78
2010-07-28,74
2010-07-29,73
2010-07-30,72
2010-07-31,80
2010-08-01,70
2010-08-02,68
2010-08-03,67
2010-08-04,66
2010-08-05,67
2010-08-06,64
2010-08-07,70
2010-08-08,62
2010-08-09,62
2010-08-10,61
2010-08-11,61
2010-08-12,62
2010-08-13,60
2010-08-14,60
2010-08-15,62
2010-08-16,64
2010-08-17,66
2010-08-18,76
2010-08-19,70
2010-08-20,77
2010-08-21,79
2010-08-22,75
2010-08-23,75
2010-08-24,76
2010-08-25,75
2010-08-26,76
2010-08-27,75
2010-08-28,82
2010-08-29,78
2010-08-30,75
2010-08-31,75
2010-09-01,75
2010-09-02,77
2010-09-03,75
2010-09-04,83
2010-09-05,73
2010-09-06,71
2010-09-07,70
2010-09-08,68
2010-09-09,69
2010-09-10,69
2010-09-11,64
2010-09-12,66
2010-09-13,68
2010-09-14,71
2010-09-15,72
2010-09-16,76
2010-09-17,78
2010-09-18,85
2010-09-19,78
2010-09-20,77
2010-09-21,79
2010-09-22,76
2010-09-23,78
2010-09-24,75
2010-09-25,78
2010-09-26,76
2010-09-27,75
2010-09-28,75
2010-09-29,77
2010-09-30,75
2010-10-01,75
2010-10-02,87
2010-10-03,75
2010-10-04,75
2010-10-05,77
2010-10-06,77
2010-10-07,75
2010-10-08,81
2010-10-09,76
2010-10-10,76
2010-10-11,77
2010-10-12,78
2010-10-13,83
2010-10-14,82
