Date,BofA Merrill Lynch
2012-05-01,100
2012-05-02,96
2012-05-03,93
2012-05-04,90
2012-05-05,87
2012-05-06,83
2012-05-07,80
2012-05-08,77
2012-05-09,74
2012-05-10,70
2012-05-11,67
2012-05-12,64
2012-05-13,61
2012-05-14,58
2012-05-15,54
2012-05-16,51
2012-05-17,48
2012-05-18,45
2012-05-19,41
2012-05-20,38
2012-05-21,35
2012-05-22,32
2012-05-23,29
2012-05-24,25
2012-05-25,22
2012-05-26,19
2012-05-27,16
2012-05-28,12
2012-05-29,9
2012-05-30,6
2012-05-31,3
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,2
2012-12-03,4
2012-12-04,6
2012-12-05,9
2012-12-06,11
2012-12-07,13
2012-12-08,16
2012-12-09,18
2012-12-10,20
2012-12-11,23
2012-12-12,25
2012-12-13,27
2012-12-14,30
2012-12-15,32
2012-12-16,34
2012-12-17,37
2012-12-18,39
2012-12-19,41
2012-12-20,44
2012-12-21,46
2012-12-22,48
2012-12-23,51
2012-12-24,53
2012-12-25,55
2012-12-26,58
2012-12-27,60
2012-12-28,62
2012-12-29,65
2012-12-30,67
2012-12-31,69
2013-01-01,72
2013-01-02,72
2013-01-03,72
2013-01-04,72
2013-01-05,72
2013-01-06,72
2013-01-07,72
2013-01-08,73
2013-01-09,73
2013-01-10,73
2013-01-11,73
2013-01-12,73
2013-01-13,73
2013-01-14,74
2013-01-15,74
2013-01-16,74
2013-01-17,74
2013-01-18,74
2013-01-19,74
2013-01-20,75
2013-01-21,75
2013-01-22,75
2013-01-23,75
2013-01-24,75
2013-01-25,75
2013-01-26,76
2013-01-27,76
2013-01-28,76
2013-01-29,76
2013-01-30,76
2013-01-31,76
2013-02-01,77
2013-02-02,77
2013-02-03,77
2013-02-04,77
2013-02-05,77
2013-02-06,77
2013-02-07,78
2013-02-08,78
2013-02-09,78
2013-02-10,78
2013-02-11,78
2013-02-12,78
2013-02-13,79
2013-02-14,79
2013-02-15,79
2013-02-16,79
2013-02-17,79
2013-02-18,80
2013-02-19,80
2013-02-20,80
2013-02-21,80
2013-02-22,80
2013-02-23,80
2013-02-24,81
2013-02-25,81
2013-02-26,81
2013-02-27,81
2013-02-28,81
2013-03-01,82
2013-03-02,82
2013-03-03,82
2013-03-04,82
2013-03-05,82
2013-03-06,82
2013-03-07,82
2013-03-08,83
2013-03-09,83
2013-03-10,83
2013-03-11,83
2013-03-12,83
2013-03-13,83
2013-03-14,84
2013-03-15,84
2013-03-16,84
2013-03-17,84
2013-03-18,84
2013-03-19,84
2013-03-20,85
2013-03-21,85
2013-03-22,85
2013-03-23,85
2013-03-24,85
2013-03-25,85
2013-03-26,86
2013-03-27,86
2013-03-28,86
2013-03-29,86
2013-03-30,86
2013-03-31,86
2013-04-01,87
2013-04-02,84
2013-04-03,81
2013-04-04,78
2013-04-05,75
2013-04-06,72
2013-04-07,69
2013-04-08,66
2013-04-09,63
2013-04-10,60
2013-04-11,58
2013-04-12,55
2013-04-13,52
2013-04-14,49
2013-04-15,46
2013-04-16,43
2013-04-17,40
2013-04-18,37
2013-04-19,34
2013-04-20,31
2013-04-21,29
2013-04-22,26
2013-04-23,23
2013-04-24,20
