Date,Morgan Stanley
2005-09-10,58
2005-09-11,58
2005-09-12,60
2005-09-13,61
2005-09-14,65
2005-09-15,64
2005-09-16,66
2005-09-17,71
2005-09-18,67
2005-09-19,67
2005-09-20,67
2005-09-21,66
2005-09-22,66
2005-09-23,69
2005-09-24,67
2005-09-25,65
2005-09-26,64
2005-09-27,63
2005-09-28,63
2005-09-29,63
2005-09-30,63
2005-10-01,61
2005-10-02,63
2005-10-03,66
2005-10-04,69
2005-10-05,71
2005-10-06,74
2005-10-07,77
2005-10-08,80
2005-10-09,78
2005-10-10,76
2005-10-11,75
2005-10-12,75
2005-10-13,72
2005-10-14,70
2005-10-15,73
2005-10-16,70
2005-10-17,72
2005-10-18,74
2005-10-19,75
2005-10-20,83
2005-10-21,82
2005-10-22,81
2005-10-23,78
2005-10-24,75
2005-10-25,74
2005-10-26,69
2005-10-27,66
2005-10-28,63
2005-10-29,60
2005-10-30,59
2005-10-31,59
2005-11-01,59
2005-11-02,61
2005-11-03,58
2005-11-04,58
2005-11-05,58
2005-11-06,62
2005-11-07,64
2005-11-08,67
2005-11-09,70
2005-11-10,73
2005-11-11,76
2005-11-12,79
2005-11-13,84
2005-11-14,77
2005-11-15,79
2005-11-16,75
2005-11-17,74
2005-11-18,73
2005-11-19,76
2005-11-20,70
2005-11-21,69
2005-11-22,67
2005-11-23,66
2005-11-24,64
2005-11-25,63
2005-11-26,62
2005-11-27,63
2005-11-28,65
2005-11-29,74
2005-11-30,68
2005-12-01,69
2005-12-02,73
2005-12-03,73
2005-12-04,73
2005-12-05,73
2005-12-06,76
2005-12-07,73
2005-12-08,77
2005-12-09,73
2005-12-10,74
2005-12-11,73
2005-12-12,72
2005-12-13,71
2005-12-14,74
2005-12-15,69
2005-12-16,68
2005-12-17,67
2005-12-18,65
2005-12-19,63
2005-12-20,61
2005-12-21,59
2005-12-22,57
2005-12-23,55
2005-12-24,54
2005-12-25,52
2005-12-26,50
2005-12-27,48
2005-12-28,46
2005-12-29,46
2005-12-30,42
2005-12-31,40
2006-01-01,48
2006-01-02,57
2006-01-03,65
2006-01-04,77
2006-01-05,82
2006-01-06,95
2006-01-07,100
2006-01-08,106
2006-01-09,96
2006-01-10,94
2006-01-11,99
