Date,Oppenheimer Holdings
2013-04-01,99
2013-04-02,99
2013-04-03,99
2013-04-04,99
2013-04-05,99
2013-04-06,99
2013-04-07,99
2013-04-08,99
2013-04-09,99
2013-04-10,99
2013-04-11,99
2013-04-12,99
2013-04-13,99
2013-04-14,99
2013-04-15,99
2013-04-16,99
2013-04-17,99
2013-04-18,99
2013-04-19,99
2013-04-20,99
2013-04-21,99
2013-04-22,99
2013-04-23,99
2013-04-24,99
2013-04-25,99
2013-04-26,99
2013-04-27,99
2013-04-28,99
2013-04-29,99
2013-04-30,99
2013-05-01,99
2013-05-02,98
2013-05-03,97
2013-05-04,96
2013-05-05,95
2013-05-06,94
2013-05-07,93
2013-05-08,92
2013-05-09,91
2013-05-10,90
2013-05-11,89
2013-05-12,88
2013-05-13,87
2013-05-14,86
2013-05-15,85
2013-05-16,84
2013-05-17,83
2013-05-18,82
2013-05-19,81
2013-05-20,80
2013-05-21,79
2013-05-22,78
2013-05-23,77
2013-05-24,76
2013-05-25,75
2013-05-26,74
2013-05-27,73
2013-05-28,72
2013-05-29,71
2013-05-30,70
2013-05-31,69
2013-06-01,68
2013-06-02,69
2013-06-03,70
2013-06-04,71
2013-06-05,72
2013-06-06,73
2013-06-07,74
2013-06-08,75
2013-06-09,76
2013-06-10,77
2013-06-11,78
2013-06-12,79
2013-06-13,80
2013-06-14,81
2013-06-15,82
2013-06-16,84
2013-06-17,85
2013-06-18,86
2013-06-19,87
2013-06-20,88
2013-06-21,89
2013-06-22,90
2013-06-23,91
2013-06-24,92
2013-06-25,93
2013-06-26,94
2013-06-27,95
2013-06-28,96
2013-06-29,97
2013-06-30,98
2013-07-01,100
2013-07-02,99
2013-07-03,99
2013-07-04,99
2013-07-05,99
2013-07-06,99
2013-07-07,99
2013-07-08,99
2013-07-09,99
2013-07-10,99
2013-07-11,99
2013-07-12,98
2013-07-13,98
2013-07-14,98
2013-07-15,98
2013-07-16,98
2013-07-17,98
2013-07-18,98
2013-07-19,98
2013-07-20,98
2013-07-21,98
2013-07-22,97
2013-07-23,97
2013-07-24,97
2013-07-25,97
2013-07-26,97
2013-07-27,97
2013-07-28,97
2013-07-29,97
2013-07-30,97
2013-07-31,97
2013-08-01,97
2013-08-02,95
2013-08-03,93
2013-08-04,91
2013-08-05,90
2013-08-06,88
2013-08-07,86
2013-08-08,84
2013-08-09,83
2013-08-10,81
2013-08-11,79
2013-08-12,77
2013-08-13,76
2013-08-14,74
2013-08-15,72
2013-08-16,70
2013-08-17,69
2013-08-18,67
2013-08-19,65
2013-08-20,63
2013-08-21,62
2013-08-22,60
2013-08-23,58
2013-08-24,56
2013-08-25,55
2013-08-26,53
2013-08-27,51
2013-08-28,49
2013-08-29,48
2013-08-30,46
2013-08-31,44
2013-09-01,43
2013-09-02,44
2013-09-03,45
2013-09-04,46
2013-09-05,47
2013-09-06,48
2013-09-07,49
2013-09-08,50
2013-09-09,51
2013-09-10,52
2013-09-11,53
2013-09-12,54
2013-09-13,55
2013-09-14,56
2013-09-15,57
2013-09-16,58
2013-09-17,59
2013-09-18,60
2013-09-19,61
2013-09-20,62
2013-09-21,63
2013-09-22,64
2013-09-23,65
2013-09-24,66
2013-09-25,67
2013-09-26,68
2013-09-27,69
2013-09-28,70
2013-09-29,71
2013-09-30,72
2013-10-01,73
2013-10-02,73
2013-10-03,73
2013-10-04,73
2013-10-05,73
2013-10-06,74
2013-10-07,74
2013-10-08,74
2013-10-09,74
2013-10-10,75
2013-10-11,75
2013-10-12,75
2013-10-13,75
2013-10-14,75
2013-10-15,76
2013-10-16,76
2013-10-17,76
2013-10-18,76
2013-10-19,77
2013-10-20,77
2013-10-21,77
2013-10-22,77
2013-10-23,77
2013-10-24,78
2013-10-25,78
2013-10-26,78
2013-10-27,78
2013-10-28,79
2013-10-29,79
2013-10-30,79
2013-10-31,79
2013-11-01,80
2013-11-02,78
2013-11-03,77
2013-11-04,76
2013-11-05,75
2013-11-06,74
2013-11-07,73
2013-11-08,72
2013-11-09,71
2013-11-10,70
2013-11-11,69
2013-11-12,68
2013-11-13,67
2013-11-14,66
2013-11-15,65
2013-11-16,64
2013-11-17,63
2013-11-18,62
2013-11-19,61
2013-11-20,60
2013-11-21,59
2013-11-22,58
2013-11-23,57
2013-11-24,56
2013-11-25,55
2013-11-26,54
2013-11-27,53
2013-11-28,52
2013-11-29,51
2013-11-30,50
2013-12-01,49
2013-12-02,50
2013-12-03,51
2013-12-04,52
2013-12-05,53
2013-12-06,54
2013-12-07,55
2013-12-08,56
2013-12-09,57
2013-12-10,58
2013-12-11,59
2013-12-12,61
2013-12-13,62
2013-12-14,63
2013-12-15,64
2013-12-16,65
2013-12-17,66
2013-12-18,67
2013-12-19,68
2013-12-20,69
2013-12-21,70
2013-12-22,72
2013-12-23,73
2013-12-24,74
2013-12-25,75
2013-12-26,76
2013-12-27,77
2013-12-28,78
2013-12-29,79
2013-12-30,80
2013-12-31,81
2014-01-01,83
2014-01-02,83
2014-01-03,83
2014-01-04,84
2014-01-05,84
2014-01-06,84
2014-01-07,85
2014-01-08,85
2014-01-09,85
2014-01-10,86
2014-01-11,86
2014-01-12,86
2014-01-13,87
2014-01-14,87
2014-01-15,87
2014-01-16,88
2014-01-17,88
2014-01-18,89
2014-01-19,89
2014-01-20,89
2014-01-21,90
2014-01-22,90
2014-01-23,90
2014-01-24,91
2014-01-25,91
2014-01-26,91
2014-01-27,92
2014-01-28,92
2014-01-29,92
2014-01-30,93
2014-01-31,93
2014-02-01,94
