Date,UBS Securities
2005-12-01,59
2005-12-02,61
2005-12-03,60
2005-12-04,59
2005-12-05,58
2005-12-06,59
2005-12-07,62
2005-12-08,57
2005-12-09,56
2005-12-10,59
2005-12-11,56
2005-12-12,56
2005-12-13,56
2005-12-14,57
2005-12-15,57
2005-12-16,56
2005-12-17,61
2005-12-18,55
2005-12-19,54
2005-12-20,57
2005-12-21,51
2005-12-22,54
2005-12-23,49
2005-12-24,48
2005-12-25,46
2005-12-26,44
2005-12-27,43
2005-12-28,41
2005-12-29,42
2005-12-30,38
2005-12-31,37
2006-01-01,38
2006-01-02,40
2006-01-03,44
2006-01-04,43
2006-01-05,50
2006-01-06,47
2006-01-07,51
2006-01-08,49
2006-01-09,49
2006-01-10,53
2006-01-11,50
2006-01-12,51
2006-01-13,51
2006-01-14,52
2006-01-15,53
2006-01-16,58
2006-01-17,56
2006-01-18,56
2006-01-19,60
2006-01-20,58
2006-01-21,62
2006-01-22,59
2006-01-23,59
2006-01-24,59
2006-01-25,60
2006-01-26,59
2006-01-27,66
2006-01-28,59
2006-01-29,59
2006-01-30,59
2006-01-31,62
2006-02-01,59
2006-02-02,59
2006-02-03,59
2006-02-04,61
2006-02-05,57
2006-02-06,55
2006-02-07,59
2006-02-08,51
2006-02-09,49
2006-02-10,48
2006-02-11,48
2006-02-12,47
2006-02-13,49
2006-02-14,51
2006-02-15,57
2006-02-16,55
2006-02-17,57
2006-02-18,62
2006-02-19,58
2006-02-20,57
2006-02-21,59
2006-02-22,56
2006-02-23,61
2006-02-24,55
2006-02-25,55
2006-02-26,55
2006-02-27,53
2006-02-28,53
2006-03-01,52
2006-03-02,52
2006-03-03,52
2006-03-04,52
2006-03-05,50
2006-03-06,50
2006-03-07,52
2006-03-08,51
2006-03-09,50
2006-03-10,52
2006-03-11,50
2006-03-12,49
2006-03-13,49
2006-03-14,48
2006-03-15,51
2006-03-16,48
2006-03-17,47
2006-03-18,48
2006-03-19,48
2006-03-20,51
2006-03-21,52
2006-03-22,58
2006-03-23,56
2006-03-24,58
2006-03-25,63
2006-03-26,63
2006-03-27,56
2006-03-28,54
2006-03-29,52
2006-03-30,51
2006-03-31,48
2006-04-01,49
2006-04-02,47
2006-04-03,47
2006-04-04,50
2006-04-05,47
2006-04-06,47
2006-04-07,53
2006-04-08,47
2006-04-09,48
2006-04-10,50
2006-04-11,54
2006-04-12,53
2006-04-13,55
2006-04-14,58
2006-04-15,58
2006-04-16,58
2006-04-17,57
2006-04-18,57
2006-04-19,57
2006-04-20,57
2006-04-21,58
2006-04-22,62
2006-04-23,55
2006-04-24,54
2006-04-25,53
2006-04-26,53
2006-04-27,51
2006-04-28,49
2006-04-29,48
2006-04-30,48
2006-05-01,47
2006-05-02,47
2006-05-03,49
2006-05-04,46
2006-05-05,46
2006-05-06,50
2006-05-07,47
2006-05-08,48
2006-05-09,52
2006-05-10,53
2006-05-11,55
2006-05-12,54
2006-05-13,57
2006-05-14,56
2006-05-15,56
2006-05-16,58
2006-05-17,56
2006-05-18,59
2006-05-19,56
2006-05-20,60
2006-05-21,56
2006-05-22,56
2006-05-23,58
2006-05-24,57
2006-05-25,56
2006-05-26,60
2006-05-27,57
2006-05-28,56
2006-05-29,55
2006-05-30,57
2006-05-31,54
2006-06-01,54
2006-06-02,55
2006-06-03,53
2006-06-04,52
2006-06-05,52
2006-06-06,51
2006-06-07,57
2006-06-08,50
2006-06-09,50
2006-06-10,54
2006-06-11,51
2006-06-12,52
2006-06-13,54
2006-06-14,56
2006-06-15,57
2006-06-16,60
2006-06-17,60
2006-06-18,58
2006-06-19,57
2006-06-20,56
2006-06-21,58
2006-06-22,54
2006-06-23,55
2006-06-24,52
2006-06-25,52
2006-06-26,53
2006-06-27,53
2006-06-28,55
2006-06-29,54
2006-06-30,56
2006-07-01,59
2006-07-02,55
2006-07-03,54
2006-07-04,55
2006-07-05,52
2006-07-06,51
2006-07-07,53
2006-07-08,50
2006-07-09,49
2006-07-10,49
2006-07-11,49
2006-07-12,52
2006-07-13,48
2006-07-14,48
2006-07-15,50
2006-07-16,47
2006-07-17,46
2006-07-18,46
2006-07-19,46
2006-07-20,47
2006-07-21,44
2006-07-22,45
2006-07-23,44
2006-07-24,44
2006-07-25,44
2006-07-26,46
2006-07-27,45
2006-07-28,44
2006-07-29,49
2006-07-30,45
2006-07-31,46
2006-08-01,51
2006-08-02,47
2006-08-03,48
2006-08-04,52
2006-08-05,51
2006-08-06,51
2006-08-07,52
2006-08-08,59
2006-08-09,54
2006-08-10,55
2006-08-11,58
2006-08-12,62
2006-08-13,57
2006-08-14,57
2006-08-15,58
2006-08-16,56
2006-08-17,56
2006-08-18,58
2006-08-19,55
2006-08-20,54
2006-08-21,54
2006-08-22,58
2006-08-23,53
2006-08-24,55
2006-08-25,56
2006-08-26,53
2006-08-27,53
2006-08-28,54
2006-08-29,55
2006-08-30,56
2006-08-31,58
2006-09-01,57
2006-09-02,58
2006-09-03,57
2006-09-04,56
2006-09-05,55
2006-09-06,55
2006-09-07,56
2006-09-08,55
2006-09-09,55
2006-09-10,52
2006-09-11,56
2006-09-12,52
2006-09-13,52
2006-09-14,52
2006-09-15,53
2006-09-16,56
2006-09-17,51
2006-09-18,51
2006-09-19,52
2006-09-20,50
2006-09-21,51
2006-09-22,49
2006-09-23,51
2006-09-24,51
2006-09-25,51
2006-09-26,54
2006-09-27,54
2006-09-28,55
2006-09-29,59
2006-09-30,59
2006-10-01,57
2006-10-02,57
2006-10-03,57
2006-10-04,56
2006-10-05,59
2006-10-06,57
2006-10-07,59
2006-10-08,55
2006-10-09,55
2006-10-10,56
2006-10-11,55
2006-10-12,59
2006-10-13,55
2006-10-14,55
2006-10-15,60
2006-10-16,55
2006-10-17,56
2006-10-18,55
2006-10-19,55
2006-10-20,55
2006-10-21,62
2006-10-22,56
2006-10-23,55
2006-10-24,55
2006-10-25,54
2006-10-26,58
2006-10-27,54
2006-10-28,58
2006-10-29,55
2006-10-30,55
2006-10-31,57
2006-11-01,58
2006-11-02,59
2006-11-03,59
2006-11-04,64
2006-11-05,59
2006-11-06,59
2006-11-07,59
2006-11-08,60
2006-11-09,58
2006-11-10,60
2006-11-11,58
2006-11-12,59
2006-11-13,56
2006-11-14,55
2006-11-15,55
2006-11-16,53
2006-11-17,52
2006-11-18,56
2006-11-19,51
2006-11-20,51
2006-11-21,51
2006-11-22,52
2006-11-23,52
2006-11-24,51
2006-11-25,52
2006-11-26,53
2006-11-27,52
2006-11-28,53
2006-11-29,53
2006-11-30,56
2006-12-01,55
2006-12-02,58
2006-12-03,56
2006-12-04,56
2006-12-05,56
2006-12-06,60
2006-12-07,59
2006-12-08,56
2006-12-09,60
2006-12-10,57
2006-12-11,57
2006-12-12,58
2006-12-13,60
2006-12-14,59
2006-12-15,59
2006-12-16,66
2006-12-17,60
2006-12-18,61
2006-12-19,63
2006-12-20,66
2006-12-21,64
2006-12-22,64
2006-12-23,70
2006-12-24,63
2006-12-25,62
2006-12-26,60
2006-12-27,59
2006-12-28,61
2006-12-29,56
2006-12-30,59
2006-12-31,56
2007-01-01,57
2007-01-02,58
2007-01-03,59
2007-01-04,60
2007-01-05,62
2007-01-06,63
2007-01-07,62
2007-01-08,62
2007-01-09,62
2007-01-10,64
2007-01-11,62
2007-01-12,65
2007-01-13,66
2007-01-14,63
2007-01-15,64
2007-01-16,66
2007-01-17,68
2007-01-18,69
2007-01-19,70
2007-01-20,75
2007-01-21,72
2007-01-22,73
2007-01-23,74
2007-01-24,75
2007-01-25,75
2007-01-26,75
2007-01-27,88
2007-01-28,75
2007-01-29,75
2007-01-30,75
2007-01-31,74
2007-02-01,76
2007-02-02,74
2007-02-03,76
2007-02-04,74
2007-02-05,72
2007-02-06,74
2007-02-07,71
2007-02-08,73
2007-02-09,70
2007-02-10,73
2007-02-11,69
2007-02-12,66
2007-02-13,67
2007-02-14,65
2007-02-15,62
2007-02-16,67
2007-02-17,59
2007-02-18,58
2007-02-19,57
2007-02-20,59
2007-02-21,55
2007-02-22,54
2007-02-23,56
2007-02-24,57
2007-02-25,54
2007-02-26,55
2007-02-27,56
2007-02-28,57
2007-03-01,58
2007-03-02,60
2007-03-03,62
2007-03-04,62
2007-03-05,61
2007-03-06,62
2007-03-07,64
2007-03-08,65
2007-03-09,64
2007-03-10,69
2007-03-11,65
2007-03-12,62
2007-03-13,61
2007-03-14,59
2007-03-15,58
2007-03-16,57
2007-03-17,61
2007-03-18,56
2007-03-19,56
2007-03-20,58
2007-03-21,57
2007-03-22,57
2007-03-23,61
2007-03-24,61
2007-03-25,58
2007-03-26,59
2007-03-27,60
2007-03-28,63
2007-03-29,66
2007-03-30,63
2007-03-31,72
2007-04-01,63
2007-04-02,62
2007-04-03,61
2007-04-04,60
2007-04-05,59
2007-04-06,59
2007-04-07,64
2007-04-08,62
2007-04-09,67
2007-04-10,72
2007-04-11,77
2007-04-12,84
2007-04-13,90
2007-04-14,105
2007-04-15,92
2007-04-16,92
2007-04-17,94
2007-04-18,96
2007-04-19,93
2007-04-20,98
2007-04-21,102
2007-04-22,94
2007-04-23,89
2007-04-24,86
2007-04-25,89
2007-04-26,83
2007-04-27,79
2007-04-28,84
2007-04-29,77
2007-04-30,72
2007-05-01,74
2007-05-02,71
2007-05-03,66
2007-05-04,64
2007-05-05,65
2007-05-06,64
2007-05-07,63
2007-05-08,63
2007-05-09,64
2007-05-10,67
2007-05-11,65
2007-05-12,71
2007-05-13,70
2007-05-14,65
2007-05-15,66
2007-05-16,64
2007-05-17,67
2007-05-18,64
2007-05-19,65
2007-05-20,72
2007-05-21,72
2007-05-22,78
2007-05-23,80
2007-05-24,84
2007-05-25,89
2007-05-26,101
2007-05-27,94
2007-05-28,93
2007-05-29,97
2007-05-30,94
2007-05-31,94
2007-06-01,94
2007-06-02,102
2007-06-03,99
2007-06-04,93
2007-06-05,93
2007-06-06,96
2007-06-07,92
2007-06-08,91
2007-06-09,105
2007-06-10,91
2007-06-11,91
2007-06-12,91
2007-06-13,91
2007-06-14,91
2007-06-15,91
2007-06-16,100
2007-06-17,90
2007-06-18,89
2007-06-19,89
2007-06-20,90
2007-06-21,88
2007-06-22,91
2007-06-23,92
2007-06-24,88
2007-06-25,87
2007-06-26,89
2007-06-27,87
2007-06-28,91
2007-06-29,90
2007-06-30,93
2007-07-01,89
2007-07-02,91
2007-07-03,93
2007-07-04,94
2007-07-05,102
2007-07-06,98
2007-07-07,104
2007-07-08,102
2007-07-09,98
2007-07-10,99
2007-07-11,98
2007-07-12,95
2007-07-13,96
2007-07-14,102
2007-07-15,90
2007-07-16,88
2007-07-17,86
2007-07-18,84
2007-07-19,90
2007-07-20,80
2007-07-21,82
2007-07-22,81
2007-07-23,77
2007-07-24,77
2007-07-25,79
2007-07-26,78
2007-07-27,77
2007-07-28,82
2007-07-29,76
2007-07-30,76
2007-07-31,76
2007-08-01,77
2007-08-02,77
2007-08-03,75
2007-08-04,82
2007-08-05,75
2007-08-06,76
2007-08-07,78
2007-08-08,78
2007-08-09,79
2007-08-10,80
2007-08-11,88
2007-08-12,85
2007-08-13,79
2007-08-14,82
2007-08-15,78
2007-08-16,80
2007-08-17,79
2007-08-18,81
2007-08-19,80
2007-08-20,80
2007-08-21,83
2007-08-22,83
2007-08-23,88
2007-08-24,87
2007-08-25,94
2007-08-26,87
2007-08-27,85
2007-08-28,83
2007-08-29,82
2007-08-30,80
2007-08-31,80
2007-09-01,77
2007-09-02,79
2007-09-03,79
2007-09-04,81
2007-09-05,82
2007-09-06,86
2007-09-07,85
2007-09-08,91
2007-09-09,91
2007-09-10,85
2007-09-11,84
2007-09-12,85
2007-09-13,82
2007-09-14,82
2007-09-15,85
2007-09-16,80
2007-09-17,80
2007-09-18,80
2007-09-19,80
2007-09-20,82
2007-09-21,83
2007-09-22,83
2007-09-23,81
2007-09-24,81
2007-09-25,83
2007-09-26,81
2007-09-27,81
2007-09-28,81
2007-09-29,89
2007-09-30,85
2007-10-01,78
2007-10-02,78
2007-10-03,74
2007-10-04,72
2007-10-05,74
2007-10-06,68
2007-10-07,69
2007-10-08,70
2007-10-09,72
2007-10-10,75
2007-10-11,75
2007-10-12,80
2007-10-13,86
2007-10-14,76
2007-10-15,75
2007-10-16,73
2007-10-17,72
2007-10-18,72
2007-10-19,69
2007-10-20,75
2007-10-21,68
2007-10-22,64
2007-10-23,64
2007-10-24,60
2007-10-25,58
2007-10-26,58
2007-10-27,58
2007-10-28,56
2007-10-29,58
2007-10-30,63
2007-10-31,61
2007-11-01,62
2007-11-02,64
2007-11-03,68
2007-11-04,66
2007-11-05,66
2007-11-06,68
2007-11-07,66
2007-11-08,68
2007-11-09,66
2007-11-10,68
2007-11-11,69
2007-11-12,62
2007-11-13,63
2007-11-14,59
2007-11-15,60
2007-11-16,57
2007-11-17,61
2007-11-18,55
2007-11-19,56
2007-11-20,57
2007-11-21,58
2007-11-22,62
2007-11-23,60
2007-11-24,63
2007-11-25,61
2007-11-26,62
2007-11-27,63
2007-11-28,64
2007-11-29,64
2007-11-30,66
