Date,Bear Stearns
2006-03-05,39
2006-03-06,40
2006-03-07,40
2006-03-08,41
2006-03-09,41
2006-03-10,42
2006-03-11,43
2006-03-12,43
2006-03-13,43
2006-03-14,43
2006-03-15,43
2006-03-16,43
2006-03-17,43
2006-03-18,44
2006-03-19,42
2006-03-20,41
2006-03-21,40
2006-03-22,39
2006-03-23,38
2006-03-24,37
2006-03-25,36
2006-03-26,35
2006-03-27,34
2006-03-28,33
2006-03-29,32
2006-03-30,31
2006-03-31,30
2006-04-01,30
2006-04-02,30
2006-04-03,31
2006-04-04,32
2006-04-05,33
2006-04-06,34
2006-04-07,35
2006-04-08,36
2006-04-09,34
2006-04-10,33
2006-04-11,31
2006-04-12,30
2006-04-13,28
2006-04-14,27
2006-04-15,26
2006-04-16,28
2006-04-17,30
2006-04-18,33
2006-04-19,35
2006-04-20,37
2006-04-21,39
2006-04-22,42
2006-04-23,42
2006-04-24,43
2006-04-25,43
2006-04-26,44
2006-04-27,44
2006-04-28,45
2006-04-29,45
2006-04-30,43
2006-05-01,39
2006-05-02,37
2006-05-03,34
2006-05-04,32
2006-05-05,29
2006-05-06,27
2006-05-07,29
2006-05-08,31
2006-05-09,34
2006-05-10,36
2006-05-11,38
2006-05-12,41
2006-05-13,43
2006-05-14,42
2006-05-15,40
2006-05-16,39
2006-05-17,37
2006-05-18,36
2006-05-19,35
2006-05-20,34
2006-05-21,34
2006-05-22,34
2006-05-23,34
2006-05-24,35
2006-05-25,35
2006-05-26,35
2006-05-27,35
2006-05-28,34
2006-06-04,25
2006-06-05,28
2006-06-06,31
2006-06-07,34
2006-06-08,37
2006-06-09,40
2006-06-10,43
2006-06-11,42
2006-06-12,40
2006-06-13,39
2006-06-14,38
2006-06-15,37
2006-06-16,36
2006-06-17,35
2006-06-18,34
2006-06-19,33
2006-06-20,32
2006-06-21,32
2006-06-22,31
2006-06-23,30
2006-06-24,30
2006-06-25,31
2006-06-26,33
2006-06-27,34
2006-06-28,36
2006-06-29,38
2006-06-30,39
2006-07-01,41
2006-07-02,40
2006-07-03,39
2006-07-04,38
2006-07-05,37
2006-07-06,36
2006-07-07,35
2006-07-08,34
2006-07-09,34
2006-07-10,34
2006-07-11,34
2006-07-12,34
2006-07-13,34
2006-07-14,34
2006-07-15,35
2006-07-16,34
2006-07-17,33
2006-07-18,33
2006-07-19,32
2006-07-20,32
2006-07-21,31
2006-07-22,31
2006-07-23,32
2006-07-24,33
2006-07-25,34
2006-07-26,35
2006-07-27,37
2006-07-28,38
2006-07-29,39
2006-07-30,37
2006-07-31,36
2006-08-01,34
2006-08-02,33
2006-08-03,31
2006-08-04,30
2006-08-05,29
2006-08-06,28
2006-08-07,27
2006-08-08,27
2006-08-09,26
2006-08-10,26
2006-08-11,25
2006-08-12,25
2006-08-13,25
2006-08-14,25
2006-08-15,26
2006-08-16,26
2006-08-17,27
2006-08-18,27
2006-08-19,28
2006-08-20,28
2006-08-21,28
2006-08-22,28
2006-08-23,29
2006-08-24,29
2006-08-25,29
2006-08-26,30
2006-08-27,30
2006-09-01,30
2006-09-02,31
2006-09-03,31
2006-09-04,31
2006-09-05,32
2006-09-06,32
2006-09-07,33
2006-09-08,33
2006-09-09,34
2006-09-10,35
2006-09-11,36
2006-09-12,38
2006-09-13,38
2006-09-14,39
2006-09-15,40
2006-09-16,42
2006-09-17,40
2006-09-18,39
2006-09-19,37
2006-09-20,36
2006-09-21,34
2006-09-22,33
2006-09-23,32
2006-09-24,33
2006-09-25,34
2006-09-26,35
2006-09-27,36
2006-09-28,37
2006-09-29,38
2006-09-30,39
2006-10-01,38
2006-10-02,37
2006-10-03,37
2006-10-04,38
2006-10-05,36
2006-10-06,35
2006-10-07,35
2006-10-08,35
2006-10-09,35
2006-10-10,35
2006-10-11,36
2006-10-12,36
2006-10-13,38
2006-10-14,37
2006-10-15,37
2006-10-16,37
2006-10-17,37
2006-10-18,37
2006-10-19,38
2006-10-20,38
2006-10-21,38
2006-10-22,38
2006-10-23,38
2006-10-24,39
2006-10-25,39
2006-10-26,39
2006-10-27,39
2006-10-28,40
2006-10-29,38
2006-10-30,37
2006-10-31,36
2006-11-01,35
2006-11-02,34
2006-11-03,34
2006-11-04,32
2006-11-05,31
2006-11-06,31
2006-11-07,31
2006-11-08,30
2006-11-09,30
2006-11-10,31
2006-11-11,30
2006-11-12,30
2006-11-13,30
2006-11-14,30
2006-11-15,30
2006-11-16,30
2006-11-17,30
2006-11-18,31
2006-11-19,30
2006-11-20,30
2006-11-21,30
2006-11-22,30
2006-11-23,30
2006-11-24,30
2006-11-25,30
2006-11-26,30
2006-11-27,30
2006-11-28,30
2006-11-29,33
2006-11-30,31
2006-12-01,31
2006-12-02,32
2006-12-03,31
2006-12-04,30
2006-12-05,29
2006-12-06,29
2006-12-07,28
2006-12-08,27
2006-12-09,27
2006-12-10,28
2006-12-11,29
2006-12-12,31
2006-12-13,32
2006-12-14,34
2006-12-15,38
2006-12-16,37
2006-12-17,36
2006-12-18,36
2006-12-19,36
2006-12-20,36
2006-12-21,36
2006-12-22,36
2006-12-23,36
2006-12-24,33
2006-12-25,31
2006-12-26,29
2006-12-27,27
2006-12-28,25
2006-12-29,23
2006-12-30,21
2006-12-31,21
2007-01-01,22
2007-01-02,23
2007-01-03,23
2007-01-04,24
2007-01-05,26
2007-01-06,26
2007-01-07,28
2007-01-08,30
2007-01-09,32
2007-01-10,34
2007-01-11,36
2007-01-12,38
2007-01-13,40
2007-01-14,39
2007-01-15,38
2007-01-16,39
2007-01-17,37
2007-01-18,36
2007-01-19,35
2007-01-20,35
2007-01-21,34
2007-01-22,33
2007-01-23,32
2007-01-24,32
2007-01-25,32
2007-01-26,31
2007-01-27,30
2007-01-28,31
2007-01-29,32
2007-01-30,33
2007-01-31,34
2007-02-01,37
2007-02-02,36
2007-02-03,38
2007-02-04,37
2007-02-05,36
2007-02-06,36
2007-02-07,35
2007-02-08,35
2007-02-09,34
2007-02-10,34
2007-02-11,33
2007-02-12,34
2007-02-13,34
2007-02-14,33
2007-02-15,33
2007-02-16,33
2007-02-17,33
2007-02-18,32
2007-02-19,32
2007-02-20,31
2007-02-21,32
2007-02-22,30
2007-02-23,30
2007-02-24,31
2007-02-25,30
2007-02-26,30
2007-02-27,30
2007-02-28,30
2007-03-01,30
2007-03-02,30
2007-03-03,31
2007-03-04,32
2007-03-05,33
2007-03-06,36
2007-03-07,37
2007-03-08,37
2007-03-09,38
2007-03-10,40
2007-03-11,40
2007-03-12,40
2007-03-13,41
2007-03-14,41
2007-03-15,42
2007-03-16,46
2007-03-17,43
2007-03-18,43
2007-03-19,43
2007-03-20,46
2007-03-21,43
2007-03-22,43
2007-03-23,43
2007-03-24,44
2007-03-25,42
2007-03-26,40
2007-03-27,39
2007-03-28,36
2007-03-29,34
2007-03-30,32
2007-03-31,30
2007-04-01,29
2007-04-02,28
2007-04-03,27
2007-04-04,26
2007-04-05,25
2007-04-06,24
2007-04-07,24
2007-04-08,25
2007-04-09,27
2007-04-10,31
2007-04-11,31
2007-04-12,33
2007-04-13,35
2007-04-14,37
2007-04-15,35
2007-04-16,33
2007-04-17,31
2007-04-18,29
2007-04-19,27
2007-04-20,25
2007-04-21,23
2007-04-22,23
2007-04-23,24
2007-04-24,24
2007-04-25,25
2007-04-26,26
2007-04-27,26
2007-04-28,27
2007-04-29,27
2007-04-30,27
2007-05-01,28
2007-05-02,28
2007-05-03,29
2007-05-04,29
2007-05-05,30
2007-05-06,29
2007-05-07,28
2007-05-08,27
2007-05-09,26
2007-05-10,25
2007-05-11,24
2007-05-12,24
2007-05-13,24
2007-05-14,25
2007-05-15,25
2007-05-16,26
2007-05-17,26
2007-05-18,27
2007-05-19,28
2007-05-20,28
2007-05-21,29
2007-05-22,30
2007-05-23,30
2007-05-24,31
2007-05-25,32
2007-05-26,33
2007-05-27,32
2007-05-28,32
2007-05-29,32
2007-05-30,33
2007-05-31,31
2007-06-01,31
2007-06-02,31
2007-06-03,31
2007-06-04,31
2007-06-05,32
2007-06-06,35
2007-06-07,33
2007-06-08,33
2007-06-09,35
2007-06-10,35
2007-06-11,37
2007-06-12,38
2007-06-13,40
2007-06-14,41
2007-06-15,46
2007-06-16,45
2007-06-17,47
2007-06-18,50
2007-06-19,53
2007-06-20,55
2007-06-21,58
2007-06-22,62
2007-06-23,72
2007-06-24,65
2007-06-25,67
2007-06-26,72
2007-06-27,72
2007-06-28,77
2007-06-29,74
2007-06-30,85
2007-07-01,70
2007-07-02,65
2007-07-03,60
2007-07-04,55
2007-07-05,51
2007-07-06,45
2007-07-07,40
2007-07-08,40
2007-07-09,40
2007-07-10,43
2007-07-11,41
2007-07-12,41
2007-07-13,44
2007-07-14,42
2007-07-15,47
2007-07-16,53
2007-07-17,58
2007-07-18,64
2007-07-19,78
2007-07-20,77
2007-07-21,89
2007-07-22,75
2007-07-23,69
2007-07-24,64
2007-07-25,62
2007-07-26,53
2007-07-27,47
2007-07-28,44
2007-07-29,48
2007-07-30,54
2007-07-31,60
2007-08-01,66
2007-08-02,75
2007-08-03,78
2007-08-04,91
2007-08-05,87
2007-08-06,88
2007-08-07,95
2007-08-08,99
2007-08-09,95
2007-08-10,98
2007-08-11,103
2007-08-12,94
2007-08-13,88
2007-08-14,88
2007-08-15,76
2007-08-16,72
2007-08-17,64
2007-08-18,65
2007-08-19,56
2007-08-20,54
2007-08-21,52
2007-08-22,50
2007-08-23,51
2007-08-24,46
2007-08-25,44
2007-08-26,42
2007-08-27,41
2007-08-28,40
2007-08-29,40
2007-08-30,38
2007-08-31,36
2007-09-01,35
2007-09-02,35
2007-09-03,35
2007-09-04,36
2007-09-05,37
2007-09-06,37
2007-09-07,39
2007-09-08,38
2007-09-09,38
2007-09-10,38
2007-09-11,40
2007-09-12,40
2007-09-13,41
2007-09-14,42
2007-09-15,42
2007-09-16,42
2007-09-17,43
2007-09-18,44
2007-09-19,48
2007-09-20,47
2007-09-21,53
2007-09-22,56
2007-09-23,48
2007-09-24,47
2007-09-25,46
2007-09-26,44
2007-09-27,43
2007-09-28,45
2007-09-29,41
2007-09-30,40
2007-10-01,40
2007-10-02,39
2007-10-03,39
2007-10-04,41
2007-10-05,38
2007-10-06,41
2007-10-07,37
2007-10-08,37
2007-10-09,37
2007-10-10,37
2007-10-11,36
2007-10-12,36
2007-10-13,38
2007-10-14,36
2007-10-15,37
2007-10-16,37
2007-10-17,39
2007-10-18,40
2007-10-19,39
2007-10-20,40
2007-10-21,41
2007-10-22,43
2007-10-23,45
2007-10-24,49
2007-10-25,51
2007-10-26,54
2007-10-27,53
2007-10-28,51
2007-10-29,50
2007-10-30,49
2007-10-31,50
2007-11-01,46
2007-11-02,46
2007-11-03,44
2007-11-04,45
2007-11-05,42
2007-11-06,42
2007-11-07,43
2007-11-08,42
2007-11-09,40
2007-11-10,40
2007-11-11,39
2007-11-12,39
2007-11-13,39
2007-11-14,39
2007-11-15,41
2007-11-16,41
2007-11-17,39
2007-11-18,38
2007-11-19,37
2007-11-20,40
2007-11-21,36
2007-11-22,34
2007-11-23,33
2007-11-24,33
2007-11-25,34
2007-11-26,36
2007-11-27,38
2007-11-28,39
2007-11-29,43
2007-11-30,43
2007-12-01,45
2007-12-02,44
2007-12-03,43
2007-12-04,43
2007-12-05,42
2007-12-06,44
2007-12-07,40
2007-12-08,42
2007-12-09,38
2007-12-10,36
2007-12-11,34
2007-12-12,32
2007-12-13,32
2007-12-14,28
2007-12-15,29
2007-12-16,30
2007-12-17,33
2007-12-18,36
2007-12-19,40
2007-12-20,43
2007-12-21,51
2007-12-22,50
2007-12-23,46
2007-12-24,42
2007-12-25,38
2007-12-26,34
2007-12-27,30
2007-12-28,26
2007-12-29,22
2007-12-30,22
2007-12-31,23
2008-01-01,24
2008-01-02,26
2008-01-03,25
2008-01-04,26
2008-01-05,27
2008-01-06,30
2008-01-07,34
2008-01-08,37
2008-01-09,41
2008-01-10,48
2008-01-11,51
2008-01-12,52
2008-01-13,51
2008-01-14,50
2008-01-15,50
2008-01-16,48
2008-01-17,47
2008-01-18,47
2008-01-19,46
2008-01-20,43
2008-01-21,42
2008-01-22,41
2008-01-23,39
2008-01-24,38
2008-01-25,37
2008-01-26,36
2008-01-27,36
2008-01-28,36
2008-01-29,36
2008-01-30,36
2008-01-31,37
2008-02-01,37
2008-02-02,37
2008-02-03,36
2008-02-04,35
2008-02-05,37
2008-02-06,34
2008-02-07,34
2008-02-08,34
2008-02-09,33
2008-02-10,31
2008-02-11,30
2008-02-12,29
2008-02-13,29
2008-02-14,26
2008-02-15,25
2008-02-16,24
2008-02-17,25
2008-02-18,26
2008-02-19,27
2008-02-20,28
2008-02-21,31
2008-02-22,30
2008-02-23,31
2008-02-24,30
2008-02-25,30
2008-02-26,30
2008-02-27,30
2008-02-28,29
2008-02-29,29
