Date,Barclays Capital
2010-12-01,73
2010-12-02,73
2010-12-03,72
2010-12-04,77
2010-12-05,72
2010-12-06,70
2010-12-07,69
2010-12-08,69
2010-12-09,68
2010-12-10,68
2010-12-11,72
2010-12-12,67
2010-12-13,67
2010-12-14,67
2010-12-15,67
2010-12-16,68
2010-12-17,67
2010-12-18,72
2010-12-19,67
2010-12-20,66
2010-12-21,66
2010-12-22,65
2010-12-23,65
2010-12-24,68
2010-12-25,70
2010-12-26,64
2010-12-27,65
2010-12-28,66
2010-12-29,66
2010-12-30,67
2010-12-31,69
2011-01-01,73
2011-01-02,70
2011-01-03,72
2011-01-04,73
2011-01-05,78
2011-01-06,77
2011-01-07,78
2011-01-08,84
2011-01-09,80
2011-01-10,80
2011-01-11,80
2011-01-12,80
2011-01-13,82
2011-01-14,80
2011-01-15,84
2011-01-16,80
2011-01-17,80
2011-01-18,79
2011-01-19,81
2011-01-20,78
2011-01-21,78
2011-01-22,82
2011-01-23,78
2011-01-24,79
2011-01-25,81
2011-01-26,80
2011-01-27,81
2011-01-28,83
2011-01-29,85
2011-01-30,84
2011-01-31,81
2011-02-01,82
2011-02-02,79
2011-02-03,79
2011-02-04,77
2011-02-05,81
2011-02-06,78
2011-02-07,76
2011-02-08,76
2011-02-09,77
2011-02-10,76
2011-02-11,75
2011-02-12,78
2011-02-13,77
2011-02-14,77
2011-02-15,78
2011-02-16,81
2011-02-17,80
2011-02-18,81
2011-02-19,84
2011-02-20,86
2011-02-21,81
2011-02-22,82
2011-02-23,80
2011-02-24,80
2011-02-25,79
2011-02-26,84
2011-02-27,80
2011-02-28,79
2011-03-01,80
2011-03-02,83
2011-03-03,81
2011-03-04,82
2011-03-05,86
2011-03-06,82
2011-03-07,81
2011-03-08,81
2011-03-09,81
2011-03-10,79
2011-03-11,81
2011-03-12,85
2011-03-13,78
2011-03-14,77
2011-03-15,77
2011-03-16,76
2011-03-17,77
2011-03-18,75
2011-03-19,79
2011-03-20,75
2011-03-21,75
2011-03-22,76
2011-03-23,76
2011-03-24,77
2011-03-25,76
2011-03-26,82
2011-03-27,78
2011-03-28,78
2011-03-29,80
2011-03-30,80
2011-03-31,81
