Date,JPMorgan Chase
2011-11-12,54
2011-11-13,55
2011-11-14,53
2011-11-15,54
2011-11-16,56
2011-11-17,56
2011-11-18,56
2011-11-19,62
2011-11-20,55
2011-11-21,53
2011-11-22,54
2011-11-23,50
2011-11-24,52
2011-11-25,47
2011-11-26,46
2011-11-27,50
2011-11-28,50
2011-11-29,52
2011-11-30,54
2011-12-01,56
2011-12-02,58
2011-12-03,65
2011-12-04,64
2011-12-05,59
2011-12-06,58
2011-12-07,59
2011-12-08,57
2011-12-09,55
2011-12-10,55
2011-12-11,59
2011-12-12,55
2011-12-13,55
2011-12-14,55
2011-12-15,55
2011-12-16,55
2011-12-17,58
2011-12-18,59
2011-12-19,53
2011-12-20,52
2011-12-21,52
2011-12-22,52
2011-12-23,51
2011-12-24,54
2011-12-25,55
2011-12-26,49
2011-12-27,48
2011-12-28,48
2011-12-29,49
2011-12-30,47
2011-12-31,50
2012-01-01,51
2012-01-02,49
2012-01-03,51
2012-01-04,52
2012-01-05,54
2012-01-06,57
2012-01-07,60
2012-01-08,61
2012-01-09,58
2012-01-10,58
2012-01-11,60
2012-01-12,59
2012-01-13,60
2012-01-14,68
2012-01-15,62
2012-01-16,61
2012-01-17,61
2012-01-18,62
2012-01-19,61
2012-01-20,61
2012-01-21,66
2012-01-22,67
2012-01-23,62
2012-01-24,62
2012-01-25,63
2012-01-26,62
2012-01-27,62
2012-01-28,65
2012-01-29,67
2012-01-30,65
2012-01-31,66
2012-02-01,68
2012-02-02,70
2012-02-03,71
2012-02-04,75
2012-02-05,77
2012-02-06,70
2012-02-07,69
2012-02-08,69
2012-02-09,68
2012-02-10,66
2012-02-11,69
2012-02-12,68
2012-02-13,64
2012-02-14,64
2012-02-15,64
2012-02-16,64
2012-02-17,64
2012-02-18,67
2012-02-19,68
2012-02-20,62
2012-02-21,62
2012-02-22,62
2012-02-23,63
2012-02-24,60
2012-02-25,64
2012-02-26,62
2012-02-27,61
2012-02-28,61
2012-02-29,64
2012-03-01,62
2012-03-02,63
2012-03-03,68
2012-03-04,66
2012-03-05,64
2012-03-06,65
2012-03-07,64
2012-03-08,64
2012-03-09,66
2012-03-10,69
2012-03-11,68
2012-03-12,64
2012-03-13,65
2012-03-14,64
2012-03-15,65
2012-03-16,64
2012-03-17,68
2012-03-18,66
2012-03-19,62
2012-03-20,63
2012-03-21,61
2012-03-22,60
2012-03-23,61
2012-03-24,63
2012-03-25,62
2012-03-26,59
2012-03-27,61
2012-03-28,62
2012-03-29,60
2012-03-30,60
2012-03-31,66
2012-04-01,61
2012-04-02,61
2012-04-03,62
2012-04-04,63
2012-04-05,63
2012-04-06,63
2012-04-07,69
2012-04-08,65
2012-04-09,65
2012-04-10,66
2012-04-11,68
2012-04-12,68
2012-04-13,69
2012-04-14,77
2012-04-15,69
2012-04-16,68
2012-04-17,67
2012-04-18,70
2012-04-19,66
2012-04-20,64
2012-04-21,69
2012-04-22,66
2012-04-23,61
2012-04-24,60
2012-04-25,60
2012-04-26,58
2012-04-27,57
2012-04-28,58
2012-04-29,59
2012-04-30,56
2012-05-01,57
2012-05-02,58
2012-05-03,59
2012-05-04,60
2012-05-05,60
2012-05-06,68
2012-05-07,66
2012-05-08,70
2012-05-09,75
2012-05-10,77
2012-05-11,81
2012-05-12,92
2012-05-13,93
2012-05-14,89
2012-05-15,92
2012-05-16,98
2012-05-17,96
2012-05-18,99
2012-05-19,107
2012-05-20,100
2012-05-21,90
2012-05-22,86
2012-05-23,82
2012-05-24,77
2012-05-25,71
2012-05-26,74
2012-05-27,68
2012-05-28,65
2012-05-29,64
2012-05-30,64
2012-05-31,62
2012-06-01,61
2012-06-02,67
2012-06-03,64
2012-06-04,61
2012-06-05,64
2012-06-06,62
2012-06-07,63
2012-06-08,63
2012-06-09,69
2012-06-10,67
2012-06-11,63
2012-06-12,63
2012-06-13,63
2012-06-14,63
2012-06-15,63
2012-06-16,68
2012-06-17,64
2012-06-18,61
2012-06-19,61
2012-06-20,60
2012-06-21,60
2012-06-22,60
2012-06-23,65
2012-06-24,62
2012-06-25,59
2012-06-26,59
2012-06-27,61
2012-06-28,59
2012-06-29,60
2012-06-30,62
2012-07-01,65
2012-07-02,60
2012-07-03,60
2012-07-04,67
2012-07-05,60
2012-07-06,60
2012-07-07,66
2012-07-08,65
2012-07-09,63
2012-07-10,64
2012-07-11,67
2012-07-12,68
2012-07-13,68
2012-07-14,77
2012-07-15,72
2012-07-16,68
2012-07-17,67
2012-07-18,66
2012-07-19,65
2012-07-20,64
2012-07-21,68
2012-07-22,63
2012-07-23,63
2012-07-24,63
2012-07-25,63
2012-07-26,63
2012-07-27,63
2012-07-28,68
2012-07-29,64
2012-07-30,63
2012-07-31,63
2012-08-01,64
2012-08-02,65
2012-08-03,65
2012-08-04,67
2012-08-05,68
2012-08-06,65
2012-08-07,66
2012-08-08,66
2012-08-09,67
2012-08-10,66
2012-08-11,72
2012-08-12,71
2012-08-13,66
2012-08-14,66
2012-08-15,65
2012-08-16,67
2012-08-17,65
2012-08-18,70
2012-08-19,66
2012-08-20,64
2012-08-21,64
2012-08-22,63
2012-08-23,63
2012-08-24,62
2012-08-25,67
2012-08-26,63
2012-08-27,61
2012-08-28,62
2012-08-29,61
2012-08-30,62
2012-08-31,61
2012-09-01,65
2012-09-02,62
2012-09-03,60
2012-09-04,60
2012-09-05,60
2012-09-06,60
2012-09-07,60
2012-09-08,64
2012-09-09,62
2012-09-10,62
2012-09-11,63
2012-09-12,65
2012-09-13,65
2012-09-14,67
2012-09-15,71
2012-09-16,70
2012-09-17,67
2012-09-18,67
2012-09-19,67
2012-09-20,67
2012-09-21,68
2012-09-22,72
2012-09-23,68
2012-09-24,66
2012-09-25,66
2012-09-26,67
2012-09-27,67
2012-09-28,66
2012-09-29,69
2012-09-30,70
2012-10-01,66
2012-10-02,66
2012-10-03,67
2012-10-04,67
2012-10-05,66
2012-10-06,71
2012-10-07,67
2012-10-08,64
2012-10-09,64
2012-10-10,63
2012-10-11,63
2012-10-12,62
2012-10-13,67
2012-10-14,65
2012-10-15,60
2012-10-16,60
2012-10-17,59
2012-10-18,60
2012-10-19,57
2012-10-20,60
2012-10-21,61
2012-10-22,56
2012-10-23,56
2012-10-24,55
2012-10-25,55
2012-10-26,55
2012-10-27,60
2012-10-28,58
2012-10-29,55
2012-10-30,55
2012-10-31,55
2012-11-01,55
2012-11-02,55
2012-11-03,57
2012-11-04,59
2012-11-05,55
2012-11-06,56
2012-11-07,56
2012-11-08,55
2012-11-09,55
2012-11-10,59
2012-11-11,60
2012-11-12,56
2012-11-13,56
2012-11-14,56
2012-11-15,56
2012-11-16,56
2012-11-17,60
2012-11-18,57
2012-11-19,54
2012-11-20,53
2012-11-21,52
2012-11-22,56
2012-11-23,50
2012-11-24,49
2012-11-25,52
2012-11-26,51
2012-11-27,52
2012-11-28,53
2012-11-29,54
2012-11-30,55
2012-12-01,60
2012-12-02,59
2012-12-03,56
2012-12-04,56
2012-12-05,56
2012-12-06,56
2012-12-07,56
2012-12-08,59
2012-12-09,58
2012-12-10,56
2012-12-11,56
2012-12-12,57
2012-12-13,56
2012-12-14,56
2012-12-15,62
2012-12-16,60
2012-12-17,57
2012-12-18,57
2012-12-19,59
2012-12-20,58
2012-12-21,59
2012-12-22,65
2012-12-23,61
2012-12-24,57
2012-12-25,61
2012-12-26,54
2012-12-27,52
2012-12-28,51
2012-12-29,53
2012-12-30,52
2012-12-31,53
2013-01-01,59
2013-01-02,57
2013-01-03,60
2013-01-04,61
2013-01-05,68
2013-01-06,65
2013-01-07,63
2013-01-08,63
2013-01-09,63
2013-01-10,64
2013-01-11,63
2013-01-12,68
2013-01-13,69
2013-01-14,65
2013-01-15,65
2013-01-16,66
2013-01-17,68
2013-01-18,67
2013-01-19,71
2013-01-20,71
2013-01-21,67
2013-01-22,67
2013-01-23,66
2013-01-24,66
2013-01-25,66
2013-01-26,69
2013-01-27,71
2013-01-28,68
2013-01-29,69
2013-01-30,70
2013-01-31,71
2013-02-01,72
2013-02-02,77
2013-02-03,78
2013-02-04,74
2013-02-05,74
2013-02-06,74
2013-02-07,75
2013-02-08,75
2013-02-09,78
2013-02-10,76
2013-02-11,72
2013-02-12,71
2013-02-13,71
2013-02-14,71
2013-02-15,69
2013-02-16,74
2013-02-17,69
2013-02-18,67
2013-02-19,66
2013-02-20,66
2013-02-21,65
2013-02-22,65
2013-02-23,68
2013-02-24,67
2013-02-25,65
2013-02-26,66
2013-02-27,67
2013-02-28,67
2013-03-01,68
2013-03-02,74
2013-03-03,73
2013-03-04,69
2013-03-05,69
2013-03-06,71
2013-03-07,70
2013-03-08,69
2013-03-09,73
2013-03-10,73
2013-03-11,70
2013-03-12,70
2013-03-13,71
2013-03-14,71
2013-03-15,71
2013-03-16,78
2013-03-17,73
2013-03-18,71
2013-03-19,71
2013-03-20,72
2013-03-21,71
2013-03-22,71
2013-03-23,74
2013-03-24,72
2013-03-25,68
2013-03-26,67
2013-03-27,66
2013-03-28,65
2013-03-29,65
2013-03-30,68
2013-03-31,63
2013-05-01,60
2013-05-02,61
2013-05-03,61
2013-05-04,67
2013-05-05,65
2013-05-06,61
2013-05-07,61
2013-05-08,61
2013-05-09,60
2013-05-10,61
2013-05-11,63
2013-05-12,64
2013-05-13,59
2013-05-14,59
2013-05-15,59
2013-05-16,60
2013-05-17,59
2013-05-18,62
2013-05-19,64
2013-05-20,59
2013-05-21,60
2013-05-22,60
2013-05-23,63
2013-05-24,61
2013-05-25,66
2013-05-26,64
2013-05-27,60
2013-05-28,59
2013-05-29,59
2013-05-30,59
2013-05-31,57
2013-06-01,61
2013-06-02,59
2013-06-03,58
2013-06-04,59
2013-06-05,60
2013-06-06,61
2013-06-07,61
2013-06-08,66
2013-06-09,66
2013-06-10,63
2013-06-11,63
2013-06-12,64
2013-06-13,66
2013-06-14,65
2013-06-15,70
2013-06-16,70
2013-06-17,64
2013-06-18,63
2013-06-19,64
2013-06-20,62
2013-06-21,61
2013-06-22,66
2013-06-23,64
2013-06-24,61
2013-06-25,61
2013-06-26,61
2013-06-27,61
2013-06-28,61
2013-06-29,63
2013-06-30,65
2013-07-01,59
2013-07-02,59
2013-07-03,59
2013-07-04,63
2013-07-05,57
2013-07-06,60
2013-07-07,61
2013-07-08,60
2013-07-09,63
2013-07-10,63
2013-07-11,67
2013-07-12,67
2013-07-13,74
2013-07-14,73
2013-07-15,67
2013-07-16,68
2013-07-17,66
2013-07-18,66
2013-07-19,65
2013-07-20,69
2013-07-21,68
2013-07-22,65
2013-07-23,67
2013-07-24,66
2013-07-25,66
2013-07-26,66
2013-07-27,71
2013-07-28,70
2013-07-29,67
2013-07-30,68
2013-07-31,68
2013-08-01,69
2013-08-02,70
2013-08-03,75
2013-08-04,74
2013-08-05,67
2013-08-06,66
2013-08-07,67
2013-08-08,64
2013-08-09,63
2013-08-10,66
2013-08-11,65
2013-08-12,64
2013-08-13,66
2013-08-14,67
2013-08-15,69
2013-08-16,71
2013-08-17,77
2013-08-18,74
2013-08-19,70
2013-08-20,69
2013-08-21,70
2013-08-22,68
2013-08-23,68
2013-08-24,71
2013-08-25,70
2013-08-26,66
2013-08-27,65
2013-08-28,65
2013-08-29,66
2013-08-30,64
2013-08-31,68
2013-09-01,66
2013-09-02,63
2013-09-03,63
2013-09-04,63
2013-09-05,63
2013-09-06,63
2013-09-07,70
2013-09-08,64
2013-09-09,63
2013-09-10,63
2013-09-11,65
2013-09-12,64
2013-09-13,63
2013-09-14,70
2013-09-15,66
2013-09-16,64
2013-09-17,64
2013-09-18,67
2013-09-19,64
2013-09-20,65
2013-09-21,71
2013-09-22,67
2013-09-23,65
2013-09-24,65
2013-09-25,65
2013-09-26,65
2013-09-27,66
2013-09-28,69
2013-09-29,67
2013-09-30,64
2013-10-01,64
2013-10-02,66
2013-10-03,64
2013-10-04,64
2013-10-05,69
2013-10-06,67
2013-10-07,63
2013-10-08,64
2013-10-09,63
2013-10-10,63
2013-10-11,63
2013-10-12,70
2013-10-13,65
2013-10-14,62
2013-10-15,62
2013-10-16,62
2013-10-17,62
2013-10-18,62
2013-10-19,67
2013-10-20,63
2013-10-21,63
2013-10-22,65
2013-10-23,66
2013-10-24,65
2013-10-25,67
2013-10-26,71
2013-10-27,70
2013-10-28,66
2013-10-29,65
2013-10-30,65
2013-10-31,65
