Date,Jefferies
2011-02-06,43
2011-02-07,41
2011-02-08,39
2011-02-09,37
2011-02-10,35
2011-02-11,33
2011-02-12,31
2011-02-13,32
2011-02-14,34
2011-02-15,35
2011-02-16,37
2011-02-17,38
2011-02-18,40
2011-02-19,42
2011-02-20,41
2011-02-21,41
2011-02-22,40
2011-02-23,39
2011-02-24,39
2011-02-25,38
2011-02-26,38
2011-02-27,37
2011-02-28,36
2011-03-01,35
2011-03-02,34
2011-03-03,33
2011-03-04,32
2011-03-05,31
2011-03-06,32
2011-03-07,34
2011-03-08,35
2011-03-09,37
2011-03-10,39
2011-03-11,40
2011-03-12,42
2011-03-13,40
2011-03-14,37
2011-03-15,35
2011-03-16,33
2011-03-17,31
2011-03-18,29
2011-03-19,27
2011-03-20,27
2011-03-21,27
2011-03-22,27
2011-03-23,28
2011-03-24,28
2011-03-25,28
2011-03-26,29
2011-03-27,30
2011-05-01,29
2011-05-02,30
2011-05-03,32
2011-05-04,33
2011-05-05,34
2011-05-06,36
2011-05-07,37
2011-05-08,36
2011-05-09,35
2011-05-10,34
2011-05-11,33
2011-05-12,32
2011-05-13,31
2011-05-14,31
2011-05-15,32
2011-05-16,33
2011-05-17,34
2011-05-18,35
2011-05-19,36
2011-05-20,37
2011-05-21,38
2011-05-22,36
2011-05-23,34
2011-05-24,33
2011-05-25,31
2011-05-26,30
2011-05-27,28
2011-05-28,27
2011-05-29,26
2011-05-30,25
2011-05-31,24
2011-06-01,23
2011-06-02,22
2011-06-03,21
2011-06-04,20
2011-06-05,21
2011-06-06,22
2011-06-07,23
2011-06-08,25
2011-06-09,26
2011-06-10,27
2011-06-11,29
2011-06-12,31
2011-06-13,34
2011-06-14,36
2011-06-15,39
2011-06-16,41
2011-06-17,44
2011-06-18,47
2011-06-19,44
2011-06-20,42
2011-06-21,40
2011-06-22,37
2011-06-23,35
2011-06-24,33
2011-06-25,31
2011-06-26,30
2011-06-27,29
2011-06-28,28
2011-06-29,28
2011-06-30,27
2011-07-01,26
2011-07-02,26
2011-07-03,27
2011-07-04,28
2011-07-05,30
2011-07-06,31
2011-07-07,33
2011-07-08,34
2011-07-09,36
2011-07-10,37
2011-07-11,38
2011-07-12,40
2011-07-13,41
2011-07-14,43
2011-07-15,44
2011-07-16,46
2011-07-17,45
2011-07-18,44
2011-07-19,43
2011-07-20,42
2011-07-21,41
2011-07-22,40
2011-07-23,40
2011-07-24,38
2011-07-25,36
2011-07-26,34
2011-07-27,32
2011-07-28,30
2011-07-29,29
2011-07-30,27
2011-07-31,28
2011-08-07,31
2011-08-08,30
2011-08-09,29
2011-08-10,28
2011-08-11,27
2011-08-12,26
2011-08-13,25
2011-08-14,26
2011-08-15,27
2011-08-16,28
2011-08-17,29
2011-08-18,30
2011-08-19,31
2011-08-20,32
2011-08-21,31
2011-08-22,30
2011-08-23,29
2011-08-24,28
2011-08-25,27
2011-08-26,26
2011-08-27,26
2011-08-28,25
2011-08-29,24
2011-08-30,23
2011-08-31,22
2011-09-01,21
2011-09-02,20
2011-09-03,20
2011-09-04,21
2011-09-05,23
2011-09-06,24
2011-09-07,26
2011-09-08,27
2011-09-09,29
2011-09-10,30
2011-09-11,29
2011-09-12,27
2011-09-13,26
2011-09-14,25
2011-09-15,24
2011-09-16,23
2011-09-17,22
2011-09-18,22
2011-09-19,23
2011-09-20,23
2011-09-21,24
2011-09-22,24
2011-09-23,25
2011-09-24,26
2011-09-25,27
2011-09-26,28
2011-09-27,30
2011-09-28,31
2011-09-29,33
2011-09-30,34
2011-10-01,36
2011-10-02,35
2011-10-03,34
2011-10-04,33
2011-10-05,33
2011-10-06,32
2011-10-07,31
2011-10-08,31
2011-10-09,31
2011-10-10,32
2011-10-11,32
2011-10-12,32
2011-10-13,33
2011-10-14,33
2011-10-15,34
2011-10-16,33
2011-10-17,32
2011-10-18,32
2011-10-19,31
2011-10-20,31
2011-10-21,30
2011-10-22,30
2011-10-23,30
2011-10-24,30
2011-10-25,30
2011-10-26,31
2011-10-27,31
2011-10-28,31
2011-10-29,32
2011-10-30,41
2011-11-06,91
2011-11-07,83
2011-11-08,74
2011-11-09,66
2011-11-10,58
2011-11-11,49
2011-11-12,41
2011-11-13,41
2011-11-14,41
2011-11-15,41
2011-11-16,41
2011-11-17,41
2011-11-18,41
2011-11-19,41
2011-11-20,43
2011-11-21,46
2011-11-22,48
2011-11-23,50
2011-11-24,53
2011-11-25,55
2011-11-26,58
2011-11-27,54
2011-11-28,48
2011-11-29,44
2011-11-30,40
2011-12-01,36
2011-12-02,32
2011-12-03,28
2011-12-04,29
2011-12-05,31
2011-12-06,33
2011-12-07,35
2011-12-08,36
2011-12-09,38
2011-12-10,40
2011-12-11,38
2011-12-12,36
2011-12-13,35
2011-12-14,33
2011-12-15,32
2011-12-16,30
2011-12-17,29
2011-12-18,30
2011-12-19,32
2011-12-20,33
2011-12-21,35
2011-12-22,36
2011-12-23,38
2011-12-24,40
2011-12-25,38
2011-12-26,36
2011-12-27,35
2011-12-28,33
2011-12-29,31
2011-12-30,30
2011-12-31,28
2012-01-01,28
2012-01-02,28
2012-01-03,28
2012-01-04,29
2012-01-05,29
2012-01-06,29
2012-01-07,30
2012-01-08,29
2012-01-09,29
2012-01-10,29
2012-01-11,29
2012-01-12,29
2012-01-13,29
2012-01-14,29
2012-01-15,29
2012-01-16,29
2012-01-17,29
2012-01-18,29
2012-01-19,29
2012-01-20,29
2012-01-21,29
2012-01-22,28
2012-01-23,27
2012-01-24,27
2012-01-25,26
2012-01-26,26
2012-01-27,25
2012-01-28,25
2012-01-29,27
2012-02-05,40
2012-02-06,39
2012-02-07,38
2012-02-08,36
2012-02-09,35
2012-02-10,34
2012-02-11,33
2012-02-12,33
2012-02-13,34
2012-02-14,34
2012-02-15,35
2012-02-16,36
2012-02-17,36
2012-02-18,37
2012-02-19,34
2012-02-20,31
2012-02-21,28
2012-02-22,25
2012-02-23,22
2012-02-24,19
2012-02-25,16
2012-02-26,17
2012-02-27,19
2012-02-28,21
2012-02-29,22
2012-03-01,24
2012-03-02,26
2012-03-03,28
2012-03-04,26
2012-03-05,25
2012-03-06,24
2012-03-07,23
2012-03-08,21
2012-03-09,20
2012-03-10,19
2012-03-11,19
2012-03-12,19
2012-03-13,19
2012-03-14,19
2012-03-15,19
2012-03-16,19
2012-03-17,19
2012-03-18,20
2012-03-19,22
2012-03-20,23
2012-03-21,25
2012-03-22,26
2012-03-23,28
2012-03-24,30
2012-03-25,28
2012-03-26,26
2012-03-27,25
2012-03-28,23
2012-03-29,22
2012-03-30,20
2012-03-31,19
2012-04-01,18
2012-04-02,17
2012-04-03,17
2012-04-04,16
2012-04-05,16
2012-04-06,15
2012-04-07,15
2012-04-08,15
2012-04-09,15
2012-04-10,15
2012-04-11,15
2012-04-12,15
2012-04-13,15
2012-04-14,15
2012-04-15,17
2012-04-16,19
2012-04-17,21
2012-04-18,24
2012-04-19,26
2012-04-20,28
2012-04-21,31
2012-04-22,31
2012-04-23,31
2012-04-24,31
2012-04-25,31
2012-04-26,31
2012-04-27,31
2012-04-28,31
2012-04-29,31
2012-05-06,28
2012-05-07,27
2012-05-08,26
2012-05-09,24
2012-05-10,23
2012-05-11,22
2012-05-12,21
2012-05-13,20
2012-05-14,20
2012-05-15,19
2012-05-16,19
2012-05-17,18
2012-05-18,18
2012-05-19,18
2012-05-20,19
2012-05-21,21
2012-05-22,23
2012-05-23,25
2012-05-24,27
2012-05-25,29
2012-05-26,31
2012-05-27,29
2012-05-28,27
2012-05-29,26
2012-05-30,24
2012-05-31,23
2012-06-01,21
2012-06-02,20
2012-06-03,19
2012-06-04,18
2012-06-05,17
2012-06-06,16
2012-06-07,15
2012-06-08,14
2012-06-09,14
2012-06-10,14
2012-06-11,14
2012-06-12,15
2012-06-13,15
2012-06-14,16
2012-06-15,16
2012-06-16,17
2012-06-17,19
2012-06-18,22
2012-06-19,24
2012-06-20,27
2012-06-21,29
2012-06-22,32
2012-06-23,35
2012-06-24,33
2012-06-25,32
2012-06-26,30
2012-06-27,29
2012-06-28,27
2012-06-29,26
2012-06-30,24
2012-07-01,25
2012-07-02,26
2012-07-03,27
2012-07-04,28
2012-07-05,29
2012-07-06,30
2012-07-07,31
2012-07-08,32
2012-07-09,33
2012-07-10,34
2012-07-11,35
2012-07-12,36
2012-07-13,37
2012-07-14,38
2012-07-15,37
2012-07-16,34
2012-07-17,33
2012-07-18,31
2012-07-19,30
2012-07-20,28
2012-07-21,27
2012-07-22,27
2012-07-23,27
2012-07-24,28
2012-07-25,28
2012-07-26,28
2012-07-27,29
2012-07-28,29
2012-07-29,28
2012-08-05,20
2012-08-06,20
2012-08-07,21
2012-08-08,21
2012-08-09,22
2012-08-10,22
2012-08-11,23
2012-08-12,24
2012-08-13,25
2012-08-14,26
2012-08-15,28
