Date,Citigroup
2011-02-12,82
2011-02-13,77
2011-02-14,75
2011-02-15,75
2011-02-16,75
2011-02-17,75
2011-02-18,75
2011-02-19,83
2011-02-20,77
2011-02-21,73
2011-02-22,72
2011-02-23,72
2011-02-24,70
2011-02-25,69
2011-02-26,76
2011-02-27,72
2011-02-28,70
2011-03-01,71
2011-03-02,74
2011-03-03,72
2011-03-04,73
2011-03-05,82
2011-03-06,75
2011-03-07,72
2011-03-08,72
2011-03-09,70
2011-03-10,70
2011-03-11,70
2011-03-12,71
2011-03-13,71
2011-03-14,67
2011-03-15,67
2011-03-16,67
2011-03-17,68
2011-03-18,66
2011-03-19,71
2011-03-20,69
2011-03-21,69
2011-03-22,74
2011-03-23,76
2011-03-24,74
2011-03-25,76
2011-03-26,84
2011-03-27,79
2011-03-28,74
2011-03-29,72
2011-03-30,71
2011-03-31,69
2011-05-01,67
2011-05-02,67
2011-05-03,68
2011-05-04,69
2011-05-05,69
2011-05-06,69
2011-05-07,75
2011-05-08,78
2011-05-09,78
2011-05-10,84
2011-05-11,90
2011-05-12,93
2011-05-13,97
2011-05-14,109
2011-05-15,98
2011-05-16,92
2011-05-17,89
2011-05-18,86
2011-05-19,82
2011-05-20,81
2011-05-21,81
2011-05-22,75
2011-05-23,73
2011-05-24,72
2011-05-25,71
2011-05-26,70
2011-05-27,71
2011-05-28,75
2011-05-29,72
2011-05-30,67
2011-05-31,66
2011-06-01,66
2011-06-02,67
2011-06-03,64
2011-06-04,70
2011-06-05,68
2011-06-06,65
2011-06-07,67
2011-06-08,67
2011-06-09,68
2011-06-10,71
2011-06-11,75
2011-06-12,74
2011-06-13,70
2011-06-14,70
2011-06-15,71
2011-06-16,71
2011-06-17,73
2011-06-18,78
2011-06-19,72
2011-06-20,71
2011-06-21,70
2011-06-22,71
2011-06-23,72
2011-06-24,69
2011-06-25,74
2011-06-26,72
2011-06-27,71
2011-06-28,72
2011-06-29,73
2011-06-30,74
2011-07-01,75
2011-07-02,85
2011-07-03,78
2011-07-04,71
2011-07-05,69
2011-07-06,68
2011-07-07,65
2011-07-08,63
2011-07-09,67
2011-07-10,65
2011-07-11,64
2011-07-12,67
2011-07-13,67
2011-07-14,69
2011-07-15,71
2011-07-16,82
2011-07-17,75
2011-07-18,72
2011-07-19,74
2011-07-20,72
2011-07-21,72
2011-07-22,72
2011-07-23,79
2011-07-24,71
2011-07-25,70
2011-07-26,69
2011-07-27,69
2011-07-28,67
2011-07-29,67
2011-07-30,72
2011-07-31,69
2011-08-01,66
2011-08-02,67
2011-08-03,67
2011-08-04,68
2011-08-05,68
2011-08-06,74
2011-08-07,74
2011-08-08,70
