Date,Aegis Capital
2011-11-01,57
2011-11-02,56
2011-11-03,56
2011-11-04,56
2011-11-05,55
2011-11-06,55
2011-11-07,55
2011-11-08,54
2011-11-09,54
2011-11-10,54
2011-11-11,53
2011-11-12,53
2011-11-13,53
2011-11-14,52
2011-11-15,52
2011-11-16,52
2011-11-17,51
2011-11-18,51
2011-11-19,51
2011-11-20,50
2011-11-21,50
2011-11-22,50
2011-11-23,49
2011-11-24,49
2011-11-25,49
2011-11-26,48
2011-11-27,48
2011-11-28,48
2011-11-29,47
2011-11-30,47
2011-12-01,47
2011-12-02,48
2011-12-03,50
2011-12-04,52
2011-12-05,53
2011-12-06,55
2011-12-07,57
2011-12-08,58
2011-12-09,60
2011-12-10,62
2011-12-11,64
2011-12-12,65
2011-12-13,67
2011-12-14,69
2011-12-15,70
2011-12-16,72
2011-12-17,74
2011-12-18,76
2011-12-19,77
2011-12-20,79
2011-12-21,81
2011-12-22,82
2011-12-23,84
2011-12-24,86
2011-12-25,88
2011-12-26,89
2011-12-27,91
2011-12-28,93
2011-12-29,94
2011-12-30,96
2011-12-31,98
2012-01-01,100
2012-01-02,99
2012-01-03,98
2012-01-04,98
2012-01-05,97
2012-01-06,97
2012-01-07,96
2012-01-08,95
2012-01-09,95
2012-01-10,94
2012-01-11,94
2012-01-12,93
2012-01-13,93
2012-01-14,92
2012-01-15,91
2012-01-16,91
2012-01-17,90
2012-01-18,90
2012-01-19,89
2012-01-20,88
2012-01-21,88
2012-01-22,87
2012-01-23,87
2012-01-24,86
2012-01-25,86
2012-01-26,85
2012-01-27,84
2012-01-28,84
2012-01-29,83
2012-01-30,83
2012-01-31,82
2012-02-01,82
2012-02-02,82
2012-02-03,82
2012-02-04,82
2012-02-05,83
2012-02-06,83
2012-02-07,83
2012-02-08,84
2012-02-09,84
2012-02-10,84
2012-02-11,85
2012-02-12,85
2012-02-13,85
2012-02-14,86
2012-02-15,86
2012-02-16,86
2012-02-17,86
2012-02-18,87
2012-02-19,87
2012-02-20,87
2012-02-21,88
2012-02-22,88
2012-02-23,88
2012-02-24,89
2012-02-25,89
2012-02-26,89
2012-02-27,90
2012-02-28,90
2012-02-29,90
2012-03-01,91
2012-03-02,90
2012-03-03,89
2012-03-04,88
2012-03-05,87
2012-03-06,86
2012-03-07,85
2012-03-08,84
2012-03-09,84
2012-03-10,83
2012-03-11,82
2012-03-12,81
2012-03-13,80
2012-03-14,79
2012-03-15,78
2012-03-16,77
2012-03-17,77
2012-03-18,76
2012-03-19,75
2012-03-20,74
2012-03-21,73
2012-03-22,72
2012-03-23,71
2012-03-24,70
2012-03-25,70
2012-03-26,69
2012-03-27,68
2012-03-28,67
2012-03-29,66
2012-03-30,65
2012-03-31,64
2012-04-01,64
2012-04-02,63
2012-04-03,63
2012-04-04,63
2012-04-05,62
2012-04-06,62
2012-04-07,62
2012-04-08,61
2012-04-09,61
2012-04-10,61
2012-04-11,61
2012-04-12,60
2012-04-13,60
2012-04-14,60
2012-04-15,59
2012-04-16,59
2012-04-17,59
2012-04-18,58
2012-04-19,58
2012-04-20,58
2012-04-21,58
2012-04-22,57
2012-04-23,57
2012-04-24,57
2012-04-25,56
2012-04-26,56
2012-04-27,56
2012-04-28,55
2012-04-29,55
2012-04-30,55
2012-05-01,55
2012-05-02,56
2012-05-03,57
2012-05-04,58
2012-05-05,59
2012-05-06,60
2012-05-07,61
2012-05-08,62
2012-05-09,63
2012-05-10,64
2012-05-11,65
2012-05-12,66
2012-05-13,67
2012-05-14,68
2012-05-15,69
2012-05-16,70
2012-05-17,71
2012-05-18,72
2012-05-19,73
2012-05-20,74
2012-05-21,75
2012-05-22,76
2012-05-23,77
2012-05-24,78
2012-05-25,79
2012-05-26,80
2012-05-27,81
2012-05-28,82
2012-05-29,83
2012-05-30,84
2012-05-31,85
2012-06-01,87
2012-06-02,86
2012-06-03,85
2012-06-04,84
2012-06-05,84
2012-06-06,83
2012-06-07,82
2012-06-08,82
2012-06-09,81
2012-06-10,80
2012-06-11,80
2012-06-12,79
2012-06-13,78
2012-06-14,77
2012-06-15,77
2012-06-16,76
2012-06-17,75
2012-06-18,75
2012-06-19,74
2012-06-20,73
2012-06-21,73
2012-06-22,72
2012-06-23,71
2012-06-24,70
2012-06-25,70
2012-06-26,69
2012-06-27,68
2012-06-28,68
2012-06-29,67
2012-06-30,66
2012-07-01,66
2012-07-02,66
2012-07-03,66
2012-07-04,66
2012-07-05,66
2012-07-06,66
2012-07-07,66
2012-07-08,67
2012-07-09,67
2012-07-10,67
2012-07-11,67
2012-07-12,67
2012-07-13,67
2012-07-14,68
2012-07-15,68
2012-07-16,68
2012-07-17,68
2012-07-18,68
2012-07-19,68
2012-07-20,69
2012-07-21,69
2012-07-22,69
2012-07-23,69
2012-07-24,69
2012-07-25,69
2012-07-26,70
2012-07-27,70
2012-07-28,70
2012-07-29,70
2012-07-30,70
2012-07-31,70
2012-08-01,71
2012-08-02,71
2012-08-03,71
2012-08-04,71
2012-08-05,71
2012-08-06,72
2012-08-07,72
2012-08-08,72
2012-08-09,72
2012-08-10,73
2012-08-11,73
2012-08-12,73
2012-08-13,73
2012-08-14,73
2012-08-15,74
2012-08-16,74
2012-08-17,74
2012-08-18,74
2012-08-19,75
2012-08-20,75
2012-08-21,75
2012-08-22,75
2012-08-23,75
2012-08-24,76
2012-08-25,76
2012-08-26,76
2012-08-27,76
2012-08-28,77
2012-08-29,77
2012-08-30,77
2012-08-31,77
