Date,SunTrust Robinson Humphrey
2011-12-10,93
2011-12-11,94
2011-12-12,90
2011-12-13,91
2011-12-14,92
2011-12-15,92
2011-12-16,92
2011-12-17,96
2011-12-18,98
2011-12-19,93
2011-12-20,94
2011-12-21,94
2011-12-22,95
2011-12-23,95
2011-12-24,101
2011-12-25,106
2011-12-26,96
2011-12-27,96
2011-12-28,96
2011-12-29,96
2011-12-30,96
2011-12-31,102
2012-01-01,103
2012-01-02,96
2012-01-03,95
2012-01-04,95
2012-01-05,94
2012-01-06,94
2012-01-07,98
2012-01-08,98
2012-01-09,93
2012-01-10,93
2012-01-11,92
2012-01-12,94
2012-01-13,92
2012-01-14,96
2012-01-15,95
2012-01-16,90
2012-01-17,89
2012-01-18,88
2012-01-19,89
2012-01-20,86
2012-01-21,88
2012-01-22,91
2012-01-23,86
2012-01-24,86
2012-01-25,86
2012-01-26,86
2012-01-27,86
2012-01-28,90
2012-01-29,91
2012-01-30,90
2012-01-31,92
2012-02-01,94
2012-02-02,97
2012-02-03,98
2012-02-04,103
2012-02-05,106
2012-02-06,97
2012-02-07,96
2012-02-08,95
2012-02-09,94
2012-02-10,93
2012-02-11,95
2012-02-12,97
2012-02-13,92
2012-02-14,92
2012-02-15,92
2012-02-16,92
2012-02-17,92
2012-02-18,96
2012-02-19,96
2012-02-20,91
2012-02-21,90
2012-02-22,90
2012-02-23,89
2012-02-24,89
2012-02-25,91
2012-02-26,95
2012-02-27,88
2012-02-28,87
2012-02-29,87
2012-03-01,86
2012-03-02,86
2012-03-03,90
2012-03-04,90
2012-03-05,86
2012-03-06,86
2012-03-07,87
2012-03-08,86
2012-03-09,86
2012-03-10,89
2012-03-11,91
2012-03-12,87
2012-03-13,87
2012-03-14,88
2012-03-15,88
2012-03-16,88
2012-03-17,94
2012-03-18,91
2012-03-19,87
2012-03-20,86
2012-03-21,85
2012-03-22,84
2012-03-23,83
2012-03-24,84
2012-03-25,85
2012-03-26,82
2012-03-27,82
2012-03-28,83
2012-03-29,84
2012-03-30,83
2012-03-31,87
2012-04-01,88
2012-04-02,84
2012-04-03,84
2012-04-04,84
2012-04-05,84
2012-04-06,84
2012-04-07,91
2012-04-08,88
2012-04-09,84
2012-04-10,83
2012-04-11,83
2012-04-12,82
2012-04-13,82
2012-04-14,86
2012-04-15,85
2012-04-16,82
2012-04-17,82
2012-04-18,82
2012-04-19,82
2012-04-20,82
2012-04-21,87
2012-04-22,85
2012-04-23,81
2012-04-24,82
2012-04-25,81
2012-04-26,81
2012-04-27,81
2012-04-28,84
2012-04-29,85
2012-04-30,82
2012-05-01,83
2012-05-02,86
2012-05-03,84
2012-05-04,85
2012-05-05,90
2012-05-06,88
2012-05-07,84
2012-05-08,84
2012-05-09,83
2012-05-10,82
2012-05-11,81
2012-05-12,85
2012-05-13,86
2012-05-14,82
2012-05-15,82
2012-05-16,83
2012-05-17,84
2012-05-18,84
2012-05-19,90
2012-05-20,88
2012-05-21,84
2012-05-22,83
2012-05-23,84
2012-05-24,82
2012-05-25,82
2012-05-26,85
2012-05-27,86
2012-05-28,82
2012-05-29,81
2012-05-30,82
2012-05-31,81
2012-06-01,81
2012-06-02,85
2012-06-03,86
2012-06-04,82
2012-06-05,84
2012-06-06,84
2012-06-07,85
2012-06-08,86
2012-06-09,92
2012-06-10,90
2012-06-11,86
2012-06-12,85
2012-06-13,85
2012-06-14,86
2012-06-15,84
2012-06-16,88
2012-06-17,88
2012-06-18,84
2012-06-19,84
2012-06-20,85
2012-06-21,84
2012-06-22,84
2012-06-23,90
2012-06-24,88
2012-06-25,85
2012-06-26,86
2012-06-27,86
2012-06-28,86
2012-06-29,86
2012-06-30,91
2012-07-01,89
2012-07-02,87
2012-07-03,87
2012-07-04,95
2012-07-05,88
2012-07-06,88
2012-07-07,92
2012-07-08,94
2012-07-09,90
2012-07-10,90
2012-07-11,91
2012-07-12,91
2012-07-13,92
2012-07-14,97
2012-07-15,97
2012-07-16,91
2012-07-17,90
2012-07-18,90
2012-07-19,88
2012-07-20,87
2012-07-21,89
2012-07-22,91
2012-07-23,87
2012-07-24,87
2012-07-25,88
2012-07-26,87
2012-07-27,87
2012-07-28,92
2012-07-29,91
2012-07-30,90
2012-07-31,91
2012-08-01,92
2012-08-02,93
2012-08-03,94
2012-08-04,99
2012-08-05,99
2012-08-06,93
2012-08-07,92
2012-08-08,93
2012-08-09,91
2012-08-10,90
2012-08-11,93
2012-08-12,94
2012-08-13,89
2012-08-14,89
2012-08-15,89
2012-08-16,89
2012-08-17,89
2012-08-18,93
2012-08-19,93
2012-08-20,89
2012-08-21,90
2012-08-22,90
2012-08-23,90
2012-08-24,90
2012-08-25,94
2012-08-26,96
2012-08-27,90
2012-08-28,90
2012-08-29,89
2012-08-30,88
2012-08-31,88
2012-09-01,88
2012-09-02,92
2012-09-03,88
2012-09-04,88
2012-09-05,89
2012-09-06,88
2012-09-07,88
2012-09-08,94
2012-09-09,93
2012-09-10,87
2012-09-11,87
2012-09-12,86
2012-09-13,86
2012-09-14,85
2012-09-15,90
2012-09-16,88
2012-09-17,84
2012-09-18,84
2012-09-19,85
2012-09-20,84
2012-09-21,84
2012-09-22,88
2012-09-23,89
2012-09-24,84
2012-09-25,84
2012-09-26,85
2012-09-27,84
2012-09-28,84
2012-09-29,91
2012-09-30,89
2012-10-01,86
2012-10-02,88
2012-10-03,87
2012-10-04,88
2012-10-05,88
2012-10-06,93
2012-10-07,94
2012-10-08,89
2012-10-09,89
2012-10-10,89
2012-10-11,92
2012-10-12,89
2012-10-13,94
2012-10-14,93
2012-10-15,88
2012-10-16,87
2012-10-17,87
2012-10-18,85
2012-10-19,84
2012-10-20,86
2012-10-21,86
2012-10-22,83
2012-10-23,83
2012-10-24,83
2012-10-25,83
2012-10-26,83
2012-10-27,86
2012-10-28,87
2012-10-29,83
2012-10-30,83
2012-10-31,84
2012-11-01,84
2012-11-02,84
2012-11-03,89
2012-11-04,88
2012-11-05,84
2012-11-06,85
2012-11-07,84
2012-11-08,83
2012-11-09,83
2012-11-10,87
2012-11-11,87
2012-11-12,83
2012-11-13,83
2012-11-14,83
2012-11-15,83
2012-11-16,83
2012-11-17,89
2012-11-18,88
2012-11-19,81
2012-11-20,80
2012-11-21,78
2012-11-22,86
2012-11-23,76
2012-11-24,75
2012-11-25,78
2012-11-26,77
2012-11-27,79
2012-11-28,79
2012-11-29,80
2012-11-30,81
2012-12-01,83
2012-12-02,87
2012-12-03,83
2012-12-04,83
2012-12-05,85
2012-12-06,84
2012-12-07,84
2012-12-08,88
2012-12-09,88
2012-12-10,84
2012-12-11,84
2012-12-12,86
2012-12-13,84
2012-12-14,84
2012-12-15,87
2012-12-16,88
2012-12-17,84
2012-12-18,85
2012-12-19,85
2012-12-20,86
2012-12-21,86
2012-12-22,91
2012-12-23,90
2012-12-24,85
2012-12-25,96
2012-12-26,84
2012-12-27,84
2012-12-28,83
2012-12-29,87
2012-12-30,87
2012-12-31,85
2013-01-01,91
2013-01-02,88
2013-01-03,89
2013-01-04,90
2013-01-05,97
2013-01-06,96
2013-01-07,89
2013-01-08,87
2013-01-09,86
2013-01-10,84
2013-01-11,83
2013-01-12,88
2013-01-13,85
2013-01-14,82
2013-01-15,82
2013-01-16,83
2013-01-17,83
2013-01-18,82
2013-01-19,86
2013-01-20,85
2013-01-21,80
2013-01-22,79
2013-01-23,79
2013-01-24,78
2013-01-25,77
2013-01-26,78
2013-01-27,82
2013-01-28,78
2013-01-29,79
2013-01-30,79
2013-01-31,80
2013-02-01,81
2013-02-02,87
2013-02-03,87
2013-02-04,82
2013-02-05,82
2013-02-06,82
2013-02-07,82
2013-02-08,82
2013-02-09,86
2013-02-10,85
2013-02-11,83
2013-02-12,83
2013-02-13,84
2013-02-14,85
2013-02-15,85
2013-02-16,90
2013-02-17,90
2013-02-18,83
2013-02-19,82
2013-02-20,81
2013-02-21,80
2013-02-22,79
2013-02-23,82
2013-02-24,81
2013-02-25,79
2013-02-26,80
2013-02-27,82
2013-02-28,82
2013-03-01,83
2013-03-02,88
2013-03-03,88
2013-03-04,82
2013-03-05,82
2013-03-06,82
2013-03-07,81
2013-03-08,80
2013-03-09,83
2013-03-10,83
2013-03-11,80
2013-03-12,80
2013-03-13,80
2013-03-14,80
2013-03-15,80
2013-03-16,84
2013-03-17,83
