Date,BMO Capital Markets
2013-02-01,77
2013-02-02,74
2013-02-03,74
2013-02-04,74
2013-02-05,74
2013-02-06,74
2013-02-07,74
2013-02-08,74
2013-02-09,74
2013-02-10,71
2013-02-11,69
2013-02-12,67
2013-02-13,64
2013-02-14,62
2013-02-15,60
2013-02-16,58
2013-02-17,57
2013-02-18,57
2013-02-19,57
2013-02-20,57
2013-02-21,57
2013-02-22,57
2013-02-23,57
2013-02-24,60
2013-02-25,63
2013-02-26,66
2013-02-27,69
2013-02-28,72
2013-03-01,75
2013-03-02,79
2013-03-03,76
2013-03-04,74
2013-03-05,71
2013-03-06,69
2013-03-07,66
2013-03-08,64
2013-03-09,62
2013-03-10,61
2013-03-11,60
2013-03-12,59
2013-03-13,59
2013-03-14,58
2013-03-15,57
2013-03-16,57
2013-03-17,57
2013-03-18,57
2013-03-19,57
2013-03-20,57
2013-03-21,57
2013-03-22,57
2013-03-23,57
2013-03-24,57
2013-03-25,57
2013-03-26,57
2013-03-27,57
2013-03-28,57
2013-03-29,57
2013-03-30,57
2013-03-31,57
2013-04-01,57
2013-04-02,57
2013-04-03,57
2013-04-04,57
2013-04-05,57
2013-04-06,57
2013-04-07,60
2013-04-08,63
2013-04-09,66
2013-04-10,69
2013-04-11,72
2013-04-12,75
2013-04-13,78
2013-04-14,78
2013-04-15,78
2013-04-16,78
2013-04-17,78
2013-04-18,78
2013-04-19,78
2013-04-20,79
2013-04-21,79
2013-04-22,79
2013-04-23,79
2013-04-24,79
2013-04-25,79
2013-04-26,79
2013-04-27,79
2013-04-28,79
2013-04-29,79
2013-04-30,79
2013-05-05,77
2013-05-06,88
2013-05-07,72
2013-05-08,69
2013-05-09,67
2013-05-10,64
2013-05-11,62
2013-05-12,62
2013-05-13,63
2013-05-14,64
2013-05-15,64
2013-05-16,65
2013-05-17,66
2013-05-18,68
2013-05-19,62
2013-05-20,62
2013-05-21,62
2013-05-22,62
2013-05-23,62
2013-05-24,62
2013-05-25,62
2013-05-26,62
2013-05-27,62
2013-05-28,62
2013-05-29,62
2013-05-30,62
2013-05-31,62
2013-06-01,62
2013-06-02,53
2013-06-03,44
2013-06-04,35
2013-06-05,26
2013-06-06,17
2013-06-07,8
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,0
2013-06-25,0
2013-06-26,0
2013-06-27,0
2013-06-28,0
2013-06-29,0
2013-06-30,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,12
2013-07-22,24
2013-07-23,36
2013-07-24,49
2013-07-25,61
2013-07-26,73
2013-07-27,86
2013-07-28,85
2013-08-04,81
2013-08-05,83
2013-08-06,84
2013-08-07,85
2013-08-08,86
2013-08-09,87
2013-08-10,88
2013-08-11,84
2013-08-12,78
2013-08-13,74
2013-08-14,69
2013-08-15,65
2013-08-16,61
2013-08-17,57
2013-08-18,57
2013-08-19,57
2013-08-20,57
2013-08-21,57
2013-08-22,57
2013-08-23,57
2013-08-24,57
2013-08-25,59
2013-08-26,61
2013-08-27,63
2013-08-28,65
2013-08-29,67
2013-08-30,69
2013-08-31,72
2013-09-01,74
2013-09-02,76
2013-09-03,79
2013-09-04,81
2013-09-05,83
2013-09-06,85
2013-09-07,87
2013-09-08,83
2013-09-09,78
2013-09-10,74
2013-09-11,70
2013-09-12,66
2013-09-13,62
2013-09-14,58
2013-09-15,61
2013-09-16,65
2013-09-17,69
2013-09-18,73
2013-09-19,77
2013-09-20,81
2013-09-21,85
2013-09-22,83
2013-09-23,81
2013-09-24,79
2013-09-25,77
2013-09-26,74
2013-09-27,72
2013-09-28,70
2013-09-29,69
2013-09-30,66
2013-10-01,65
2013-10-02,63
2013-10-03,62
2013-10-04,60
2013-10-05,59
2013-10-06,59
2013-10-07,59
2013-10-08,59
2013-10-09,59
2013-10-10,59
2013-10-11,59
2013-10-12,59
2013-10-13,60
2013-10-14,62
2013-10-15,63
2013-10-16,65
2013-10-17,66
2013-10-18,68
2013-10-19,70
2013-10-20,70
2013-10-21,73
2013-10-22,74
2013-10-23,75
2013-10-24,76
2013-10-25,78
2013-10-26,81
2013-10-27,74
2013-11-03,79
2013-11-04,80
2013-11-05,80
2013-11-06,81
2013-11-07,81
2013-11-08,82
2013-11-09,83
2013-11-10,85
2013-11-11,88
2013-11-12,90
2013-11-13,93
2013-11-14,95
2013-11-15,98
2013-11-16,100
2013-11-17,93
2013-11-18,86
2013-11-19,79
2013-11-20,73
2013-11-21,66
2013-11-22,59
2013-11-23,52
2013-11-24,52
2013-11-25,51
2013-11-26,51
2013-11-27,51
2013-11-28,51
2013-11-29,51
2013-11-30,51
2013-12-01,51
2013-12-02,51
2013-12-03,51
2013-12-04,51
2013-12-05,51
2013-12-06,51
2013-12-07,51
2013-12-08,52
2013-12-09,54
2013-12-10,55
2013-12-11,57
2013-12-12,58
2013-12-13,60
2013-12-14,62
2013-12-15,63
2013-12-16,64
2013-12-17,65
2013-12-18,66
2013-12-19,67
2013-12-20,68
2013-12-21,70
2013-12-22,71
2013-12-23,72
2013-12-24,73
2013-12-25,75
2013-12-26,76
2013-12-27,77
2013-12-28,79
2013-12-29,80
2013-12-30,81
2013-12-31,82
2014-01-01,83
2014-01-02,84
2014-01-03,85
2014-01-04,87
2014-01-05,88
2014-01-06,90
2014-01-07,91
2014-01-08,92
2014-01-09,94
2014-01-10,95
2014-01-11,96
2014-01-12,95
2014-01-13,92
