Date,Stifel
2011-02-01,83
2011-02-02,83
2011-02-03,82
2011-02-04,81
2011-02-05,81
2011-02-06,82
2011-02-07,84
2011-02-08,85
2011-02-09,87
2011-02-10,88
2011-02-11,90
2011-02-12,92
2011-02-13,88
2011-02-14,85
2011-02-15,82
2011-02-16,79
2011-02-17,76
2011-02-18,73
2011-02-19,70
2011-02-20,69
2011-02-21,69
2011-02-22,69
2011-02-23,69
2011-02-24,69
2011-02-25,69
2011-02-26,69
2011-02-27,59
2011-02-28,49
2011-03-01,39
2011-03-02,29
2011-03-03,19
2011-03-04,9
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,11
2011-04-11,22
2011-04-12,33
2011-04-13,44
2011-04-14,55
2011-04-15,66
2011-04-16,77
2011-04-17,77
2011-04-18,78
2011-04-19,79
2011-04-20,79
2011-04-21,80
2011-04-22,81
2011-04-23,82
2011-04-24,82
2011-04-25,83
2011-04-26,84
2011-04-27,84
2011-04-28,85
2011-04-29,86
2011-04-30,87
2011-05-01,74
2011-05-02,62
2011-05-03,49
2011-05-04,37
2011-05-05,24
2011-05-06,12
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,11
2011-06-13,23
2011-06-14,35
2011-06-15,47
2011-06-16,59
2011-06-17,71
2011-06-18,83
2011-06-19,81
2011-06-20,79
2011-06-21,77
2011-06-22,75
2011-06-23,73
2011-06-24,71
2011-06-25,69
2011-06-26,69
2011-06-27,69
2011-06-28,69
2011-06-29,69
2011-06-30,69
2011-07-01,69
2011-07-02,69
2011-07-03,69
2011-07-04,69
2011-07-05,69
2011-07-06,69
2011-07-07,69
2011-07-08,69
2011-07-09,69
2011-07-10,69
2011-07-11,69
2011-07-12,69
2011-07-13,69
2011-07-14,69
2011-07-15,69
2011-07-16,69
2011-07-17,69
2011-07-18,69
2011-07-19,69
2011-07-20,69
2011-07-21,69
2011-07-22,69
2011-07-23,69
2011-07-24,70
2011-07-25,71
2011-07-26,72
2011-07-27,73
2011-07-28,74
2011-07-29,75
2011-07-30,77
2011-07-31,78
2011-08-07,88
2011-08-08,89
2011-08-09,91
2011-08-10,92
2011-08-11,93
2011-08-12,94
2011-08-13,96
2011-08-14,94
2011-08-15,92
2011-08-16,90
2011-08-17,88
2011-08-18,86
2011-08-19,84
2011-08-20,82
2011-08-21,79
2011-08-22,77
2011-08-23,75
2011-08-24,72
2011-08-25,70
2011-08-26,68
2011-08-27,66
2011-08-28,66
2011-08-29,66
2011-08-30,66
2011-08-31,66
2011-09-01,66
2011-09-02,66
2011-09-03,66
2011-09-04,66
2011-09-05,67
2011-09-06,67
2011-09-07,68
2011-09-08,68
2011-09-09,69
2011-09-10,70
2011-09-11,70
2011-09-12,70
2011-09-13,70
2011-09-14,71
2011-09-15,71
2011-09-16,71
2011-09-17,72
2011-09-18,72
2011-09-19,73
2011-09-20,73
2011-09-21,74
2011-09-22,74
2011-09-23,74
2011-09-24,75
2011-09-25,73
2011-09-26,71
2011-09-27,69
2011-09-28,68
2011-09-29,66
2011-09-30,64
2011-10-01,63
2011-10-02,62
2011-10-03,61
2011-10-04,61
2011-10-05,60
2011-10-06,60
2011-10-07,59
2011-10-08,59
2011-10-09,59
2011-10-10,59
2011-10-11,59
2011-10-12,59
2011-10-13,59
2011-10-14,59
2011-10-15,59
2011-10-16,62
2011-10-17,65
2011-10-18,68
2011-10-19,71
2011-10-20,74
2011-10-21,78
2011-10-22,81
2011-10-23,79
2011-10-24,77
2011-10-25,75
2011-10-26,73
2011-10-27,71
2011-10-28,69
2011-10-29,67
2011-10-30,67
2011-11-06,66
2011-11-07,81
2011-11-08,64
2011-11-09,63
2011-11-10,62
2011-11-11,61
2011-11-12,60
2011-11-13,60
2011-11-14,60
2011-11-15,60
2011-11-16,60
2011-11-17,60
2011-11-18,60
2011-11-19,60
2011-11-20,62
2011-11-21,64
2011-11-22,66
2011-11-23,68
2011-11-24,70
2011-11-25,72
2011-11-26,74
2011-11-27,76
2011-11-28,78
2011-11-29,80
2011-11-30,82
2011-12-01,84
2011-12-02,86
2011-12-03,89
2011-12-04,85
2011-12-05,82
2011-12-06,78
2011-12-07,75
2011-12-08,71
2011-12-09,68
2011-12-10,65
2011-12-11,65
2011-12-12,65
2011-12-13,66
2011-12-14,66
2011-12-15,67
2011-12-16,67
2011-12-17,68
2011-12-18,68
2011-12-19,68
2011-12-20,69
2011-12-21,69
2011-12-22,70
2011-12-23,70
2011-12-24,71
2011-12-25,71
2011-12-26,71
2011-12-27,72
2011-12-28,72
2011-12-29,73
2011-12-30,73
2011-12-31,74
2012-01-01,74
2012-01-02,74
2012-01-03,75
2012-01-04,75
2012-01-05,76
2012-01-06,76
2012-01-07,77
2012-01-08,79
2012-01-09,82
2012-01-10,85
2012-01-11,88
2012-01-12,90
2012-01-13,93
2012-01-14,96
2012-01-15,93
2012-01-16,90
2012-01-17,87
2012-01-18,85
2012-01-19,82
2012-01-20,79
2012-01-21,77
2012-01-22,77
2012-01-23,78
2012-01-24,79
2012-01-25,80
2012-01-26,81
2012-01-27,82
2012-01-28,83
2012-01-29,83
2012-02-05,85
2012-02-06,83
2012-02-07,80
2012-02-08,78
2012-02-09,75
2012-02-10,73
2012-02-11,71
2012-02-12,71
2012-02-13,71
2012-02-14,71
2012-02-15,71
2012-02-16,71
2012-02-17,71
2012-02-18,71
2012-02-19,69
2012-02-20,68
2012-02-21,66
2012-02-22,64
2012-02-23,63
2012-02-24,61
2012-02-25,60
2012-02-26,63
2012-02-27,66
2012-02-28,69
2012-02-29,73
2012-03-01,76
2012-03-02,79
2012-03-03,83
2012-03-04,82
2012-03-05,81
2012-03-06,81
2012-03-07,80
2012-03-08,79
2012-03-09,78
2012-03-10,78
2012-03-11,77
2012-03-12,76
2012-03-13,75
2012-03-14,74
2012-03-15,73
2012-03-16,72
2012-03-17,71
2012-03-18,71
2012-03-19,71
2012-03-20,71
2012-03-21,71
2012-03-22,71
2012-03-23,71
2012-03-24,71
2012-03-25,72
2012-03-26,73
2012-03-27,74
2012-03-28,75
2012-03-29,76
2012-03-30,77
2012-03-31,78
2012-04-01,79
2012-04-02,80
2012-04-03,81
2012-04-04,82
2012-04-05,83
2012-04-06,84
2012-04-07,85
2012-04-08,81
2012-04-09,77
2012-04-10,73
2012-04-11,69
2012-04-12,65
2012-04-13,61
2012-04-14,57
2012-04-15,57
2012-04-16,57
2012-04-17,57
2012-04-18,58
2012-04-19,58
2012-04-20,58
2012-04-21,59
2012-04-22,59
2012-04-23,60
2012-04-24,60
2012-04-25,61
2012-04-26,61
2012-04-27,63
2012-04-28,65
2012-04-29,59
2012-05-06,61
2012-05-07,61
2012-05-08,61
2012-05-09,61
2012-05-10,61
2012-05-11,61
2012-05-12,62
2012-05-13,62
2012-05-14,62
2012-05-15,62
2012-05-16,63
2012-05-17,63
2012-05-18,63
2012-05-19,64
2012-05-20,64
2012-05-21,64
2012-05-22,64
2012-05-23,65
2012-05-24,65
2012-05-25,65
2012-05-26,66
2012-05-27,65
2012-05-28,64
2012-05-29,63
2012-05-30,62
2012-05-31,61
2012-06-01,60
2012-06-02,59
2012-06-03,59
2012-06-04,59
2012-06-05,59
2012-06-06,59
2012-06-07,59
2012-06-08,59
2012-06-09,59
2012-06-10,58
2012-06-11,57
2012-06-12,56
2012-06-13,56
2012-06-14,55
2012-06-15,54
2012-06-16,54
2012-06-17,54
2012-06-18,54
2012-06-19,54
2012-06-20,54
2012-06-21,54
2012-06-22,54
2012-06-23,54
2012-06-24,54
2012-06-25,55
2012-06-26,55
2012-06-27,56
2012-06-28,56
2012-06-29,57
2012-06-30,59
2012-07-01,46
2012-07-02,38
2012-07-03,30
2012-07-04,23
2012-07-05,15
2012-07-06,7
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-08-05,11
2012-08-06,23
2012-08-07,35
2012-08-08,47
2012-08-09,59
2012-08-10,71
2012-08-11,83
2012-08-12,80
2012-08-13,78
2012-08-14,75
2012-08-15,73
2012-08-16,70
2012-08-17,68
2012-08-18,67
2012-08-19,61
2012-08-20,61
2012-08-21,61
2012-08-22,61
2012-08-23,61
2012-08-24,61
2012-08-25,61
2012-08-26,59
2012-08-27,58
2012-08-28,57
2012-08-29,55
2012-08-30,54
2012-08-31,53
2012-09-01,52
2012-09-02,52
2012-09-03,52
2012-09-04,52
2012-09-05,52
2012-09-06,52
2012-09-07,52
2012-09-08,52
2012-09-09,52
2012-09-10,52
2012-09-11,52
2012-09-12,52
2012-09-13,52
2012-09-14,52
2012-09-15,52
2012-09-16,52
2012-09-17,52
2012-09-18,52
2012-09-19,52
2012-09-20,52
2012-09-21,52
2012-09-22,52
2012-09-23,54
2012-09-24,57
2012-09-25,60
2012-09-26,62
2012-09-27,65
2012-09-28,68
2012-09-29,71
2012-09-30,73
2012-10-01,76
2012-10-02,79
2012-10-03,82
2012-10-04,85
2012-10-05,88
2012-10-06,91
2012-10-07,85
2012-10-08,80
2012-10-09,75
2012-10-10,70
2012-10-11,65
2012-10-12,60
2012-10-13,55
2012-10-14,56
2012-10-15,57
2012-10-16,58
2012-10-17,60
2012-10-18,61
2012-10-19,62
2012-10-20,64
2012-10-21,61
2012-10-22,61
2012-10-23,59
2012-10-24,57
2012-10-25,55
2012-10-26,54
2012-10-27,54
2012-10-28,52
2012-11-04,76
2012-11-05,80
2012-11-06,84
2012-11-07,87
2012-11-08,91
2012-11-09,94
2012-11-10,98
2012-11-11,94
2012-11-12,89
2012-11-13,85
2012-11-14,81
2012-11-15,77
2012-11-16,73
2012-11-17,69
2012-11-18,66
2012-11-19,64
2012-11-20,61
2012-11-21,59
2012-11-22,56
2012-11-23,54
2012-11-24,52
2012-11-25,52
2012-11-26,52
2012-11-27,52
2012-11-28,52
2012-11-29,52
2012-11-30,52
2012-12-01,52
2012-12-02,53
2012-12-03,54
2012-12-04,56
2012-12-05,57
2012-12-06,58
2012-12-07,60
2012-12-08,61
2012-12-09,60
2012-12-10,58
2012-12-11,57
2012-12-12,55
2012-12-13,54
2012-12-14,53
2012-12-15,52
2012-12-16,53
2012-12-17,55
2012-12-18,56
2012-12-19,58
2012-12-20,59
2012-12-21,61
2012-12-22,63
2012-12-23,64
2012-12-24,66
2012-12-25,68
2012-12-26,69
2012-12-27,71
2012-12-28,73
2012-12-29,75
2012-12-30,76
2012-12-31,78
2013-01-01,80
2013-01-02,81
2013-01-03,83
2013-01-04,85
2013-01-05,87
2013-01-06,88
2013-01-07,91
2013-01-08,93
2013-01-09,95
2013-01-10,97
2013-01-11,98
2013-01-12,100
2013-01-13,97
2013-01-14,93
2013-01-15,90
2013-01-16,86
2013-01-17,83
2013-01-18,80
2013-01-19,77
2013-01-20,75
2013-01-21,74
2013-01-22,73
2013-01-23,71
2013-01-24,70
2013-01-25,69
2013-01-26,68
2013-01-27,69
