Date,Deutsche Bank
2011-05-07,87
2011-05-08,77
2011-05-09,76
2011-05-10,74
2011-05-11,75
2011-05-12,74
2011-05-13,72
2011-05-14,69
2011-05-15,68
2011-05-16,67
2011-05-17,70
2011-05-18,65
2011-05-19,64
2011-05-20,67
2011-05-21,63
2011-05-22,68
2011-05-23,73
2011-05-24,78
2011-05-25,84
2011-05-26,89
2011-05-27,99
2011-05-28,119
2011-05-29,91
2011-05-30,83
2011-05-31,75
2011-06-01,70
2011-06-02,59
2011-06-03,51
2011-06-04,43
2011-06-05,44
2011-06-06,45
2011-06-07,47
2011-06-08,48
2011-06-09,50
2011-06-10,54
2011-06-11,53
2011-06-12,52
2011-06-13,51
2011-06-14,50
2011-06-15,49
2011-06-16,48
2011-06-17,50
2011-06-18,47
2011-06-19,46
2011-06-20,46
2011-06-21,46
2011-06-22,50
2011-06-23,46
2011-06-24,46
2011-06-25,46
2011-06-26,45
2011-06-27,45
2011-06-28,45
2011-06-29,44
2011-06-30,45
2011-07-01,44
2011-07-02,45
2011-07-03,44
2011-07-04,44
2011-07-05,44
2011-07-06,47
2011-07-07,44
2011-07-08,48
2011-07-09,45
2011-07-10,46
2011-07-11,48
2011-07-12,50
2011-07-13,56
2011-07-14,53
2011-07-15,55
2011-07-16,57
2011-07-17,56
2011-07-18,55
2011-07-19,54
2011-07-20,53
2011-07-21,53
2011-07-22,51
2011-07-23,50
2011-07-24,52
2011-07-25,55
2011-07-26,58
2011-07-27,63
2011-07-28,65
2011-07-29,65
2011-07-30,68
2011-07-31,66
2011-08-01,64
2011-08-02,63
2011-08-03,63
2011-08-04,60
2011-08-05,61
2011-08-06,57
2011-08-07,62
2011-08-08,67
2011-08-09,72
2011-08-10,80
2011-08-11,82
2011-08-12,96
2011-08-13,92
2011-08-14,88
2011-08-15,84
2011-08-16,80
2011-08-17,78
2011-08-18,72
2011-08-19,69
2011-08-20,64
2011-08-21,64
2011-08-22,65
2011-08-23,66
2011-08-24,67
2011-08-25,68
2011-08-26,70
2011-08-27,70
2011-08-28,68
2011-08-29,67
2011-08-30,66
2011-08-31,71
2011-09-01,67
2011-09-02,62
2011-09-03,61
2011-09-04,63
2011-09-05,66
2011-09-06,69
2011-09-07,73
2011-09-08,76
2011-09-09,76
2011-09-10,83
2011-09-11,77
2011-09-12,75
2011-09-13,80
2011-09-14,71
2011-09-15,75
2011-09-16,67
2011-09-17,66
2011-09-18,64
2011-09-19,63
2011-09-20,67
2011-09-21,61
2011-09-22,60
2011-09-23,59
2011-09-24,58
2011-09-25,57
2011-09-26,57
2011-09-27,58
2011-09-28,57
2011-09-29,58
2011-09-30,58
2011-10-01,57
2011-10-02,57
2011-10-03,57
2011-10-04,58
2011-10-05,62
2011-10-06,60
2011-10-07,61
2011-10-08,60
2011-10-09,59
2011-10-10,59
2011-10-11,59
2011-10-12,59
2011-10-13,63
2011-10-14,58
2011-10-15,60
2011-10-16,56
2011-10-17,54
2011-10-18,53
2011-10-19,52
2011-10-20,50
2011-10-21,52
2011-10-22,47
2011-10-23,48
2011-10-24,50
2011-10-25,51
2011-10-26,55
2011-10-27,54
2011-10-28,57
2011-10-29,60
2011-10-30,57
2011-10-31,56
2011-11-01,55
2011-11-02,58
2011-11-03,53
2011-11-04,57
2011-11-05,52
2011-11-06,53
2011-11-07,54
2011-11-08,56
2011-11-09,56
2011-11-10,60
2011-11-11,59
2011-11-12,65
2011-11-13,58
2011-11-14,56
2011-11-15,54
2011-11-16,55
2011-11-17,50
2011-11-18,48
2011-11-19,49
2011-11-20,47
2011-11-21,49
2011-11-22,51
2011-11-23,53
2011-11-24,60
2011-11-25,60
2011-11-26,59
2011-11-27,58
2011-11-28,58
2011-11-29,60
2011-11-30,57
2011-12-01,62
2011-12-02,56
2011-12-03,58
2011-12-04,55
2011-12-05,54
2011-12-06,54
2011-12-07,53
2011-12-08,54
2011-12-09,53
2011-12-10,52
2011-12-11,51
2011-12-12,51
2011-12-13,54
2011-12-14,51
2011-12-15,51
2011-12-16,51
2011-12-17,57
2011-12-18,50
2011-12-19,48
2011-12-20,46
2011-12-21,44
2011-12-22,42
2011-12-23,40
2011-12-24,38
2011-12-25,38
2011-12-26,39
2011-12-27,40
2011-12-28,42
2011-12-29,42
2011-12-30,42
2011-12-31,43
2012-01-01,46
2012-01-02,49
2012-01-03,53
2012-01-04,57
2012-01-05,59
2012-01-06,64
2012-01-07,66
2012-01-08,64
2012-01-09,63
2012-01-10,64
2012-01-11,61
2012-01-12,58
2012-01-13,57
2012-01-14,61
2012-01-15,56
2012-01-16,56
2012-01-17,56
2012-01-18,59
2012-01-19,56
2012-01-20,63
2012-01-21,57
2012-01-22,56
2012-01-23,56
2012-01-24,56
2012-01-25,59
2012-01-26,56
2012-01-27,60
2012-01-28,56
2012-01-29,58
2012-01-30,60
2012-01-31,66
2012-02-01,65
2012-02-02,67
2012-02-03,73
2012-02-04,77
2012-02-05,68
2012-02-06,64
2012-02-07,64
2012-02-08,57
2012-02-09,58
2012-02-10,50
2012-02-11,49
2012-02-12,47
2012-02-13,48
2012-02-14,49
2012-02-15,49
2012-02-16,53
2012-02-17,53
2012-02-18,52
2012-02-19,50
2012-02-20,49
2012-02-21,48
2012-02-22,46
2012-02-23,45
2012-02-24,47
2012-02-25,43
2012-02-26,43
2012-02-27,43
2012-02-28,43
2012-02-29,43
2012-03-01,43
2012-03-02,44
2012-03-03,44
2012-03-04,44
2012-03-05,45
2012-03-06,46
2012-03-07,51
2012-03-08,48
2012-03-09,49
2012-03-10,50
2012-03-11,49
2012-03-12,48
2012-03-13,48
2012-03-14,47
2012-03-15,49
2012-03-16,45
2012-03-17,46
2012-03-18,45
2012-03-19,45
2012-03-20,49
2012-03-21,45
2012-03-22,48
2012-03-23,45
2012-03-24,47
2012-03-25,46
2012-03-26,46
2012-03-27,48
2012-03-28,48
2012-03-29,48
2012-03-30,49
2012-03-31,49
2012-04-01,50
2012-04-02,51
2012-04-03,52
2012-04-04,53
2012-04-05,61
2012-04-06,55
2012-04-07,57
2012-04-08,55
2012-04-09,53
2012-04-10,54
2012-04-11,50
2012-04-12,48
2012-04-13,50
2012-04-14,46
2012-04-15,45
2012-04-16,45
2012-04-17,45
2012-04-18,45
2012-04-19,45
2012-04-20,49
2012-04-21,46
2012-04-22,46
2012-04-23,46
2012-04-24,51
2012-04-25,46
2012-04-26,46
2012-04-27,50
2012-04-28,48
2012-04-29,45
2012-04-30,43
2012-05-01,42
2012-05-02,40
2012-05-03,39
2012-05-04,37
2012-05-05,36
2012-05-06,37
2012-05-07,39
2012-05-08,43
2012-05-09,42
2012-05-10,45
2012-05-11,46
2012-05-12,47
2012-05-13,47
2012-05-14,48
2012-05-15,48
2012-05-16,51
2012-05-17,52
2012-05-18,50
2012-05-19,51
2012-05-20,50
2012-05-21,50
2012-05-22,50
2012-05-23,53
2012-05-24,50
2012-05-25,50
2012-05-26,54
2012-05-27,53
2012-05-28,57
2012-05-29,60
2012-05-30,63
2012-05-31,67
2012-06-01,73
2012-06-02,83
2012-06-03,69
2012-06-04,65
2012-06-05,64
2012-06-06,56
2012-06-07,52
2012-06-08,49
2012-06-09,45
2012-06-10,42
2012-06-11,41
2012-06-12,40
2012-06-13,41
2012-06-14,38
2012-06-15,37
2012-06-16,36
2012-06-17,36
2012-06-18,36
2012-06-19,36
2012-06-20,36
2012-06-21,39
2012-06-22,36
2012-06-23,36
2012-06-24,35
2012-06-25,35
2012-06-26,35
2012-06-27,35
2012-06-28,35
2012-06-29,35
2012-06-30,36
2012-07-01,35
2012-07-02,36
2012-07-03,37
2012-07-04,38
2012-07-05,42
2012-07-06,41
2012-07-07,41
2012-07-08,41
2012-07-09,41
2012-07-10,43
2012-07-11,41
2012-07-12,41
2012-07-13,41
2012-07-14,41
2012-07-15,41
2012-07-16,42
2012-07-17,43
2012-07-18,43
2012-07-19,46
2012-07-20,45
2012-07-21,46
2012-07-22,45
2012-07-23,45
2012-07-24,48
2012-07-25,45
2012-07-26,48
2012-07-27,45
2012-07-28,45
2012-07-29,45
2012-07-30,46
2012-07-31,48
2012-08-01,47
2012-08-02,47
2012-08-03,48
2012-08-04,49
2012-08-05,48
2012-08-06,47
2012-08-07,46
2012-08-08,50
2012-08-09,44
2012-08-10,44
2012-08-11,43
2012-08-12,42
2012-08-13,41
2012-08-14,41
2012-08-15,43
2012-08-16,40
2012-08-17,39
2012-08-18,39
2012-08-19,38
2012-08-20,38
2012-08-21,39
2012-08-22,39
2012-08-23,40
2012-08-24,38
2012-08-25,38
2012-08-26,38
2012-08-27,38
2012-08-28,39
2012-08-29,39
2012-08-30,39
2012-08-31,39
2012-09-01,40
2012-09-02,40
2012-09-03,41
2012-09-04,47
2012-09-05,42
2012-09-06,44
2012-09-07,44
2012-09-08,45
2012-09-09,46
2012-09-10,47
2012-09-11,48
2012-09-12,49
2012-09-13,58
2012-09-14,51
2012-09-15,53
2012-09-16,51
2012-09-17,49
2012-09-18,48
2012-09-19,47
2012-09-20,49
2012-09-21,43
2012-09-22,42
2012-09-23,40
2012-09-24,39
2012-09-25,38
2012-09-26,37
2012-09-27,36
2012-09-28,37
2012-09-29,34
2012-09-30,35
2012-10-01,36
2012-10-02,38
