Date,HSBC
2006-02-01,75
2006-02-02,74
2006-02-03,74
2006-02-04,74
2006-02-05,73
2006-02-06,72
2006-02-07,71
2006-02-08,70
2006-02-09,70
2006-02-10,68
2006-02-11,67
2006-02-12,66
2006-02-13,66
2006-02-14,65
2006-02-15,65
2006-02-16,64
2006-02-17,64
2006-02-18,64
2006-02-19,64
2006-02-20,64
2006-02-21,64
2006-02-22,64
2006-02-23,64
2006-02-24,64
2006-02-25,64
2006-02-26,68
2006-02-27,73
2006-02-28,78
2006-03-01,83
2006-03-02,92
2006-03-03,93
2006-03-04,98
2006-03-05,94
2006-03-06,90
2006-03-07,86
2006-03-08,82
2006-03-09,79
2006-03-10,74
2006-03-11,70
2006-03-12,71
2006-03-13,72
2006-03-14,73
2006-03-15,74
2006-03-16,75
2006-03-17,76
2006-03-18,77
2006-03-19,77
2006-03-20,78
2006-03-21,79
2006-03-22,79
2006-03-23,80
2006-03-24,81
2006-03-25,82
2006-03-26,81
2006-03-27,81
2006-03-28,84
2006-03-29,80
2006-03-30,79
2006-03-31,79
2006-05-07,63
2006-05-08,63
2006-05-09,63
2006-05-10,63
2006-05-11,63
2006-05-12,63
2006-05-13,63
2006-05-14,63
2006-05-15,63
2006-05-16,64
2006-05-17,64
2006-05-18,65
2006-05-19,65
2006-05-20,66
2006-05-21,65
2006-05-22,65
2006-05-23,65
2006-05-24,64
2006-05-25,64
2006-05-26,64
2006-05-27,64
2006-05-28,65
2006-05-29,66
2006-05-30,67
2006-05-31,68
2006-06-01,69
2006-06-02,70
2006-06-03,71
2006-06-04,70
2006-06-05,68
2006-06-06,67
2006-06-07,66
2006-06-08,65
2006-06-09,63
2006-06-10,62
2006-06-11,60
2006-06-12,57
2006-06-13,55
2006-06-14,53
2006-06-15,51
2006-06-16,49
2006-06-17,47
2006-06-18,47
2006-06-19,48
2006-06-20,49
2006-06-21,50
2006-06-22,51
2006-06-23,52
2006-06-24,53
2006-06-25,54
2006-06-26,55
2006-06-27,56
2006-06-28,58
2006-06-29,59
2006-06-30,60
2006-07-01,61
2006-07-02,59
2006-07-03,57
2006-07-04,55
2006-07-05,53
2006-07-06,51
2006-07-07,49
2006-07-08,48
2006-07-09,47
2006-07-10,47
2006-07-11,47
2006-07-12,46
2006-07-13,46
2006-07-14,46
2006-07-15,46
2006-07-16,47
2006-07-17,48
2006-07-18,49
2006-07-19,50
2006-07-20,51
2006-07-21,52
2006-07-22,53
2006-07-23,52
2006-07-24,51
2006-07-25,51
2006-07-26,50
2006-07-27,50
2006-07-28,49
2006-07-29,49
2006-07-30,49
2006-08-06,56
2006-08-07,59
2006-08-08,62
2006-08-09,65
2006-08-10,68
2006-08-11,71
2006-08-12,74
2006-08-13,71
2006-08-14,68
2006-08-15,66
2006-08-16,63
2006-08-17,61
2006-08-18,58
2006-08-19,56
2006-08-20,57
2006-08-21,59
2006-08-22,61
2006-08-23,63
2006-08-24,64
2006-08-25,66
2006-08-26,68
2006-08-27,64
2006-08-28,60
2006-08-29,56
2006-08-30,53
2006-08-31,49
2006-09-01,46
2006-09-02,43
2006-09-03,44
2006-09-04,46
2006-09-05,47
2006-09-06,48
2006-09-07,50
2006-09-08,51
2006-09-09,53
2006-09-10,53
2006-09-11,53
2006-09-12,53
2006-09-13,53
2006-09-14,53
2006-09-15,53
2006-09-16,54
2006-09-17,55
2006-09-18,57
2006-09-19,58
2006-09-20,60
2006-09-21,62
2006-09-22,63
2006-09-23,65
2006-09-24,63
2006-09-25,60
2006-09-26,58
2006-09-27,56
2006-09-28,54
2006-09-29,52
2006-09-30,50
2006-10-01,52
2006-10-02,55
2006-10-03,58
2006-10-04,61
2006-10-05,64
2006-10-06,67
2006-10-07,70
2006-10-08,67
2006-10-09,65
2006-10-10,63
2006-10-11,61
2006-10-12,59
2006-10-13,57
2006-10-14,55
2006-10-15,59
2006-10-16,63
2006-10-17,67
2006-10-18,71
2006-10-19,75
2006-10-20,79
2006-10-21,83
2006-10-22,81
2006-10-23,77
2006-10-24,74
2006-10-25,72
2006-10-26,69
2006-10-27,66
2006-10-28,64
2006-10-29,64
2006-11-01,65
2006-11-02,65
2006-11-03,69
2006-11-04,66
2006-11-05,67
2006-11-06,68
2006-11-07,69
2006-11-08,71
2006-11-09,72
2006-11-10,73
2006-11-11,76
2006-11-12,73
2006-11-13,72
2006-11-14,71
2006-11-15,70
2006-11-16,68
2006-11-17,67
2006-11-18,67
2006-11-19,68
2006-11-20,70
2006-11-21,72
2006-11-22,74
2006-11-23,79
2006-11-24,78
2006-11-25,80
2006-11-26,78
2006-11-27,77
2006-11-28,76
2006-11-29,77
2006-11-30,76
2006-12-01,73
2006-12-02,72
2006-12-03,73
2006-12-04,75
2006-12-05,77
2006-12-06,78
2006-12-07,80
2006-12-08,82
2006-12-09,84
2006-12-10,84
2006-12-11,85
2006-12-12,86
2006-12-13,88
2006-12-14,87
2006-12-15,90
2006-12-16,89
2006-12-17,84
2006-12-18,80
2006-12-19,76
2006-12-20,72
2006-12-21,68
2006-12-22,64
2006-12-23,60
2006-12-24,61
2006-12-25,62
2006-12-26,63
2006-12-27,64
2006-12-28,65
2006-12-29,66
2006-12-30,67
2006-12-31,70
2007-01-01,73
2007-01-02,77
2007-01-03,80
2007-01-04,85
2007-01-05,93
2007-01-06,92
2007-01-07,89
2007-01-08,87
2007-01-09,85
2007-01-10,83
2007-01-11,82
2007-01-12,79
2007-01-13,78
2007-01-14,78
2007-01-15,78
2007-01-16,79
2007-01-17,78
2007-01-18,78
2007-01-19,79
2007-01-20,80
2007-01-21,77
2007-01-22,76
2007-01-23,75
2007-01-24,74
2007-01-25,73
2007-01-26,72
2007-01-27,73
2007-01-28,73
2007-01-29,75
2007-01-30,77
2007-01-31,79
2007-02-01,81
2007-02-02,83
2007-02-03,86
2007-02-04,85
2007-02-05,87
2007-02-06,86
2007-02-07,86
2007-02-08,89
2007-02-09,89
2007-02-10,88
2007-02-11,84
2007-02-12,81
2007-02-13,78
2007-02-14,76
2007-02-15,71
2007-02-16,68
2007-02-17,65
2007-02-18,67
2007-02-19,70
2007-02-20,73
2007-02-21,81
2007-02-22,79
2007-02-23,84
2007-02-24,91
2007-02-25,82
2007-02-26,79
2007-02-27,76
2007-02-28,75
2007-03-01,70
2007-03-02,68
2007-03-03,65
2007-03-04,68
2007-03-05,71
2007-03-06,74
2007-03-07,82
2007-03-08,86
2007-03-09,84
2007-03-10,92
2007-03-11,87
2007-03-12,87
2007-03-13,87
2007-03-14,86
2007-03-15,92
2007-03-16,88
2007-03-17,86
2007-03-18,83
2007-03-19,80
2007-03-20,78
2007-03-21,76
2007-03-22,73
2007-03-23,70
2007-03-24,69
2007-03-25,66
2007-03-26,64
2007-03-27,63
2007-03-28,61
2007-03-29,60
2007-03-30,58
2007-03-31,57
2007-05-01,63
2007-05-02,64
2007-05-03,62
2007-05-04,61
2007-05-05,61
2007-05-06,64
2007-05-07,63
2007-05-08,62
2007-05-09,62
2007-05-10,68
2007-05-11,63
2007-05-12,64
2007-05-13,64
2007-05-14,64
2007-05-15,68
2007-05-16,64
2007-05-17,64
2007-05-18,64
2007-05-19,71
2007-05-20,67
2007-05-21,69
2007-05-22,71
2007-05-23,75
2007-05-24,79
2007-05-25,77
2007-05-26,84
2007-05-27,78
2007-05-28,78
2007-05-29,77
2007-05-30,77
2007-05-31,78
2007-06-01,76
2007-06-02,76
2007-06-03,74
2007-06-04,73
2007-06-05,74
2007-06-06,70
2007-06-07,69
2007-06-08,68
2007-06-09,67
2007-06-10,66
2007-06-11,66
2007-06-12,68
2007-06-13,65
2007-06-14,66
2007-06-15,65
2007-06-16,66
2007-06-17,66
2007-06-18,68
2007-06-19,69
2007-06-20,71
2007-06-21,72
2007-06-22,82
2007-06-23,76
2007-06-24,77
2007-06-25,78
2007-06-26,79
2007-06-27,83
2007-06-28,82
2007-06-29,84
2007-06-30,89
2007-07-01,84
2007-07-02,83
2007-07-03,82
2007-07-04,81
2007-07-05,80
2007-07-06,79
2007-07-07,78
2007-07-08,81
2007-07-09,78
2007-07-10,78
2007-07-11,82
2007-07-12,78
2007-07-13,78
2007-07-14,84
2007-07-15,78
2007-07-16,77
2007-07-17,76
2007-07-18,75
2007-07-19,75
2007-07-20,73
2007-07-21,72
2007-07-22,74
2007-07-23,77
2007-07-24,80
2007-07-25,82
2007-07-26,88
2007-07-27,90
2007-07-28,91
2007-07-29,89
2007-07-30,87
2007-07-31,86
2007-08-01,84
2007-08-02,91
2007-08-03,81
2007-08-04,86
2007-08-05,80
2007-08-06,81
2007-08-07,81
2007-08-08,89
2007-08-09,82
2007-08-10,83
2007-08-11,90
2007-08-12,83
2007-08-13,82
2007-08-14,81
2007-08-15,86
2007-08-16,80
2007-08-17,79
2007-08-18,79
2007-08-19,85
2007-08-20,77
2007-08-21,76
2007-08-22,75
2007-08-23,79
2007-08-24,75
2007-08-25,72
2007-08-26,73
2007-08-27,74
2007-08-28,75
2007-08-29,79
2007-08-30,77
2007-08-31,80
2007-09-01,79
2007-09-02,77
2007-09-03,75
2007-09-04,76
2007-09-05,72
2007-09-06,71
2007-09-07,68
2007-09-08,67
2007-09-09,64
2007-09-10,62
2007-09-11,60
2007-09-12,62
2007-09-13,55
2007-09-14,53
2007-09-15,52
2007-09-16,52
2007-09-17,54
2007-09-18,56
2007-09-19,58
2007-09-20,65
2007-09-21,62
2007-09-22,65
2007-09-23,68
2007-09-24,72
2007-09-25,77
2007-09-26,81
2007-09-27,85
2007-09-28,89
2007-09-29,94
2007-09-30,93
2007-10-01,93
2007-10-02,103
2007-10-03,92
2007-10-04,96
2007-10-05,92
2007-10-06,96
2007-10-07,92
2007-10-08,86
2007-10-09,84
2007-10-10,81
2007-10-11,79
2007-10-12,76
2007-10-13,76
2007-10-14,78
2007-10-15,79
2007-10-16,82
2007-10-17,84
2007-10-18,90
2007-10-19,90
2007-10-20,98
2007-10-21,94
2007-10-22,92
2007-10-23,91
2007-10-24,94
2007-10-25,90
2007-10-26,90
2007-10-27,94
2007-10-28,88
2007-10-29,87
2007-10-30,86
2007-10-31,88
2007-11-01,83
2007-11-02,90
2007-11-03,81
2007-11-04,80
2007-11-05,85
2007-11-06,86
2007-11-07,79
2007-11-08,78
2007-11-09,80
2007-11-10,81
2007-11-11,78
2007-11-12,79
2007-11-13,79
2007-11-14,82
2007-11-15,81
2007-11-16,85
2007-11-17,85
2007-11-18,78
2007-11-19,74
2007-11-20,70
2007-11-21,67
2007-11-22,65
2007-11-23,59
2007-11-24,56
2007-11-25,57
2007-11-26,58
2007-11-27,65
2007-11-28,61
2007-11-29,66
2007-11-30,63
2007-12-01,65
2007-12-02,64
2007-12-03,64
2007-12-04,64
2007-12-05,65
2007-12-06,64
2007-12-07,64
2007-12-08,64
2007-12-09,63
2007-12-10,65
2007-12-11,61
2007-12-12,61
2007-12-13,62
2007-12-14,59
2007-12-15,59
2007-12-16,59
2007-12-17,60
2007-12-18,64
2007-12-19,62
2007-12-20,63
2007-12-21,64
2007-12-22,68
2007-12-23,64
2007-12-24,63
2007-12-25,62
2007-12-26,62
2007-12-27,61
2007-12-28,60
2007-12-29,60
2007-12-30,62
2007-12-31,65
2008-01-01,67
2008-01-02,70
2008-01-03,76
2008-01-04,75
2008-01-05,85
2008-01-06,78
2008-01-07,78
2008-01-08,80
2008-01-09,85
2008-01-10,78
2008-01-11,78
2008-01-12,81
2008-01-13,81
2008-01-14,83
2008-01-15,86
2008-01-16,96
2008-01-17,91
2008-01-18,94
2008-01-19,104
2008-01-20,95
2008-01-21,95
2008-01-22,95
2008-01-23,96
2008-01-24,98
2008-01-25,95
2008-01-26,108
2008-01-27,91
2008-01-28,88
2008-01-29,84
2008-01-30,86
2008-01-31,77
