Date,Canaccord Adams Inc
2009-08-02,38
2009-08-03,39
2009-08-04,41
2009-08-05,42
2009-08-06,44
2009-08-07,45
2009-08-08,47
2009-08-09,46
2009-08-10,46
2009-08-11,46
2009-08-12,46
2009-08-13,46
2009-08-14,46
2009-08-15,46
2009-08-16,44
2009-08-17,43
2009-08-18,41
2009-08-19,40
2009-08-20,39
2009-08-21,37
2009-08-22,36
2009-08-23,37
2009-08-24,38
2009-08-25,39
2009-08-26,40
2009-08-27,42
2009-08-28,43
2009-08-29,44
2009-08-30,45
2009-08-31,45
2009-09-01,46
2009-09-02,46
2009-09-03,47
2009-09-04,48
2009-09-05,49
2009-09-06,50
2009-09-07,52
2009-09-08,54
2009-09-09,55
2009-09-10,57
2009-09-11,59
2009-09-12,61
2009-09-13,64
2009-09-14,68
2009-09-15,72
2009-09-16,76
2009-09-17,80
2009-09-18,84
2009-09-19,87
2009-09-20,82
2009-09-21,76
2009-09-22,71
2009-09-23,66
2009-09-24,61
2009-09-25,56
2009-09-26,51
2009-09-27,50
2009-09-28,50
2009-09-29,50
2009-09-30,50
2009-10-01,50
2009-10-02,50
2009-10-03,50
2009-10-04,57
2009-10-05,65
2009-10-06,72
2009-10-07,79
2009-10-08,87
2009-10-09,94
2009-10-10,101
2009-10-11,96
2009-10-12,88
2009-10-13,82
2009-10-14,76
2009-10-15,70
2009-10-16,64
2009-10-17,58
2009-10-18,59
2009-10-19,62
2009-10-20,64
2009-10-21,66
2009-10-22,68
2009-10-23,70
2009-10-24,72
2009-10-25,68
2009-11-01,42
2009-11-02,42
2009-11-03,42
2009-11-04,42
2009-11-05,42
2009-11-06,42
2009-11-07,42
2009-11-08,44
2009-11-09,46
2009-11-10,48
2009-11-11,51
2009-11-12,53
2009-11-13,55
2009-11-14,58
2009-11-15,56
2009-11-16,56
2009-11-17,54
2009-11-18,53
2009-11-19,52
2009-11-20,51
2009-11-21,50
2009-11-22,49
2009-11-23,47
2009-11-24,45
2009-11-25,44
2009-11-26,42
2009-11-27,41
2009-11-28,40
2009-11-29,41
2009-11-30,43
2009-12-01,45
2009-12-02,46
2009-12-03,48
2009-12-04,50
2009-12-05,52
2009-12-06,54
2009-12-07,56
2009-12-08,59
2009-12-09,61
2009-12-10,63
2009-12-11,65
2009-12-12,68
2009-12-13,65
2009-12-14,61
2009-12-15,58
2009-12-16,56
2009-12-17,53
2009-12-18,50
2009-12-19,48
2009-12-20,48
2009-12-21,49
2009-12-22,49
2009-12-23,50
2009-12-24,51
2009-12-25,51
2009-12-26,52
2009-12-27,53
2009-12-28,54
2009-12-29,55
2009-12-30,57
2009-12-31,58
2010-01-01,59
2010-01-02,61
2010-01-03,62
2010-01-04,64
2010-01-05,65
