Date,Citigroup
2005-04-09,67
2005-04-10,66
2005-04-11,65
2005-04-12,64
2005-04-13,63
2005-04-14,62
2005-04-15,61
2005-04-16,60
2005-04-17,60
2005-04-18,60
2005-04-19,60
2005-04-20,60
2005-04-21,60
2005-04-22,60
2005-04-23,60
2005-04-24,62
2005-04-25,65
2005-04-26,67
2005-04-27,70
2005-04-28,72
2005-04-29,75
2005-04-30,77
2005-05-01,72
2005-05-02,66
2005-05-03,61
2005-05-04,56
2005-05-05,51
2005-05-06,46
2005-05-07,41
2005-05-08,41
2005-05-09,42
2005-05-10,43
2005-05-11,43
2005-05-12,44
2005-05-13,45
2005-05-14,46
2005-05-15,44
2005-05-16,43
2005-05-17,41
2005-05-18,40
2005-05-19,38
2005-05-20,37
2005-05-21,36
2005-05-22,39
2005-05-23,43
2005-05-24,47
2005-05-25,51
2005-05-26,54
2005-05-27,58
2005-05-28,62
2005-05-29,62
2005-05-30,62
2005-05-31,61
2005-06-01,61
2005-06-02,61
2005-06-03,61
2005-06-04,61
2005-06-05,63
2005-06-06,64
2005-06-07,66
2005-06-08,68
2005-06-09,70
2005-06-10,72
2005-06-11,74
2005-06-12,74
2005-06-13,75
2005-06-14,76
2005-06-15,76
2005-06-16,77
2005-06-17,78
2005-06-18,79
2005-06-19,79
2005-06-20,82
2005-06-21,84
2005-06-22,85
2005-06-23,87
2005-06-24,89
2005-06-25,94
2005-06-26,81
2005-07-03,63
2005-07-04,63
2005-07-05,63
2005-07-06,64
2005-07-07,64
2005-07-08,64
2005-07-09,64
2005-07-10,62
2005-07-11,58
2005-07-12,56
2005-07-13,54
2005-07-14,52
2005-07-15,50
2005-07-16,48
2005-07-17,50
2005-07-18,53
2005-07-19,55
2005-07-20,58
2005-07-21,60
2005-07-22,63
2005-07-23,66
2005-07-24,64
2005-07-25,62
2005-07-26,61
2005-07-27,59
2005-07-28,58
2005-07-29,56
2005-07-30,55
2005-07-31,56
2005-08-01,57
2005-08-02,58
2005-08-03,59
2005-08-04,60
2005-08-05,61
2005-08-06,62
2005-08-07,62
2005-08-08,64
2005-08-09,65
2005-08-10,66
2005-08-11,67
2005-08-12,68
2005-08-13,69
2005-08-14,66
2005-08-15,62
2005-08-16,59
2005-08-17,56
2005-08-18,53
2005-08-19,50
2005-08-20,47
2005-08-21,46
2005-08-22,45
2005-08-23,44
2005-08-24,43
2005-08-25,42
2005-08-26,41
2005-08-27,40
2005-08-28,40
2005-08-29,40
2005-08-30,40
2005-08-31,40
2005-09-01,40
2005-09-02,40
2005-09-03,40
2005-09-04,45
2005-09-05,50
2005-09-06,56
2005-09-07,61
2005-09-08,66
2005-09-09,71
2005-09-10,77
2005-09-11,74
2005-09-12,71
2005-09-13,69
2005-09-14,66
2005-09-15,64
2005-09-16,62
2005-09-17,60
2005-09-18,58
2005-09-19,57
2005-09-20,56
2005-09-21,54
2005-09-22,53
2005-09-23,52
2005-09-24,51
2005-09-25,49
2005-10-02,47
2005-10-03,51
2005-10-04,55
2005-10-05,59
2005-10-06,64
2005-10-07,68
2005-10-08,72
2005-10-09,72
2005-10-10,72
2005-10-11,72
2005-10-12,73
2005-10-13,73
2005-10-14,73
2005-10-15,74
2005-10-16,74
2005-10-17,75
2005-10-18,76
2005-10-19,76
2005-10-20,77
2005-10-21,78
2005-10-22,78
2005-10-23,76
2005-10-24,72
2005-10-25,69
2005-10-26,67
2005-10-27,64
2005-10-28,62
2005-10-29,60
2005-10-30,56
2005-10-31,53
2005-11-01,49
2005-11-02,46
2005-11-03,42
2005-11-04,39
2005-11-05,36
2005-11-06,42
2005-11-07,48
2005-11-08,54
2005-11-09,60
2005-11-10,66
2005-11-11,72
2005-11-12,78
2005-11-13,78
2005-11-14,77
2005-11-15,77
2005-11-16,77
2005-11-17,77
2005-11-18,77
2005-11-19,77
2005-11-20,77
2005-11-21,78
2005-11-22,79
2005-11-23,80
2005-11-24,80
2005-11-25,81
2005-11-26,82
2005-11-27,77
2005-11-28,73
2005-11-29,68
2005-11-30,64
2005-12-01,59
2005-12-02,55
2005-12-03,50
2005-12-04,48
2005-12-05,46
2005-12-06,44
2005-12-07,42
2005-12-08,40
2005-12-09,38
2005-12-10,37
2005-12-11,39
2005-12-12,41
2005-12-13,43
2005-12-14,45
2005-12-15,47
2005-12-16,49
2005-12-17,51
2005-12-18,51
2005-12-19,52
2005-12-20,53
2005-12-21,54
2005-12-22,55
2005-12-23,56
2005-12-24,58
2005-12-25,52
2006-01-01,50
2006-01-02,50
2006-01-03,50
2006-01-04,50
2006-01-05,50
2006-01-06,50
2006-01-07,50
2006-01-08,52
2006-01-09,54
2006-01-10,56
2006-01-11,58
2006-01-12,60
2006-01-13,62
2006-01-14,64
2006-01-15,62
2006-01-16,61
2006-01-17,59
2006-01-18,58
2006-01-19,56
2006-01-20,55
2006-01-21,54
2006-01-22,56
2006-01-23,59
2006-01-24,62
2006-01-25,65
2006-01-26,68
2006-01-27,71
2006-01-28,74
2006-01-29,77
2006-01-30,82
2006-01-31,86
2006-02-01,89
2006-02-02,93
2006-02-03,97
2006-02-04,101
2006-02-05,95
2006-02-06,88
2006-02-07,82
2006-02-08,77
2006-02-09,71
2006-02-10,65
2006-02-11,60
2006-02-12,56
2006-02-13,52
2006-02-14,48
2006-02-15,45
2006-02-16,41
2006-02-17,37
2006-02-18,34
2006-02-19,35
2006-02-20,36
2006-02-21,37
2006-02-22,38
2006-02-23,39
2006-02-24,40
2006-02-25,42
2006-02-26,41
2006-02-27,41
2006-02-28,40
2006-03-01,40
2006-03-02,39
2006-03-03,39
2006-03-04,39
2006-03-05,41
2006-03-06,43
2006-03-07,45
2006-03-08,47
2006-03-09,49
2006-03-10,51
2006-03-11,54
2006-03-12,54
2006-03-13,54
2006-03-14,54
2006-03-15,54
2006-03-16,54
2006-03-17,55
2006-03-18,55
2006-03-19,54
2006-03-20,52
2006-03-21,51
2006-03-22,50
2006-03-23,49
2006-03-24,48
2006-03-25,47
2006-03-26,49
2006-04-02,65
2006-04-03,68
2006-04-04,70
2006-04-05,72
2006-04-06,75
2006-04-07,77
2006-04-08,79
2006-04-09,77
2006-04-10,72
2006-04-11,69
2006-04-12,66
2006-04-13,63
2006-04-14,60
2006-04-15,58
2006-04-16,55
2006-04-17,53
2006-04-18,50
2006-04-19,48
2006-04-20,45
2006-04-21,43
2006-04-22,41
2006-04-23,47
2006-04-24,55
2006-04-25,62
2006-04-26,68
2006-04-27,75
2006-04-28,82
2006-04-29,89
2006-04-30,87
2006-05-01,85
2006-05-02,83
2006-05-03,81
2006-05-04,79
2006-05-05,77
2006-05-06,75
2006-05-07,73
2006-05-08,70
2006-05-09,68
