Date,Credit Suisse First Boston
2004-12-01,0
2004-12-02,3
2004-12-03,6
2004-12-04,9
2004-12-05,12
2004-12-06,15
2004-12-07,18
2004-12-08,21
2004-12-09,24
2004-12-10,27
2004-12-11,30
2004-12-12,33
2004-12-13,36
2004-12-14,39
2004-12-15,42
2004-12-16,45
2004-12-17,48
2004-12-18,51
2004-12-19,54
2004-12-20,57
2004-12-21,60
2004-12-22,63
2004-12-23,66
2004-12-24,69
2004-12-25,72
2004-12-26,75
2004-12-27,78
2004-12-28,81
2004-12-29,84
2004-12-30,87
2004-12-31,90
2005-01-01,94
2005-01-02,94
2005-01-03,94
2005-01-04,94
2005-01-05,94
2005-01-06,94
2005-01-07,94
2005-01-08,95
2005-01-09,95
2005-01-10,95
2005-01-11,95
2005-01-12,95
2005-01-13,95
2005-01-14,96
2005-01-15,96
2005-01-16,96
2005-01-17,96
2005-01-18,96
2005-01-19,96
2005-01-20,97
2005-01-21,97
2005-01-22,97
2005-01-23,97
2005-01-24,97
2005-01-25,97
2005-01-26,98
2005-01-27,98
2005-01-28,98
2005-01-29,98
2005-01-30,98
2005-01-31,98
2005-02-01,99
2005-02-02,99
2005-02-03,99
2005-02-04,99
2005-02-05,99
2005-02-06,99
2005-02-07,99
2005-02-08,99
2005-02-09,99
2005-02-10,99
2005-02-11,99
2005-02-12,99
2005-02-13,99
2005-02-14,99
2005-02-15,99
2005-02-16,99
2005-02-17,99
2005-02-18,99
2005-02-19,99
2005-02-20,99
2005-02-21,99
2005-02-22,99
2005-02-23,99
2005-02-24,99
2005-02-25,99
2005-02-26,99
2005-02-27,99
2005-02-28,99
2005-03-01,100
2005-03-02,99
2005-03-03,99
2005-03-04,98
2005-03-05,98
2005-03-06,98
2005-03-07,97
2005-03-08,97
2005-03-09,97
2005-03-10,96
2005-03-11,96
2005-03-12,96
2005-03-13,95
2005-03-14,95
2005-03-15,95
2005-03-16,94
2005-03-17,94
2005-03-18,93
2005-03-19,93
2005-03-20,93
2005-03-21,92
2005-03-22,92
2005-03-23,92
2005-03-24,91
2005-03-25,91
2005-03-26,91
2005-03-27,90
2005-03-28,90
2005-03-29,90
2005-03-30,89
2005-03-31,89
2005-04-01,89
2005-04-02,89
2005-04-03,89
2005-04-04,89
2005-04-05,89
2005-04-06,89
2005-04-07,89
2005-04-08,89
2005-04-09,89
2005-04-10,89
2005-04-11,89
2005-04-12,89
2005-04-13,89
2005-04-14,89
2005-04-15,89
2005-04-16,89
2005-04-17,89
2005-04-18,89
2005-04-19,89
2005-04-20,89
2005-04-21,89
2005-04-22,89
2005-04-23,89
2005-04-24,89
2005-04-25,89
2005-04-26,89
2005-04-27,89
2005-04-28,89
2005-04-29,89
2005-04-30,89
2005-05-01,89
2005-05-02,89
2005-05-03,89
2005-05-04,89
2005-05-05,89
2005-05-06,89
2005-05-07,89
2005-05-08,89
2005-05-09,89
2005-05-10,89
2005-05-11,89
2005-05-12,89
2005-05-13,89
2005-05-14,89
2005-05-15,89
2005-05-16,89
2005-05-17,90
2005-05-18,90
2005-05-19,90
2005-05-20,90
2005-05-21,90
2005-05-22,90
2005-05-23,90
2005-05-24,90
2005-05-25,90
2005-05-26,90
2005-05-27,90
2005-05-28,90
2005-05-29,90
2005-05-30,90
2005-05-31,90
2005-06-01,91
2005-06-02,90
2005-06-03,90
2005-06-04,89
2005-06-05,89
2005-06-06,89
2005-06-07,88
2005-06-08,88
2005-06-09,88
2005-06-10,87
2005-06-11,87
2005-06-12,86
2005-06-13,86
2005-06-14,86
2005-06-15,85
2005-06-16,85
2005-06-17,85
2005-06-18,84
2005-06-19,84
2005-06-20,84
2005-06-21,83
2005-06-22,83
2005-06-23,82
2005-06-24,82
2005-06-25,82
2005-06-26,81
2005-06-27,81
2005-06-28,81
2005-06-29,80
2005-06-30,80
2005-07-01,80
2005-07-02,80
2005-07-03,80
2005-07-04,80
2005-07-05,80
2005-07-06,80
2005-07-07,80
2005-07-08,80
2005-07-09,80
2005-07-10,80
2005-07-11,80
2005-07-12,80
2005-07-13,80
2005-07-14,80
2005-07-15,80
2005-07-16,80
2005-07-17,80
2005-07-18,80
2005-07-19,80
2005-07-20,80
2005-07-21,80
2005-07-22,80
2005-07-23,80
2005-07-24,80
2005-07-25,80
2005-07-26,80
2005-07-27,80
2005-07-28,80
2005-07-29,80
2005-07-30,80
2005-07-31,80
2005-08-01,80
2005-08-02,79
2005-08-03,79
2005-08-04,79
2005-08-05,79
2005-08-06,78
2005-08-07,78
2005-08-08,78
2005-08-09,78
2005-08-10,77
2005-08-11,77
2005-08-12,77
2005-08-13,77
2005-08-14,77
2005-08-15,76
2005-08-16,76
2005-08-17,76
2005-08-18,76
2005-08-19,75
2005-08-20,75
2005-08-21,75
2005-08-22,75
2005-08-23,75
2005-08-24,74
2005-08-25,74
2005-08-26,74
2005-08-27,74
2005-08-28,73
2005-08-29,73
2005-08-30,73
2005-08-31,73
2005-09-01,73
2005-09-02,72
2005-09-03,72
2005-09-04,72
2005-09-05,72
