Date,Merrill Lynch
2007-02-10,31
2007-02-11,27
2007-02-12,26
2007-02-13,25
2007-02-14,27
2007-02-15,23
2007-02-16,23
2007-02-17,22
2007-02-18,22
2007-02-19,22
2007-02-20,22
2007-02-21,23
2007-02-22,22
2007-02-23,23
2007-02-24,22
2007-02-25,22
2007-02-26,23
2007-02-27,24
2007-02-28,26
2007-03-01,26
2007-03-02,28
2007-03-03,29
2007-03-04,29
2007-03-05,26
2007-03-06,26
2007-03-07,25
2007-03-08,26
2007-03-09,25
2007-03-10,26
2007-03-11,24
2007-03-12,24
2007-03-13,24
2007-03-14,24
2007-03-15,24
2007-03-16,25
2007-03-17,25
2007-03-18,23
2007-03-19,23
2007-03-20,23
2007-03-21,25
2007-03-22,23
2007-03-23,24
2007-03-24,24
2007-03-25,22
2007-03-26,22
2007-03-27,22
2007-03-28,22
2007-03-29,22
2007-03-30,23
2007-03-31,22
2007-05-01,23
2007-05-02,24
2007-05-03,23
2007-05-04,22
2007-05-05,23
2007-05-06,21
2007-05-07,21
2007-05-08,20
2007-05-09,21
2007-05-10,19
2007-05-11,19
2007-05-12,20
2007-05-13,19
2007-05-14,19
2007-05-15,20
2007-05-16,20
2007-05-17,22
2007-05-18,22
2007-05-19,22
2007-05-20,22
2007-05-21,22
2007-05-22,22
2007-05-23,23
2007-05-24,22
2007-05-25,23
2007-05-26,23
2007-05-27,22
2007-05-28,22
2007-05-29,22
2007-05-30,22
2007-05-31,22
2007-06-01,22
2007-06-02,22
2007-06-03,21
2007-06-04,21
2007-06-05,21
2007-06-06,22
2007-06-07,21
2007-06-08,21
2007-06-09,22
2007-06-10,20
2007-06-11,19
2007-06-12,20
2007-06-13,18
2007-06-14,18
2007-06-15,17
2007-06-16,18
2007-06-17,17
2007-06-18,18
2007-06-19,19
2007-06-20,22
2007-06-21,21
2007-06-22,22
2007-06-23,24
2007-06-24,24
2007-06-25,22
2007-06-26,22
2007-06-27,21
2007-06-28,22
2007-06-29,22
2007-06-30,21
2007-07-01,20
2007-07-02,20
2007-07-03,20
2007-07-04,19
2007-07-05,18
2007-07-06,19
2007-07-07,18
2007-07-08,19
2007-07-09,20
2007-07-10,21
2007-07-11,22
2007-07-12,24
2007-07-13,24
2007-07-14,28
2007-07-15,26
2007-07-16,26
2007-07-17,26
2007-07-18,26
2007-07-19,27
2007-07-20,26
2007-07-21,29
2007-07-22,25
2007-07-23,24
2007-07-24,24
2007-07-25,23
2007-07-26,23
2007-07-27,25
2007-07-28,22
2007-07-29,21
2007-07-30,21
2007-07-31,22
2007-08-01,21
2007-08-02,21
2007-08-03,21
2007-08-04,22
2007-08-05,21
2007-08-06,21
2007-08-07,22
2007-08-08,23
2007-08-09,23
2007-08-10,24
2007-08-11,25
2007-08-12,24
2007-08-13,24
2007-08-14,25
2007-08-15,25
2007-08-16,26
2007-08-17,28
2007-08-18,28
2007-08-19,26
2007-08-20,25
2007-08-21,25
2007-08-22,23
2007-08-23,23
2007-08-24,21
2007-08-25,23
2007-08-26,20
2007-08-27,21
2007-08-28,20
2007-08-29,20
2007-08-30,20
2007-08-31,21
2007-09-01,21
2007-09-02,19
2007-09-03,19
2007-09-04,18
2007-09-05,19
2007-09-06,18
2007-09-07,17
2007-09-08,18
2007-09-09,17
2007-09-10,18
2007-09-11,19
2007-09-12,20
2007-09-13,20
2007-09-14,21
2007-09-15,24
2007-09-16,22
2007-09-17,22
2007-09-18,22
2007-09-19,22
2007-09-20,22
2007-09-21,22
2007-09-22,24
2007-09-23,23
2007-09-24,23
2007-09-25,23
2007-09-26,23
2007-09-27,23
2007-09-28,24
2007-09-29,26
2007-09-30,24
2007-10-01,24
2007-10-02,25
2007-10-03,26
2007-10-04,26
2007-10-05,26
2007-10-06,27
2007-10-07,27
2007-10-08,27
2007-10-09,27
2007-10-10,27
2007-10-11,28
2007-10-12,27
2007-10-13,29
2007-10-14,28
2007-10-15,26
2007-10-16,26
2007-10-17,25
2007-10-18,24
2007-10-19,25
2007-10-20,24
2007-10-21,25
2007-10-22,26
2007-10-23,28
2007-10-24,29
2007-10-25,33
2007-10-26,33
2007-10-27,38
2007-10-28,36
2007-10-29,36
2007-10-30,38
2007-10-31,38
2007-11-01,37
2007-11-02,38
2007-11-03,42
2007-11-04,37
2007-11-05,36
2007-11-06,35
2007-11-07,34
2007-11-08,33
2007-11-09,32
2007-11-10,31
2007-11-11,31
2007-11-12,28
2007-11-13,28
2007-11-14,27
2007-11-15,27
2007-11-16,27
2007-11-17,28
2007-11-18,25
2007-11-19,24
2007-11-20,25
2007-11-21,23
2007-11-22,24
2007-11-23,23
2007-11-24,22
2007-11-25,24
2007-11-26,22
2007-11-27,23
2007-11-28,23
2007-11-29,25
2007-11-30,24
2007-12-01,28
2007-12-02,25
2007-12-03,25
2007-12-04,25
2007-12-05,26
2007-12-06,28
2007-12-07,26
2007-12-08,28
