Date,Bear Stearns
2006-03-05,26
2006-03-06,26
2006-03-07,26
2006-03-08,27
2006-03-09,27
2006-03-10,27
2006-03-11,28
2006-03-12,30
2006-03-13,33
2006-03-14,36
2006-03-15,38
2006-03-16,41
2006-03-17,43
2006-03-18,46
2006-03-19,43
2006-03-20,40
2006-03-21,37
2006-03-22,34
2006-03-23,32
2006-03-24,29
2006-03-25,26
2006-03-26,26
2006-03-27,26
2006-03-28,26
2006-03-29,26
2006-03-30,26
2006-03-31,26
2006-04-01,26
2006-04-02,27
2006-04-03,29
2006-04-04,30
2006-04-05,32
2006-04-06,34
2006-04-07,35
2006-04-08,37
2006-04-09,35
2006-04-10,33
2006-04-11,32
2006-04-12,30
2006-04-13,29
2006-04-14,27
2006-04-15,26
2006-04-16,28
2006-04-17,30
2006-04-18,32
2006-04-19,35
2006-04-20,37
2006-04-21,39
2006-04-22,42
2006-04-23,41
2006-04-24,41
2006-04-25,41
2006-04-26,41
2006-04-27,41
2006-04-28,40
2006-04-29,40
2006-04-30,38
2006-05-01,35
2006-05-02,33
2006-05-03,31
2006-05-04,29
2006-05-05,27
2006-05-06,25
2006-05-07,26
2006-05-08,27
2006-05-09,28
2006-05-10,30
2006-05-11,31
2006-05-12,32
2006-05-13,34
2006-05-14,33
2006-05-15,32
2006-05-16,31
2006-05-17,31
2006-05-18,30
2006-05-19,29
2006-05-20,29
2006-05-21,30
2006-05-22,31
2006-05-23,32
2006-05-24,33
2006-05-25,35
2006-05-26,36
2006-05-27,37
2006-05-28,35
2006-06-04,23
2006-06-05,26
2006-06-06,29
2006-06-07,33
2006-06-08,36
2006-06-09,39
2006-06-10,43
2006-06-11,41
2006-06-12,41
2006-06-13,39
2006-06-14,38
2006-06-15,37
2006-06-16,36
2006-06-17,35
2006-06-18,33
2006-06-19,31
2006-06-20,29
2006-06-21,27
2006-06-22,25
2006-06-23,23
2006-06-24,22
2006-06-25,23
2006-06-26,24
2006-06-27,26
2006-06-28,27
2006-06-29,29
2006-06-30,30
2006-07-01,32
2006-07-02,32
2006-07-03,32
2006-07-04,32
2006-07-05,32
2006-07-06,32
2006-07-07,32
2006-07-08,32
2006-07-09,30
2006-07-10,28
2006-07-11,26
2006-07-12,25
2006-07-13,23
2006-07-14,21
2006-07-15,20
2006-07-16,20
2006-07-17,20
2006-07-18,21
2006-07-19,21
2006-07-20,22
2006-07-21,22
2006-07-22,23
2006-07-23,24
2006-07-24,25
2006-07-25,26
2006-07-26,28
2006-07-27,29
2006-07-28,30
2006-07-29,32
2006-07-30,32
2006-07-31,32
2006-08-01,32
2006-08-02,32
2006-08-03,32
2006-08-04,32
2006-08-05,32
2006-08-06,31
2006-08-07,29
2006-08-08,28
2006-08-09,27
2006-08-10,26
2006-08-11,25
2006-08-12,24
2006-08-13,23
2006-08-14,23
2006-08-15,23
2006-08-16,23
2006-08-17,23
2006-08-18,23
2006-08-19,23
2006-08-20,23
2006-08-21,23
2006-08-22,23
2006-08-23,24
2006-08-24,24
2006-08-25,24
2006-08-26,25
2006-08-27,26
2006-09-03,32
2006-09-04,31
2006-09-05,31
2006-09-06,30
2006-09-07,29
2006-09-08,28
2006-09-09,28
2006-09-10,28
2006-09-11,29
2006-09-12,30
2006-09-13,30
2006-09-14,31
2006-09-15,32
2006-09-16,33
2006-09-17,32
2006-09-18,32
2006-09-19,32
2006-09-20,32
2006-09-21,32
2006-09-22,32
2006-09-23,32
2006-09-24,32
2006-09-25,33
2006-09-26,34
2006-09-27,34
2006-09-28,35
2006-09-29,35
2006-09-30,36
2006-10-01,36
2006-10-02,35
2006-10-03,35
2006-10-04,35
2006-10-05,35
2006-10-06,35
2006-10-07,35
2006-10-08,33
2006-10-09,32
2006-10-10,31
2006-10-11,29
2006-10-12,28
2006-10-13,27
2006-10-14,26
2006-10-15,27
2006-10-16,29
2006-10-17,30
2006-10-18,32
2006-10-19,33
2006-10-20,35
2006-10-21,37
2006-10-22,36
2006-10-23,36
2006-10-24,36
2006-10-25,36
2006-10-26,36
2006-10-27,36
2006-10-28,36
2006-10-29,35
2006-10-30,34
2006-10-31,33
2006-11-01,33
2006-11-02,32
2006-11-03,31
2006-11-04,31
2006-11-05,30
2006-11-06,29
2006-11-07,29
2006-11-08,28
2006-11-09,28
2006-11-10,27
2006-11-11,27
2006-11-12,26
2006-11-13,26
2006-11-14,26
2006-11-15,26
2006-11-16,26
2006-11-17,26
2006-11-18,26
2006-11-19,25
2006-11-20,24
2006-11-21,24
2006-11-22,23
2006-11-23,23
2006-11-24,22
2006-11-25,22
2006-11-26,23
2006-12-03,30
2006-12-04,30
2006-12-05,30
2006-12-06,30
2006-12-07,30
2006-12-08,30
2006-12-09,30
2006-12-10,29
2006-12-11,29
2006-12-12,29
2006-12-13,28
2006-12-14,28
2006-12-15,28
2006-12-16,28
2006-12-17,28
2006-12-18,29
2006-12-19,29
2006-12-20,29
2006-12-21,30
2006-12-22,30
2006-12-23,31
2006-12-24,30
2006-12-25,29
2006-12-26,28
2006-12-27,28
2006-12-28,27
2006-12-29,26
2006-12-30,26
2006-12-31,26
2007-01-01,27
2007-01-02,28
2007-01-03,28
2007-01-04,29
2007-01-05,30
2007-01-06,31
2007-01-07,31
2007-01-08,31
2007-01-09,31
2007-01-10,31
2007-01-11,31
2007-01-12,31
2007-01-13,32
2007-01-14,31
2007-01-15,31
2007-01-16,30
2007-01-17,30
2007-01-18,29
2007-01-19,29
2007-01-20,29
2007-01-21,30
2007-01-22,31
2007-01-23,32
2007-01-24,33
2007-01-25,34
2007-01-26,35
2007-01-27,36
2007-01-28,35
2007-01-29,35
2007-01-30,35
2007-01-31,35
2007-02-01,34
2007-02-02,34
2007-02-03,34
2007-02-04,33
2007-02-05,32
2007-02-06,31
2007-02-07,30
2007-02-08,29
2007-02-09,29
2007-02-10,28
2007-02-11,27
2007-02-12,26
2007-02-13,25
2007-02-14,24
2007-02-15,23
2007-02-16,22
2007-02-17,21
2007-02-18,21
2007-02-19,21
2007-02-20,21
2007-02-21,22
2007-02-22,22
2007-02-23,22
2007-02-24,23
2007-02-25,23
2007-03-01,23
2007-03-02,23
2007-03-03,24
2007-03-04,25
2007-03-05,26
2007-03-06,28
2007-03-07,28
2007-03-08,29
2007-03-09,30
2007-03-10,31
2007-03-11,31
2007-03-12,31
2007-03-13,31
2007-03-14,31
2007-03-15,31
2007-03-16,34
2007-03-17,32
2007-03-18,33
2007-03-19,34
2007-03-20,35
2007-03-21,36
2007-03-22,37
2007-03-23,39
2007-03-24,39
2007-03-25,36
2007-03-26,34
2007-03-27,32
2007-03-28,29
2007-03-29,27
2007-03-30,25
2007-03-31,23
2007-04-01,22
2007-04-02,22
2007-04-03,22
2007-04-04,22
2007-04-05,22
2007-04-06,22
2007-04-07,22
2007-04-08,23
2007-04-09,24
2007-04-10,25
2007-04-11,27
2007-04-12,27
2007-04-13,28
2007-04-14,30
2007-04-15,28
2007-04-16,26
