Date,Goldman Sachs
2012-08-01,41
2012-08-02,41
2012-08-03,41
2012-08-04,42
2012-08-05,42
2012-08-06,42
2012-08-07,43
2012-08-08,46
2012-08-09,44
2012-08-10,44
2012-08-11,48
2012-08-12,45
2012-08-13,46
2012-08-14,46
2012-08-15,47
2012-08-16,47
2012-08-17,48
2012-08-18,49
2012-08-19,48
2012-08-20,47
2012-08-21,46
2012-08-22,45
2012-08-23,46
2012-08-24,43
2012-08-25,43
2012-08-26,43
2012-08-27,44
2012-08-28,46
2012-08-29,45
2012-08-30,46
2012-08-31,49
2012-09-01,48
2012-09-02,49
2012-09-03,50
2012-09-04,51
2012-09-05,56
2012-09-06,53
2012-09-07,54
2012-09-08,55
2012-09-09,56
2012-09-10,57
2012-09-11,59
2012-09-12,63
2012-09-13,64
2012-09-14,63
2012-09-15,66
2012-09-16,64
2012-09-17,63
2012-09-18,62
2012-09-19,64
2012-09-20,62
2012-09-21,59
2012-09-22,58
2012-09-23,57
2012-09-24,57
2012-09-25,56
2012-09-26,56
2012-09-27,56
2012-09-28,57
2012-09-29,55
2012-09-30,56
2012-10-01,57
2012-10-02,58
2012-10-03,64
2012-10-04,60
2012-10-05,65
2012-10-06,65
2012-10-07,60
2012-10-08,59
2012-10-09,58
2012-10-10,56
2012-10-11,55
2012-10-12,54
2012-10-13,53
2012-10-14,56
2012-10-15,59
2012-10-16,62
2012-10-17,70
2012-10-18,68
2012-10-19,76
2012-10-20,75
2012-10-21,71
2012-10-22,69
2012-10-23,67
2012-10-24,65
2012-10-25,63
2012-10-26,66
2012-10-27,59
2012-10-28,57
2012-10-29,56
2012-10-30,59
2012-10-31,53
2012-11-01,52
2012-11-02,51
2012-11-03,53
2012-11-04,50
2012-11-05,50
2012-11-06,52
2012-11-07,51
2012-11-08,52
2012-11-09,52
2012-11-10,53
2012-11-11,54
2012-11-12,55
2012-11-13,60
2012-11-14,58
2012-11-15,60
2012-11-16,61
2012-11-17,66
2012-11-18,61
2012-11-19,60
2012-11-20,59
2012-11-21,61
2012-11-22,56
2012-11-23,57
2012-11-24,54
2012-11-25,53
2012-11-26,52
2012-11-27,51
2012-11-28,52
2012-11-29,49
2012-11-30,48
2012-12-01,53
2012-12-02,49
2012-12-03,50
2012-12-04,52
2012-12-05,53
2012-12-06,55
2012-12-07,61
2012-12-08,58
2012-12-09,56
2012-12-10,55
2012-12-11,54
2012-12-12,54
2012-12-13,53
2012-12-14,50
2012-12-15,50
2012-12-16,48
2012-12-17,48
2012-12-18,48
2012-12-19,48
2012-12-20,48
2012-12-21,48
2012-12-22,48
2012-12-23,47
2012-12-24,47
2012-12-25,49
2012-12-26,48
2012-12-27,46
2012-12-28,46
2012-12-29,46
2012-12-30,45
2012-12-31,44
2013-01-01,43
2013-01-02,43
2013-01-03,43
2013-01-04,41
2013-01-05,41
2013-01-06,44
2013-01-07,48
2013-01-08,54
2013-01-09,55
2013-01-10,58
2013-01-11,64
2013-01-12,67
