Date,Jefferies
2013-01-01,92
2013-01-02,91
2013-01-03,90
2013-01-04,90
2013-01-05,89
2013-01-06,89
2013-01-07,88
2013-01-08,87
2013-01-09,87
2013-01-10,86
2013-01-11,86
2013-01-12,85
2013-01-13,85
2013-01-14,84
2013-01-15,83
2013-01-16,83
2013-01-17,82
2013-01-18,82
2013-01-19,81
2013-01-20,80
2013-01-21,80
2013-01-22,79
2013-01-23,79
2013-01-24,78
2013-01-25,78
2013-01-26,77
2013-01-27,76
2013-01-28,76
2013-01-29,75
2013-01-30,75
2013-01-31,74
2013-02-01,74
2013-02-02,74
2013-02-03,74
2013-02-04,74
2013-02-05,74
2013-02-06,75
2013-02-07,75
2013-02-08,75
2013-02-09,75
2013-02-10,75
2013-02-11,76
2013-02-12,76
2013-02-13,76
2013-02-14,76
2013-02-15,77
2013-02-16,77
2013-02-17,77
2013-02-18,77
2013-02-19,77
2013-02-20,78
2013-02-21,78
2013-02-22,78
2013-02-23,78
2013-02-24,78
2013-02-25,79
2013-02-26,79
2013-02-27,79
2013-02-28,79
2013-03-01,80
2013-03-02,80
2013-03-03,81
2013-03-04,81
2013-03-05,82
2013-03-06,83
2013-03-07,83
2013-03-08,84
2013-03-09,85
2013-03-10,85
2013-03-11,86
2013-03-12,87
2013-03-13,87
2013-03-14,88
2013-03-15,89
2013-03-16,89
2013-03-17,90
2013-03-18,90
2013-03-19,91
2013-03-20,92
2013-03-21,92
2013-03-22,93
2013-03-23,94
2013-03-24,94
2013-03-25,95
2013-03-26,96
2013-03-27,96
2013-03-28,97
2013-03-29,98
2013-03-30,98
2013-03-31,99
2013-04-01,100
2013-04-02,98
2013-04-03,97
2013-04-04,96
2013-04-05,95
2013-04-06,94
2013-04-07,92
2013-04-08,91
2013-04-09,90
2013-04-10,89
2013-04-11,88
2013-04-12,86
2013-04-13,85
2013-04-14,84
2013-04-15,83
2013-04-16,82
2013-04-17,80
2013-04-18,79
2013-04-19,78
2013-04-20,77
2013-04-21,76
2013-04-22,74
2013-04-23,73
2013-04-24,72
2013-04-25,71
2013-04-26,70
2013-04-27,68
2013-04-28,67
2013-04-29,66
2013-04-30,65
2013-05-01,64
2013-05-02,63
2013-05-03,62
2013-05-04,62
2013-05-05,61
2013-05-06,60
2013-05-07,60
2013-05-08,59
2013-05-09,58
2013-05-10,58
2013-05-11,57
2013-05-12,56
2013-05-13,56
2013-05-14,55
2013-05-15,54
2013-05-16,54
2013-05-17,53
2013-05-18,53
2013-05-19,52
2013-05-20,51
2013-05-21,51
2013-05-22,50
2013-05-23,49
2013-05-24,49
2013-05-25,48
2013-05-26,47
2013-05-27,47
2013-05-28,46
2013-05-29,45
2013-05-30,45
2013-05-31,44
2013-06-01,44
2013-06-02,44
2013-06-03,45
2013-06-04,46
2013-06-05,47
2013-06-06,48
2013-06-07,49
2013-06-08,50
2013-06-09,51
2013-06-10,52
2013-06-11,53
2013-06-12,54
2013-06-13,55
2013-06-14,56
2013-06-15,57
2013-06-16,58
2013-06-17,58
2013-06-18,59
2013-06-19,60
2013-06-20,61
2013-06-21,62
2013-06-22,63
2013-06-23,64
2013-06-24,65
2013-06-25,66
2013-06-26,67
2013-06-27,68
2013-06-28,69
2013-06-29,70
2013-06-30,71
2013-07-01,72
2013-07-02,71
2013-07-03,70
2013-07-04,70
2013-07-05,69
2013-07-06,69
2013-07-07,68
2013-07-08,67
2013-07-09,67
2013-07-10,66
2013-07-11,66
2013-07-12,65
2013-07-13,65
2013-07-14,64
2013-07-15,63
2013-07-16,63
2013-07-17,62
2013-07-18,62
2013-07-19,61
2013-07-20,60
2013-07-21,60
2013-07-22,59
2013-07-23,59
2013-07-24,58
2013-07-25,58
2013-07-26,57
2013-07-27,56
2013-07-28,56
2013-07-29,55
2013-07-30,55
2013-07-31,54
2013-08-01,54
2013-08-02,53
2013-08-03,53
2013-08-04,52
2013-08-05,52
2013-08-06,52
2013-08-07,51
2013-08-08,51
2013-08-09,51
2013-08-10,50
2013-08-11,50
2013-08-12,50
2013-08-13,49
2013-08-14,49
2013-08-15,49
2013-08-16,48
2013-08-17,48
2013-08-18,47
2013-08-19,47
2013-08-20,47
2013-08-21,46
2013-08-22,46
2013-08-23,46
2013-08-24,45
2013-08-25,45
2013-08-26,45
2013-08-27,44
2013-08-28,44
2013-08-29,44
2013-08-30,43
2013-08-31,43
2013-09-01,43
2013-09-02,44
2013-09-03,45
2013-09-04,46
2013-09-05,47
2013-09-06,48
2013-09-07,50
2013-09-08,51
2013-09-09,52
2013-09-10,53
2013-09-11,54
2013-09-12,55
2013-09-13,57
2013-09-14,58
2013-09-15,59
2013-09-16,60
2013-09-17,61
2013-09-18,62
2013-09-19,64
2013-09-20,65
2013-09-21,66
2013-09-22,67
2013-09-23,68
2013-09-24,69
2013-09-25,71
2013-09-26,72
2013-09-27,73
2013-09-28,74
2013-09-29,75
2013-09-30,76
2013-10-01,78
2013-10-02,77
2013-10-03,77
2013-10-04,77
2013-10-05,76
2013-10-06,76
2013-10-07,76
2013-10-08,75
2013-10-09,75
2013-10-10,75
2013-10-11,74
2013-10-12,74
2013-10-13,74
2013-10-14,73
2013-10-15,73
2013-10-16,73
2013-10-17,72
2013-10-18,72
2013-10-19,72
2013-10-20,71
2013-10-21,71
2013-10-22,71
2013-10-23,70
2013-10-24,70
2013-10-25,70
2013-10-26,69
2013-10-27,69
2013-10-28,69
2013-10-29,68
2013-10-30,68
2013-10-31,68
2013-11-01,68
2013-11-02,67
2013-11-03,67
2013-11-04,67
2013-11-05,67
2013-11-06,67
2013-11-07,67
2013-11-08,66
2013-11-09,66
2013-11-10,66
2013-11-11,66
2013-11-12,66
2013-11-13,66
2013-11-14,65
2013-11-15,65
2013-11-16,65
2013-11-17,65
2013-11-18,65
2013-11-19,65
2013-11-20,64
2013-11-21,64
2013-11-22,64
2013-11-23,64
2013-11-24,64
2013-11-25,64
2013-11-26,63
2013-11-27,63
2013-11-28,63
2013-11-29,63
2013-11-30,63
2013-12-01,63
2013-12-02,62
2013-12-03,62
2013-12-04,62
2013-12-05,62
2013-12-06,62
2013-12-07,62
2013-12-08,62
2013-12-09,61
2013-12-10,61
2013-12-11,61
2013-12-12,61
2013-12-13,61
2013-12-14,61
2013-12-15,61
2013-12-16,61
2013-12-17,60
2013-12-18,60
2013-12-19,60
2013-12-20,60
2013-12-21,60
2013-12-22,60
2013-12-23,60
2013-12-24,60
2013-12-25,59
2013-12-26,59
2013-12-27,59
2013-12-28,59
2013-12-29,59
2013-12-30,59
2013-12-31,59
2014-01-01,59
2014-01-02,58
2014-01-03,58
2014-01-04,58
2014-01-05,58
2014-01-06,58
2014-01-07,58
2014-01-08,58
2014-01-09,58
2014-01-10,58
2014-01-11,58
2014-01-12,58
2014-01-13,58
2014-01-14,58
2014-01-15,58
2014-01-16,58
2014-01-17,57
2014-01-18,57
2014-01-19,57
2014-01-20,57
2014-01-21,57
2014-01-22,57
2014-01-23,57
2014-01-24,57
2014-01-25,57
2014-01-26,57
2014-01-27,57
2014-01-28,57
2014-01-29,57
2014-01-30,57
2014-01-31,57
2014-02-01,57
