Date,JP Morgan Securities
2009-09-12,73
2009-09-13,72
2009-09-14,71
2009-09-15,77
2009-09-16,70
2009-09-17,71
2009-09-18,68
2009-09-19,73
2009-09-20,66
2009-09-21,64
2009-09-22,62
2009-09-23,61
2009-09-24,59
2009-09-25,57
2009-09-26,56
2009-09-27,58
2009-09-28,61
2009-09-29,63
2009-09-30,66
2009-10-01,71
2009-10-02,71
2009-10-03,77
2009-10-04,71
2009-10-05,68
2009-10-06,66
2009-10-07,63
2009-10-08,63
2009-10-09,58
2009-10-10,57
2009-10-11,60
2009-10-12,65
2009-10-13,70
2009-10-14,75
2009-10-15,82
2009-10-16,92
2009-10-17,94
2009-10-18,87
2009-10-19,85
2009-10-20,82
2009-10-21,80
2009-10-22,83
2009-10-23,75
2009-10-24,73
2009-10-25,71
2009-10-26,69
2009-10-27,71
2009-10-28,68
2009-10-29,65
2009-10-30,63
2009-10-31,63
2009-11-01,63
2009-11-02,65
2009-11-03,66
2009-11-04,70
2009-11-05,69
2009-11-06,75
2009-11-07,73
2009-11-08,74
2009-11-09,75
2009-11-10,77
2009-11-11,81
2009-11-12,81
2009-11-13,84
2009-11-14,85
2009-11-15,81
2009-11-16,79
2009-11-17,77
2009-11-18,77
2009-11-19,73
2009-11-20,71
2009-11-21,72
2009-11-22,67
2009-11-23,66
2009-11-24,65
2009-11-25,67
2009-11-26,67
2009-11-27,62
2009-11-28,61
2009-11-29,62
2009-11-30,64
2009-12-01,65
2009-12-02,67
2009-12-03,72
2009-12-04,70
2009-12-05,72
2009-12-06,72
2009-12-07,73
2009-12-08,74
2009-12-09,80
2009-12-10,77
2009-12-11,77
2009-12-12,84
2009-12-13,76
2009-12-14,74
2009-12-15,73
2009-12-16,71
2009-12-17,71
2009-12-18,70
2009-12-19,67
2009-12-20,64
2009-12-21,62
2009-12-22,60
2009-12-23,62
2009-12-24,58
2009-12-25,54
2009-12-26,52
2009-12-27,52
2009-12-28,52
2009-12-29,52
2009-12-30,52
2009-12-31,54
2010-01-01,54
2010-01-02,53
2010-01-03,56
2010-01-04,59
2010-01-05,65
2010-01-06,66
2010-01-07,69
2010-01-08,73
2010-01-09,76
2010-01-10,79
2010-01-11,82
2010-01-12,91
2010-01-13,89
2010-01-14,95
2010-01-15,96
2010-01-16,117
2010-01-17,97
2010-01-18,95
2010-01-19,93
2010-01-20,98
2010-01-21,89
2010-01-22,90
2010-01-23,87
2010-01-24,82
2010-01-25,80
2010-01-26,78
2010-01-27,87
2010-01-28,74
2010-01-29,72
2010-01-30,73
2010-01-31,76
2010-02-01,71
2010-02-02,82
2010-02-03,73
2010-02-04,74
2010-02-05,79
2010-02-06,76
2010-02-07,75
2010-02-08,74
2010-02-09,76
2010-02-10,78
2010-02-11,73
2010-02-12,73
2010-02-13,74
2010-02-14,71
2010-02-15,70
2010-02-16,69
2010-02-17,70
2010-02-18,69
2010-02-19,66
2010-02-20,67
2010-02-21,67
2010-02-22,70
2010-02-23,72
2010-02-24,75
2010-02-25,85
2010-02-26,80
2010-02-27,91
2010-02-28,84
2010-03-01,83
2010-03-02,83
2010-03-03,86
2010-03-04,83
2010-03-05,86
2010-03-06,92
2010-03-07,83
2010-03-08,84
2010-03-09,85
2010-03-10,87
2010-03-11,89
2010-03-12,87
2010-03-13,90
2010-03-14,88
2010-03-15,88
2010-03-16,88
2010-03-17,90
2010-03-18,88
