Date,Canaccord Genuity
2012-02-11,56
2012-02-12,54
2012-02-13,52
2012-02-14,51
2012-02-15,49
2012-02-16,48
2012-02-17,46
2012-02-18,45
2012-02-19,45
2012-02-20,46
2012-02-21,47
2012-02-22,47
2012-02-23,48
2012-02-24,49
2012-02-25,50
2012-02-26,51
2012-02-27,53
2012-02-28,55
2012-02-29,56
2012-03-01,58
2012-03-02,60
2012-03-03,61
2012-03-04,58
2012-03-05,55
2012-03-06,52
2012-03-07,49
2012-03-08,46
2012-03-09,43
2012-03-10,40
2012-03-11,41
2012-03-12,42
2012-03-13,43
2012-03-14,44
2012-03-15,45
2012-03-16,46
2012-03-17,48
2012-03-18,48
2012-03-19,48
2012-03-20,48
2012-03-21,49
2012-03-22,49
2012-03-23,49
2012-03-24,50
2012-03-25,52
2012-03-26,54
2012-03-27,57
2012-03-28,59
2012-03-29,61
2012-03-30,64
2012-03-31,66
2012-04-01,64
2012-04-02,62
2012-04-03,61
2012-04-04,59
2012-04-05,57
2012-04-06,55
2012-04-07,53
2012-04-08,51
2012-04-09,48
2012-04-10,45
2012-04-11,43
2012-04-12,40
2012-04-13,38
2012-04-14,36
2012-04-15,38
2012-04-16,40
2012-04-17,43
2012-04-18,45
2012-04-19,47
2012-04-20,50
2012-04-21,52
2012-04-22,50
2012-04-23,47
2012-04-24,45
2012-04-25,42
2012-04-26,40
2012-04-27,38
2012-04-28,36
2012-04-29,37
2012-05-06,48
2012-05-07,47
2012-05-08,46
2012-05-09,45
2012-05-10,44
2012-05-11,43
2012-05-12,43
2012-05-13,43
2012-05-14,43
2012-05-15,44
2012-05-16,44
2012-05-17,45
2012-05-18,45
2012-05-19,46
2012-05-20,45
2012-05-21,44
2012-05-22,43
2012-05-23,42
2012-05-24,41
2012-05-25,40
2012-05-26,40
2012-05-27,42
2012-05-28,45
2012-05-29,47
2012-05-30,50
2012-05-31,53
2012-06-01,55
2012-06-02,58
2012-06-03,54
2012-06-04,50
2012-06-05,46
2012-06-06,42
2012-06-07,38
2012-06-08,34
2012-06-09,31
2012-06-10,32
2012-06-11,33
2012-06-12,35
2012-06-13,36
2012-06-14,38
2012-06-15,39
2012-06-16,41
2012-06-17,41
2012-06-18,41
2012-06-19,41
2012-06-20,41
2012-06-21,41
2012-06-22,41
2012-06-23,41
2012-06-24,40
2012-06-25,39
2012-06-26,38
2012-06-27,37
2012-06-28,36
2012-06-29,35
2012-06-30,34
2012-07-01,35
2012-07-02,36
2012-07-03,37
2012-07-04,38
2012-07-05,39
2012-07-06,40
2012-07-07,41
2012-07-08,42
2012-07-09,43
2012-07-10,44
2012-07-11,45
2012-07-12,46
2012-07-13,48
2012-07-14,49
2012-07-15,48
2012-07-16,47
2012-07-17,46
2012-07-18,45
2012-07-19,44
2012-07-20,43
2012-07-21,42
2012-07-22,42
2012-07-23,43
2012-07-24,43
2012-07-25,44
2012-07-26,44
2012-07-27,44
2012-07-28,45
2012-07-29,42
2012-08-05,26
2012-08-06,27
2012-08-07,28
2012-08-08,29
2012-08-09,30
2012-08-10,31
2012-08-11,32
2012-08-12,33
2012-08-13,34
2012-08-14,36
2012-08-15,37
2012-08-16,38
2012-08-17,39
2012-08-18,41
2012-08-19,41
2012-08-20,41
2012-08-21,40
2012-08-22,40
2012-08-23,40
2012-08-24,40
2012-08-25,40
2012-08-26,38
2012-08-27,36
2012-08-28,34
2012-08-29,33
2012-08-30,31
2012-08-31,29
2012-09-01,28
2012-09-02,29
2012-09-03,30
2012-09-04,31
2012-09-05,32
2012-09-06,33
2012-09-07,34
2012-09-08,36
2012-09-09,37
2012-09-10,39
2012-09-11,41
2012-09-12,42
2012-09-13,44
2012-09-14,46
2012-09-15,48
2012-09-16,48
2012-09-17,48
2012-09-18,49
2012-09-19,49
2012-09-20,50
2012-09-21,50
2012-09-22,51
2012-09-23,58
2012-09-24,65
2012-09-25,72
2012-09-26,79
2012-09-27,87
2012-09-28,94
2012-09-29,101
2012-09-30,95
2012-10-01,88
2012-10-02,83
2012-10-03,77
2012-10-04,72
2012-10-05,66
2012-10-06,61
2012-10-07,61
2012-10-08,61
2012-10-09,62
2012-10-10,62
2012-10-11,62
2012-10-12,63
2012-10-13,63
2012-10-14,61
2012-10-15,58
2012-10-16,56
2012-10-17,54
2012-10-18,51
2012-10-19,49
2012-10-20,47
2012-10-21,45
2012-10-22,43
2012-10-23,41
2012-10-24,40
2012-10-25,38
2012-10-26,36
2012-10-27,35
2012-10-28,36
2012-11-04,45
2012-11-05,45
2012-11-06,44
2012-11-07,44
2012-11-08,43
2012-11-09,43
2012-11-10,43
2012-11-11,41
2012-11-12,40
2012-11-13,39
2012-11-14,38
2012-11-15,37
2012-11-16,36
2012-11-17,35
2012-11-18,35
2012-11-19,36
2012-11-20,36
2012-11-21,37
2012-11-22,37
2012-11-23,38
2012-11-24,39
2012-11-25,38
2012-11-26,38
2012-11-27,37
2012-11-28,36
2012-11-29,36
2012-11-30,35
2012-12-01,35
2012-12-02,35
2012-12-03,35
2012-12-04,35
2012-12-05,36
2012-12-06,36
2012-12-07,36
2012-12-08,37
2012-12-09,38
2012-12-10,40
2012-12-11,41
2012-12-12,43
2012-12-13,44
2012-12-14,46
2012-12-15,47
2012-12-16,45
2012-12-17,42
2012-12-18,40
2012-12-19,38
2012-12-20,35
2012-12-21,33
2012-12-22,31
2012-12-23,29
2012-12-24,27
2012-12-25,25
2012-12-26,24
2012-12-27,22
2012-12-28,20
2012-12-29,19
2012-12-30,20
2012-12-31,22
2013-01-01,24
2013-01-02,25
2013-01-03,27
2013-01-04,29
2013-01-05,31
2013-01-06,32
2013-01-07,34
2013-01-08,36
2013-01-09,38
2013-01-10,40
2013-01-11,42
2013-01-12,44
2013-01-13,45
2013-01-14,46
2013-01-15,48
2013-01-16,49
2013-01-17,50
2013-01-18,52
2013-01-19,53
2013-01-20,51
2013-01-21,49
2013-01-22,47
2013-01-23,45
2013-01-24,43
2013-01-25,41
2013-01-26,39
2013-01-27,39
2013-02-03,38
2013-02-04,38
2013-02-05,38
2013-02-06,38
2013-02-07,38
2013-02-08,38
2013-02-09,38
2013-02-10,37
2013-02-11,37
2013-02-12,36
2013-02-13,36
2013-02-14,35
2013-02-15,35
2013-02-16,35
2013-02-17,35
2013-02-18,35
2013-02-19,35
2013-02-20,36
2013-02-21,36
2013-02-22,36
2013-02-23,37
2013-02-24,38
2013-02-25,40
2013-02-26,41
2013-02-27,42
2013-02-28,44
2013-03-01,45
2013-03-02,47
2013-03-03,46
2013-03-04,45
2013-03-05,44
2013-03-06,43
2013-03-07,42
2013-03-08,42
2013-03-09,41
2013-03-10,39
2013-03-11,37
2013-03-12,35
2013-03-13,33
2013-03-14,31
2013-03-15,29
2013-03-16,27
2013-03-17,25
2013-03-18,23
2013-03-19,21
2013-03-20,20
2013-03-21,18
2013-03-22,16
2013-03-23,15
2013-03-24,17
2013-03-25,20
2013-03-26,22
2013-03-27,25
2013-03-28,27
2013-03-29,30
2013-03-30,33
2013-03-31,32
2013-05-05,39
2013-05-06,38
2013-05-07,37
2013-05-08,36
2013-05-09,35
2013-05-10,34
2013-05-11,34
2013-05-12,34
2013-05-13,35
2013-05-14,36
2013-05-15,36
2013-05-16,37
2013-05-17,37
2013-05-18,38
2013-05-19,37
2013-05-20,36
2013-05-21,35
2013-05-22,34
2013-05-23,33
2013-05-24,32
2013-05-25,31
2013-05-26,30
2013-05-27,30
2013-05-28,30
2013-05-29,30
2013-05-30,30
2013-05-31,30
2013-06-01,30
2013-06-02,31
2013-06-03,32
2013-06-04,33
2013-06-05,34
2013-06-06,35
2013-06-07,36
2013-06-08,37
2013-06-09,35
2013-06-10,33
2013-06-11,31
2013-06-12,29
2013-06-13,27
2013-06-14,25
2013-06-15,23
2013-06-16,24
2013-06-17,25
2013-06-18,26
2013-06-19,27
2013-06-20,28
2013-06-21,29
2013-06-22,30
2013-06-23,29
2013-06-24,28
2013-06-25,28
2013-06-26,27
2013-06-27,27
2013-06-28,26
2013-06-29,26
2013-06-30,26
2013-07-01,26
2013-07-02,26
2013-07-03,26
2013-07-04,26
2013-07-05,26
2013-07-06,26
2013-07-07,27
2013-07-08,29
2013-07-09,31
2013-07-10,32
2013-07-11,34
2013-07-12,36
2013-07-13,38
2013-07-14,38
2013-07-15,38
2013-07-16,38
2013-07-17,38
2013-07-18,38
2013-07-19,38
2013-07-20,39
2013-07-21,38
2013-07-22,38
2013-07-23,38
2013-07-24,38
2013-07-25,38
2013-07-26,37
2013-07-27,37
2013-07-28,35
2013-08-04,27
2013-08-05,30
2013-08-06,33
2013-08-07,36
2013-08-08,39
2013-08-09,42
2013-08-10,45
2013-08-11,45
2013-08-12,45
2013-08-13,44
2013-08-14,44
2013-08-15,44
2013-08-16,44
2013-08-17,44
2013-08-18,42
2013-08-19,40
2013-08-20,39
2013-08-21,37
2013-08-22,36
2013-08-23,34
2013-08-24,33
2013-08-25,32
2013-08-26,31
2013-08-27,30
2013-08-28,29
2013-08-29,28
2013-08-30,27
2013-08-31,26
2013-09-01,26
2013-09-02,27
2013-09-03,28
2013-09-04,28
2013-09-05,29
2013-09-06,30
2013-09-07,31
2013-09-08,32
2013-09-09,34
2013-09-10,36
2013-09-11,38
2013-09-12,39
2013-09-13,41
2013-09-14,43
2013-09-15,42
2013-09-16,41
2013-09-17,40
2013-09-18,39
2013-09-19,38
2013-09-20,37
2013-09-21,36
2013-09-22,35
2013-09-23,34
2013-09-24,33
2013-09-25,32
2013-09-26,31
2013-09-27,31
2013-09-28,30
2013-09-29,30
2013-09-30,31
2013-10-01,31
2013-10-02,32
2013-10-03,32
2013-10-04,33
2013-10-05,34
2013-10-06,32
2013-10-07,30
2013-10-08,28
2013-10-09,26
2013-10-10,24
2013-10-11,22
2013-10-12,20
2013-10-13,21
2013-10-14,23
2013-10-15,25
2013-10-16,26
2013-10-17,28
