Date,Credit Suisse
2012-12-01,79
2012-12-02,79
2012-12-03,77
2012-12-04,76
2012-12-05,75
2012-12-06,74
2012-12-07,78
2012-12-08,73
2012-12-09,74
2012-12-10,75
2012-12-11,76
2012-12-12,77
2012-12-13,84
2012-12-14,79
2012-12-15,81
2012-12-16,79
2012-12-17,77
2012-12-18,75
2012-12-19,74
2012-12-20,72
2012-12-21,70
2012-12-22,69
2012-12-23,65
2012-12-24,62
2012-12-25,58
2012-12-26,55
2012-12-27,51
2012-12-28,48
2012-12-29,45
2012-12-30,46
2012-12-31,47
2013-01-01,48
2013-01-02,50
2013-01-03,51
2013-01-04,52
2013-01-05,54
2013-01-06,58
2013-01-07,63
2013-01-08,68
2013-01-09,72
2013-01-10,77
2013-01-11,93
2013-01-12,87
2013-01-13,84
2013-01-14,82
2013-01-15,83
2013-01-16,77
2013-01-17,77
2013-01-18,73
2013-01-19,72
2013-01-20,71
2013-01-21,72
2013-01-22,72
2013-01-23,73
2013-01-24,73
2013-01-25,74
2013-01-26,77
2013-01-27,76
2013-01-28,79
2013-01-29,79
2013-01-30,85
2013-01-31,83
2013-02-01,85
2013-02-02,86
2013-02-03,85
2013-02-04,84
2013-02-05,85
2013-02-06,82
2013-02-07,81
2013-02-08,89
2013-02-09,80
2013-02-10,78
2013-02-11,76
2013-02-12,74
2013-02-13,72
2013-02-14,73
2013-02-15,68
2013-02-16,70
2013-02-17,66
2013-02-18,67
2013-02-19,68
2013-02-20,69
2013-02-21,70
2013-02-22,75
2013-02-23,72
2013-02-24,73
2013-02-25,75
2013-02-26,78
2013-02-27,78
2013-02-28,79
2013-03-01,81
2013-03-02,88
2013-03-03,81
2013-03-04,79
2013-03-05,78
2013-03-06,81
2013-03-07,78
2013-03-08,73
2013-03-09,72
2013-03-10,71
2013-03-11,70
2013-03-12,78
2013-03-13,69
2013-03-14,69
2013-03-15,67
2013-03-16,67
2013-03-17,65
2013-03-18,64
2013-03-19,63
2013-03-20,61
2013-03-21,65
2013-03-22,59
2013-03-23,60
2013-03-24,58
2013-03-25,58
2013-03-26,58
2013-03-27,58
2013-03-28,58
2013-03-29,58
2013-03-30,59
2013-03-31,59
2013-04-01,59
2013-04-02,60
2013-04-03,61
2013-04-04,61
2013-04-05,61
2013-04-06,62
2013-04-07,65
2013-04-08,71
2013-04-09,71
2013-04-10,74
2013-04-11,79
2013-04-12,80
2013-04-13,84
2013-04-14,86
2013-04-15,88
2013-04-16,90
2013-04-17,102
2013-04-18,95
2013-04-19,106
2013-04-20,100
2013-04-21,99
2013-04-22,100
2013-04-23,99
2013-04-24,96
2013-04-25,97
2013-04-26,94
2013-04-27,94
2013-04-28,89
2013-04-29,84
2013-04-30,82
2013-05-01,80
2013-05-02,71
2013-05-03,66
2013-05-04,62
2013-05-05,64
2013-05-06,66
2013-05-07,69
2013-05-08,71
2013-05-09,74
2013-05-10,81
2013-05-11,79
2013-05-12,79
2013-05-13,80
2013-05-14,81
2013-05-15,88
2013-05-16,82
2013-05-17,83
2013-05-18,86
2013-05-19,83
2013-05-20,82
2013-05-21,82
2013-05-22,81
2013-05-23,89
2013-05-24,80
2013-05-25,82
2013-05-26,77
2013-05-27,74
2013-05-28,71
2013-05-29,68
2013-05-30,65
2013-05-31,62
2013-06-01,59
2013-06-02,59
2013-06-03,60
2013-06-04,60
2013-06-05,61
2013-06-06,61
2013-06-07,62
2013-06-08,64
2013-06-09,63
2013-06-10,64
2013-06-11,65
2013-06-12,65
2013-06-13,66
2013-06-14,70
2013-06-15,68
2013-06-16,66
2013-06-17,64
2013-06-18,63
2013-06-19,64
2013-06-20,60
2013-06-21,58
2013-06-22,57
2013-06-23,58
2013-06-24,60
2013-06-25,63
2013-06-26,63
2013-06-27,65
2013-06-28,70
2013-06-29,69
2013-06-30,67
2013-07-01,66
2013-07-02,63
2013-07-03,61
2013-07-04,59
2013-07-05,57
2013-07-06,56
2013-07-07,56
2013-07-08,57
2013-07-09,57
2013-07-10,60
2013-07-11,58
2013-07-12,60
2013-07-13,60
2013-07-14,60
2013-07-15,60
2013-07-16,60
2013-07-17,63
2013-07-18,60
2013-07-19,60
2013-07-20,61
2013-07-21,62
2013-07-22,64
2013-07-23,65
2013-07-24,67
2013-07-25,68
2013-07-26,74
