Date,Barclays Capital
2013-04-01,44
2013-04-02,43
2013-04-03,43
2013-04-04,42
2013-04-05,43
2013-04-06,45
2013-04-07,42
2013-04-08,41
2013-04-09,42
2013-04-10,42
2013-04-11,43
2013-04-12,43
2013-04-13,49
2013-04-14,48
2013-04-15,43
2013-04-16,43
2013-04-17,44
2013-04-18,41
2013-04-19,41
2013-04-20,47
2013-04-21,41
2013-04-22,42
2013-04-23,42
2013-04-24,43
2013-04-25,44
2013-04-26,45
2013-04-27,51
2013-04-28,44
2013-04-29,44
2013-04-30,43
2013-05-01,43
2013-05-02,44
2013-05-03,42
2013-05-04,49
2013-05-05,45
2013-05-06,42
2013-05-07,42
2013-05-08,42
2013-05-09,42
2013-05-10,42
2013-05-11,50
2013-05-12,45
2013-05-13,44
2013-05-14,45
2013-05-15,45
2013-05-16,47
2013-05-17,47
2013-05-18,56
2013-05-19,49
2013-05-20,50
2013-05-21,51
2013-05-22,52
2013-05-23,55
2013-05-24,55
2013-05-25,66
2013-05-26,57
2013-05-27,52
2013-05-28,50
2013-05-29,51
2013-05-30,47
2013-05-31,46
2013-06-01,49
2013-06-02,45
2013-06-03,43
2013-06-04,43
2013-06-05,43
2013-06-06,43
2013-06-07,43
2013-06-08,51
2013-06-09,42
2013-06-10,42
2013-06-11,44
2013-06-12,41
2013-06-13,42
2013-06-14,40
2013-06-15,46
2013-06-16,40
2013-06-17,40
2013-06-18,40
2013-06-19,40
2013-06-20,40
2013-06-21,42
2013-06-22,46
2013-06-23,41
2013-06-24,41
2013-06-25,42
2013-06-26,42
2013-06-27,42
2013-06-28,44
2013-06-29,46
2013-06-30,45
2013-07-01,42
2013-07-02,43
2013-07-03,42
2013-07-04,41
2013-07-05,41
2013-07-06,46
2013-07-07,41
2013-07-08,40
2013-07-09,40
2013-07-10,42
2013-07-11,40
2013-07-12,42
2013-07-13,46
2013-07-14,40
2013-07-15,41
2013-07-16,43
2013-07-17,43
2013-07-18,44
2013-07-19,45
2013-07-20,53
2013-07-21,48
2013-07-22,46
2013-07-23,47
2013-07-24,48
2013-07-25,48
2013-07-26,49
2013-07-27,56
2013-07-28,54
2013-07-29,60
2013-07-30,66
2013-07-31,78
2013-08-01,80
2013-08-02,83
2013-08-03,103
2013-08-04,85
2013-08-05,78
2013-08-06,73
2013-08-07,70
2013-08-08,66
2013-08-09,58
2013-08-10,60
2013-08-11,53
2013-08-12,51
2013-08-13,51
2013-08-14,50
2013-08-15,50
2013-08-16,49
2013-08-17,55
2013-08-18,47
2013-08-19,46
2013-08-20,47
2013-08-21,46
2013-08-22,45
2013-08-23,44
2013-08-24,50
2013-08-25,46
2013-08-26,43
2013-08-27,43
2013-08-28,44
2013-08-29,42
2013-08-30,42
2013-08-31,48
2013-09-01,45
2013-09-02,44
2013-09-03,45
2013-09-04,46
2013-09-05,47
2013-09-06,48
2013-09-07,58
2013-09-08,51
2013-09-09,53
2013-09-10,55
2013-09-11,57
2013-09-12,61
2013-09-13,60
2013-09-14,72
2013-09-15,67
2013-09-16,72
2013-09-17,78
2013-09-18,83
2013-09-19,89
2013-09-20,98
2013-09-21,109
2013-09-22,104
2013-09-23,94
2013-09-24,92
2013-09-25,92
2013-09-26,88
2013-09-27,86
2013-09-28,90
2013-09-29,81
2013-09-30,78
2013-10-01,76
2013-10-02,78
2013-10-03,73
2013-10-04,72
2013-10-05,78
2013-10-06,72
2013-10-07,68
2013-10-08,67
2013-10-09,72
2013-10-10,65
2013-10-11,64
2013-10-12,73
2013-10-13,63
2013-10-14,64
2013-10-15,65
2013-10-16,65
2013-10-17,68
2013-10-18,67
2013-10-19,79
2013-10-20,68
2013-10-21,63
2013-10-22,65
2013-10-23,58
2013-10-24,57
2013-10-25,55
2013-10-26,57
2013-10-27,56
2013-10-28,54
2013-10-29,55
2013-10-30,57
2013-10-31,62
2013-11-01,59
2013-11-02,68
2013-11-03,65
2013-11-04,62
2013-11-05,62
2013-11-06,64
2013-11-07,63
2013-11-08,65
2013-11-09,75
2013-11-10,62
2013-11-11,60
2013-11-12,59
2013-11-13,56
2013-11-14,54
2013-11-15,52
2013-11-16,58
2013-11-17,50
2013-11-18,49
2013-11-19,49
2013-11-20,49
2013-11-21,48
2013-11-22,48
2013-11-23,55
2013-11-24,50
2013-11-25,48
2013-11-26,48
2013-11-27,48
2013-11-28,48
2013-11-29,48
2013-11-30,54
2013-12-01,50
2013-12-02,46
2013-12-03,45
2013-12-04,45
2013-12-05,43
2013-12-06,42
2013-12-07,44
2013-12-08,44
2013-12-09,40
2013-12-10,40
2013-12-11,42
2013-12-12,40
2013-12-13,40
2013-12-14,45
2013-12-15,42
2013-12-16,39
2013-12-17,39
2013-12-18,39
2013-12-19,39
2013-12-20,40
2013-12-21,43
2013-12-22,39
2013-12-23,36
2013-12-24,35
2013-12-25,38
2013-12-26,31
2013-12-27,30
2013-12-28,30
2013-12-29,32
2013-12-30,33
2013-12-31,35
2014-01-01,37
2014-01-02,39
2014-01-03,42
2014-01-04,47
2014-01-05,47
2014-01-06,45
2014-01-07,47
2014-01-08,48
2014-01-09,50
2014-01-10,53
2014-01-11,59
2014-01-12,54
2014-01-13,54
2014-01-14,54
2014-01-15,55
2014-01-16,55
2014-01-17,57
2014-01-18,63
2014-01-19,59
2014-01-20,54
2014-01-21,53
2014-01-22,51
2014-01-23,50
2014-01-24,49
2014-01-25,54
2014-01-26,49
2014-01-27,48
2014-01-28,48
2014-01-29,49
2014-01-30,49
2014-01-31,52
2014-02-01,57
