Date,Morgan Stanley
2006-09-03,46
2006-09-04,45
2006-09-05,44
2006-09-06,43
2006-09-07,42
2006-09-08,41
2006-09-09,40
2006-09-10,39
2006-09-11,39
2006-09-12,39
2006-09-13,39
2006-09-14,39
2006-09-15,39
2006-09-16,39
2006-09-17,43
2006-09-18,47
2006-09-19,52
2006-09-20,56
2006-09-21,60
2006-09-22,65
2006-09-23,69
2006-09-24,68
2006-09-25,67
2006-09-26,66
2006-09-27,66
2006-09-28,65
2006-09-29,64
2006-09-30,64
2006-10-01,63
2006-10-02,62
2006-10-03,61
2006-10-04,60
2006-10-05,59
2006-10-06,58
2006-10-07,57
2006-10-08,62
2006-10-09,68
2006-10-10,73
2006-10-11,79
2006-10-12,84
2006-10-13,90
2006-10-14,96
2006-10-15,95
2006-10-16,95
2006-10-17,94
2006-10-18,93
2006-10-19,93
2006-10-20,92
2006-10-21,91
2006-10-22,90
2006-10-23,89
2006-10-24,88
2006-10-25,86
2006-10-26,85
2006-10-27,84
2006-10-28,83
2006-10-29,76
2006-10-30,68
2006-10-31,62
2006-11-01,55
2006-11-02,49
2006-11-03,42
2006-11-04,36
2006-11-05,41
2006-11-06,46
2006-11-07,52
2006-11-08,57
2006-11-09,63
2006-11-10,68
2006-11-11,74
2006-11-12,73
2006-11-13,72
2006-11-14,71
2006-11-15,70
2006-11-16,69
2006-11-17,68
2006-11-18,67
2006-11-19,67
2006-11-20,67
2006-11-21,67
2006-11-22,67
2006-11-23,67
2006-11-24,67
2006-11-25,68
2006-11-26,67
2006-12-03,65
2006-12-04,65
2006-12-05,66
2006-12-06,66
2006-12-07,67
2006-12-08,67
2006-12-09,68
2006-12-10,69
2006-12-11,70
2006-12-12,71
2006-12-13,72
2006-12-14,73
2006-12-15,74
2006-12-16,75
2006-12-17,76
2006-12-18,79
2006-12-19,80
2006-12-20,82
2006-12-21,84
2006-12-22,86
2006-12-23,88
2006-12-24,83
2006-12-25,77
2006-12-26,73
2006-12-27,68
2006-12-28,64
2006-12-29,59
2006-12-30,55
2006-12-31,61
2007-01-01,67
2007-01-02,73
2007-01-03,79
2007-01-04,85
2007-01-05,91
2007-01-06,97
2007-01-07,96
2007-01-08,96
2007-01-09,95
2007-01-10,95
2007-01-11,95
2007-01-12,94
2007-01-13,94
2007-01-14,94
2007-01-15,94
2007-01-16,94
2007-01-17,94
2007-01-18,94
2007-01-19,94
2007-01-20,94
2007-01-21,91
2007-01-22,87
2007-01-23,84
2007-01-24,80
2007-01-25,77
2007-01-26,74
2007-01-27,71
2007-01-28,72
2007-01-29,74
2007-01-30,76
2007-01-31,77
2007-02-01,79
2007-02-02,81
2007-02-03,83
2007-02-04,83
2007-02-05,83
2007-02-06,84
2007-02-07,84
2007-02-08,84
2007-02-09,84
2007-02-10,85
2007-02-11,84
2007-02-12,85
2007-02-13,85
2007-02-14,84
2007-02-15,84
2007-02-16,84
2007-02-17,84
2007-02-18,81
2007-02-19,76
2007-02-20,73
2007-02-21,70
2007-02-22,67
2007-02-23,64
2007-02-24,61
2007-02-25,65
2007-03-04,89
2007-03-05,88
2007-03-06,86
2007-03-07,85
2007-03-08,83
2007-03-09,82
2007-03-10,81
2007-03-11,78
2007-03-12,76
2007-03-13,74
2007-03-14,72
2007-03-15,70
2007-03-16,68
2007-03-17,66
2007-03-18,66
2007-03-19,67
2007-03-20,67
2007-03-21,68
2007-03-22,69
2007-03-23,69
2007-03-24,70
2007-03-25,68
2007-03-26,66
2007-03-27,65
2007-03-28,63
2007-03-29,62
2007-03-30,60
2007-03-31,59
2007-04-01,59
2007-04-02,60
2007-04-03,61
2007-04-04,62
2007-04-05,63
2007-04-06,64
2007-04-07,65
2007-04-08,66
2007-04-09,67
2007-04-10,68
2007-04-11,70
2007-04-12,71
2007-04-13,72
2007-04-14,74
2007-04-15,77
2007-04-16,82
2007-04-17,85
2007-04-18,89
2007-04-19,93
2007-04-20,97
2007-04-21,101
2007-04-22,96
2007-04-23,91
2007-04-24,87
2007-04-25,82
2007-04-26,78
2007-04-27,74
2007-04-28,70
2007-04-29,70
2007-04-30,70
2007-05-01,71
2007-05-02,71
2007-05-03,72
2007-05-04,72
2007-05-05,73
2007-05-06,74
2007-05-07,76
2007-05-08,77
2007-05-09,78
2007-05-10,80
2007-05-11,81
2007-05-12,82
2007-05-13,79
2007-05-14,74
2007-05-15,71
2007-05-16,67
2007-05-17,64
2007-05-18,60
2007-05-19,57
2007-05-20,58
2007-05-21,59
2007-05-22,60
2007-05-23,61
2007-05-24,62
2007-05-25,63
2007-05-26,65
2007-05-27,67
2007-06-03,83
2007-06-04,82
2007-06-05,81
2007-06-06,80
2007-06-07,78
2007-06-08,77
2007-06-09,76
2007-06-10,75
2007-06-11,75
2007-06-12,75
2007-06-13,74
2007-06-14,74
2007-06-15,74
2007-06-16,74
2007-06-17,73
2007-06-18,72
2007-06-19,71
2007-06-20,70
2007-06-21,69
2007-06-22,68
2007-06-23,68
2007-06-24,68
2007-06-25,68
2007-06-26,68
2007-06-27,69
2007-06-28,69
2007-06-29,69
2007-06-30,70
2007-07-01,71
2007-07-02,72
2007-07-03,73
2007-07-04,74
2007-07-05,75
2007-07-06,76
2007-07-07,77
2007-07-08,77
2007-07-09,77
2007-07-10,77
2007-07-11,77
2007-07-12,77
2007-07-13,77
2007-07-14,77
2007-07-15,78
2007-07-16,79
2007-07-17,80
2007-07-18,81
2007-07-19,82
2007-07-20,83
2007-07-21,84
2007-07-22,81
2007-07-23,79
2007-07-24,76
2007-07-25,74
2007-07-26,71
2007-07-27,69
2007-07-28,67
2007-07-29,69
2007-07-30,71
2007-07-31,73
2007-08-01,75
2007-08-02,77
2007-08-03,79
2007-08-04,82
2007-08-05,82
2007-08-06,83
2007-08-07,83
2007-08-08,84
2007-08-09,85
2007-08-10,85
2007-08-11,86
2007-08-12,84
2007-08-13,83
2007-08-14,82
2007-08-15,81
2007-08-16,79
2007-08-17,78
2007-08-18,77
2007-08-19,75
2007-08-20,73
2007-08-21,71
2007-08-22,69
2007-08-23,67
2007-08-24,65
2007-08-25,64
2007-08-26,65
2007-09-01,71
2007-09-02,67
2007-09-03,63
2007-09-04,59
2007-09-05,56
2007-09-06,52
2007-09-07,48
2007-09-08,45
2007-09-09,49
2007-09-10,54
2007-09-11,59
2007-09-12,63
2007-09-13,67
2007-09-14,74
2007-09-15,77
2007-09-16,78
2007-09-17,79
2007-09-18,80
2007-09-19,81
2007-09-20,82
2007-09-21,83
2007-09-22,90
2007-09-23,83
2007-09-24,82
2007-09-25,80
2007-09-26,79
2007-09-27,77
