18169|Goldman Sachs|2009-08
1130258|Goldman Sachs|2006-06
1264587|Aegis Capital|2012-04
1314592|BofA Merrill Lynch|2011-04
1336920|Morgan Stanley|2005-09
1389002|Goldman Sachs|2013-02
1418862|Credit Suisse|2011-04
1533924|Goldman Sachs|2011-11
29534|Citibank|2009-08
1130591|Morgan Stanley|2005-01
1265572|Oppenheimer Holdings|2005-06
1314655|JPMorgan Chase|2006-02
1336983|UBS Securities|2005-09
1364099|Credit Suisse|2006-07
1419178|Goldman Sachs|2008-02
1486159|Morgan Stanley|2010-03
1540400|BofA Merrill Lynch|2012-02
860730|BofA Merrill Lynch|2010-12
1138400|Deutsche Bank|2006-02
1274563|UBS Securities|2007-02
1317630|Lehman Brothers|2005-03
1339048|Bank of America|2005-09
1366246|Goldman Sachs|2006-12
1392522|Citibank|2011-02
1421526|Roth Capital Partners|2009-10
1489096|Barclays Capital|2011-02
867773|Credit Suisse First Boston|2005-08
1138412|Lehman Brothers|2007-07
1274644|Citibank|2010-11
1317872|Merrill Lynch|2007-02
1392972|JPMorgan Chase|2007-04
1422105|BofA Merrill Lynch|2008-05
1489137|Morgan Stanley|2010-04
1544116|BofA Merrill Lynch|2012-03
868857|Morgan Stanley|2007-03
1138639|Goldman Sachs|2007-02
1274792|JPMorgan Chase|2011-07
1318008|Wachovia Securities|2005-02
1339553|Goldman Sachs|2005-10
1366649|Credit Suisse|2006-10
1393052|Morgan Stanley|2013-09
1423242|WestPark Capital|2010-05
1490165|Stifel|2010-05
1546296|Aegis Capital|2012-05
880059|Goldman Sachs|2007-12
1138723|JPMorgan Chase|2006-11
1275158|Morgan Stanley|2013-05
1318310|Piper Jaffray|2005-04
1339605|Credit Suisse|2005-10
1366684|Morgan Stanley|2011-03
1393744|Credit Suisse|2007-03
1423542|BofA Merrill Lynch|2011-01
1490281|Morgan Stanley|2011-06
1546417|BofA Merrill Lynch|2012-04
880177|Deutsche Bank|2010-11
1138804|Deutsche Bank|2004-11
1275712|Oppenheimer Holdings|2011-07
1318484|CIBC World Markets|2005-02
1339729|I-Bankers Securities|2005-09
1393883|Credit Suisse|2007-04
1547063|Citigroup|2012-12
883981|Wachovia|2005-12
1138817|Keefe Bruyette & Woods|2005-06
1318568|Goldman Sachs|2005-03
1340041|Credit Suisse|2005-09
1424929|Robert W Baird|2013-07
1490636|Piper Jaffray|2010-04
1547459|SunTrust Robinson Humphrey|2012-06
1009667|FBR Capital Markets|2005-09
1158114|Raymond James|2013-08
1285043|Bank of America|2006-03
1321646|Credit Suisse|2009-10
1343202|Morgan Stanley|2006-03
1369568|First Albany|2006-07
1397516|KeyBanc Capital Markets|2007-04
1434316|Cohen & Company|2013-08
1494448|FBR Capital Markets|2010-08
1070081|JPMorgan Chase|2013-05
1292556|JPMorgan Chase|2007-03
1323854|Goldman Sachs|2006-06
1372375|Morgan Stanley|2012-01
1400400|Morgan Stanley|2007-05
1439222|JPMorgan Chase|2013-06
858339|Credit Suisse|2011-11
1133260|JPMorgan Chase|2005-08
1272830|Citigroup|2006-02
