Date,IPO market
2004-01-01,0
2004-04-01,0
2004-07-01,0
2004-10-01,0
2005-01-01,0
2005-04-01,0
2005-07-01,0
2005-10-01,0
2006-01-01,0
2006-04-01,0
2006-07-01,0
2006-10-01,0
2007-01-01,0
2007-04-01,0
2007-07-01,52
2007-07-08,65
2007-07-15,56
2007-07-22,100
2007-07-29,72
2007-08-05,48
2007-08-12,51
2007-08-19,54
2007-08-26,58
2007-09-02,61
2007-09-09,64
2007-09-16,60
2007-09-23,70
2007-09-30,42
2007-10-07,21
2007-10-14,26
2007-10-21,48
2007-10-28,50
2007-11-04,45
2007-11-11,60
2007-11-18,80
2007-11-25,77
2007-12-02,100
2007-12-09,82
2007-12-16,38
2007-12-23,56
2007-12-30,42
2008-01-06,53
2008-01-13,100
2008-01-20,43
2008-01-27,72
2008-02-03,47
2008-02-10,16
2008-02-17,22
2008-02-24,19
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-01,0
2008-07-01,0
2008-10-01,0
2009-01-01,0
2009-04-01,0
2009-07-05,0
2009-07-12,32
2009-07-19,30
2009-07-26,89
2009-08-02,93
2009-08-09,100
2009-08-16,75
2009-08-23,75
2009-08-30,43
2009-09-06,25
2009-09-13,21
2009-09-20,23
2009-09-27,30
2009-10-04,0
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,77
2009-11-22,67
2009-11-29,99
2009-12-06,100
2009-12-13,69
2009-12-20,69
2009-12-27,0
2010-01-03,0
2010-01-10,34
2010-01-17,29
2010-01-24,48
2010-01-31,45
2010-02-07,48
2010-02-14,35
2010-02-21,42
2010-02-28,34
2010-03-07,64
2010-03-14,78
2010-03-21,100
2010-03-28,47
2010-04-04,0
2010-04-11,0
2010-04-18,54
2010-04-25,100
2010-05-02,40
2010-05-09,46
2010-05-16,52
2010-05-23,41
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,23
2010-07-18,24
2010-07-25,36
2010-08-01,46
2010-08-08,27
2010-08-15,24
2010-08-22,31
2010-08-29,32
2010-09-05,27
2010-09-12,45
2010-09-19,100
2010-09-26,77
2010-10-01,31
2010-10-02,28
2010-10-03,28
2010-10-04,28
2010-10-05,32
2010-10-06,29
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,33
2010-10-13,49
2010-10-14,34
2010-10-15,34
2010-10-16,34
2010-10-17,34
2010-10-18,34
2010-10-19,52
2010-10-20,46
2010-10-21,100
2010-10-22,48
2010-10-23,34
2010-10-24,34
2010-10-25,34
2010-10-26,34
2010-10-27,37
2010-10-28,41
2010-10-29,45
2010-10-30,58
2010-10-31,41
2010-11-01,41
2010-11-02,33
2010-11-03,35
2010-11-04,30
2010-11-05,30
2010-11-06,30
2010-11-07,30
2010-11-08,30
2010-11-09,49
2010-11-10,28
2010-11-11,37
2010-11-12,42
2010-11-13,31
2010-11-14,31
2010-11-15,31
2010-11-16,39
2010-11-17,28
2010-11-18,39
2010-11-19,42
2010-11-20,46
2010-11-21,50
2010-11-22,53
2010-11-23,52
2010-11-24,58
2010-11-25,71
2010-11-26,54
2010-11-27,48
2010-11-28,47
2010-11-29,67
2010-11-30,80
2010-12-01,74
2010-12-02,55
2010-12-03,40
2010-12-04,34
2010-12-05,47
2010-12-06,60
2010-12-07,63
2010-12-08,34
2010-12-09,36
2010-12-10,58
2010-12-11,67
2010-12-12,44
2010-12-13,65
2010-12-14,83
2010-12-15,59
2010-12-16,53
2010-12-17,43
2010-12-18,43
2010-12-19,43
2010-12-20,43
2010-12-21,43
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,34
2010-12-28,33
2010-12-29,30
2010-12-30,0
2010-12-31,0
2011-01-02,84
2011-01-09,61
2011-01-16,100
2011-01-23,78
2011-01-30,47
2011-02-06,48
2011-02-13,52
2011-02-20,57
2011-02-27,61
2011-03-06,65
2011-03-13,99
2011-03-20,54
2011-03-27,68
2011-04-03,27
2011-04-10,47
2011-04-17,100
2011-04-24,79
2011-05-01,76
2011-05-08,84
2011-05-15,48
2011-05-22,23
2011-05-29,29
2011-06-05,35
2011-06-12,34
2011-06-19,29
2011-06-26,0
2011-07-03,22
2011-07-10,24
2011-07-17,33
2011-07-24,100
2011-07-31,47
2011-08-07,42
2011-08-14,14
2011-08-21,14
2011-08-28,15
2011-09-04,15
2011-09-11,24
2011-09-18,14
2011-09-25,21
2011-10-02,90
2011-10-09,92
2011-10-16,94
2011-10-23,96
2011-10-30,98
2011-11-06,98
2011-11-13,99
2011-11-20,99
2011-11-27,100
2011-12-04,100
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,18
2012-01-22,16
2012-01-29,38
2012-02-05,29
2012-02-12,44
2012-02-19,100
2012-02-26,36
2012-03-04,56
2012-03-11,39
2012-03-18,39
2012-03-25,31
2012-04-01,34
2012-04-08,24
2012-04-15,24
2012-04-22,31
2012-04-29,21
2012-05-06,27
2012-05-13,100
2012-05-20,36
2012-05-27,21
2012-06-03,19
2012-06-10,19
2012-06-17,19
2012-06-24,19
2012-07-01,76
2012-07-08,75
2012-07-15,79
2012-07-22,83
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,73
2012-09-09,100
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,20
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,16
2012-11-25,35
2012-12-02,54
2012-12-09,100
2012-12-16,50
2012-12-23,40
2012-12-30,0
2013-01-06,0
2013-01-13,58
2013-01-20,68
2013-01-27,58
2013-02-03,100
2013-02-10,69
2013-02-17,67
2013-02-24,70
2013-03-03,73
2013-03-10,76
2013-03-17,63
2013-03-24,63
2013-03-31,0
2013-04-07,30
2013-04-14,36
2013-04-21,31
2013-04-28,31
2013-05-05,49
2013-05-12,67
2013-05-19,100
2013-05-26,58
2013-06-02,42
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,84
2013-07-21,87
2013-07-28,54
2013-08-04,50
2013-08-11,64
2013-08-18,56
2013-08-25,56
2013-09-01,56
2013-09-08,64
2013-09-15,59
2013-09-22,64
2013-09-29,100
2013-10-06,37
2013-10-13,30
2013-10-20,36
2013-10-27,36
2013-11-03,100
2013-11-10,41
2013-11-17,32
2013-11-24,36
