Date,Merrill Lynch
2004-01-01,79
2004-02-01,100
2004-03-01,53
2004-04-01,86
2004-05-01,85
2004-06-01,82
2004-07-01,58
2004-08-01,69
2004-09-01,46
2004-10-01,53
2004-11-01,68
2004-12-01,55
2005-01-02,87
2005-01-09,95
2005-01-16,96
2005-01-23,97
2005-01-30,98
2005-02-06,94
2005-02-13,78
2005-02-20,89
2005-02-27,91
2005-03-06,86
2005-03-13,67
2005-03-20,79
2005-03-27,90
2005-04-03,73
2005-04-10,73
2005-04-17,66
2005-04-24,65
2005-05-01,68
2005-05-08,71
2005-05-15,73
2005-05-22,76
2005-05-29,78
2005-06-05,87
2005-06-12,96
2005-06-19,92
2005-06-26,92
2005-07-03,92
2005-07-10,92
2005-07-17,92
2005-07-24,0
2005-07-31,0
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,72
2005-09-04,56
2005-09-11,56
2005-09-18,64
2005-09-25,71
2005-10-02,78
2005-10-09,66
2005-10-16,54
2005-10-23,54
2005-10-30,54
2005-11-06,65
2005-11-13,77
2005-11-20,88
2005-11-27,100
2005-12-04,60
2005-12-11,92
2005-12-18,0
2005-12-25,0
2006-01-01,69
2006-01-08,49
2006-01-15,100
2006-01-22,43
2006-01-29,56
2006-02-05,71
2006-02-12,65
2006-02-19,88
2006-02-26,38
2006-03-05,51
2006-03-12,63
2006-03-19,62
2006-03-26,94
2006-04-02,52
2006-04-09,43
2006-04-16,96
2006-04-23,55
2006-04-30,37
2006-05-07,47
2006-05-14,53
2006-05-21,40
2006-05-28,44
2006-06-04,40
2006-06-11,56
2006-06-18,44
2006-06-25,45
2006-07-02,45
2006-07-09,40
2006-07-16,73
2006-07-23,54
2006-07-30,54
2006-08-06,68
2006-08-13,53
2006-08-20,53
2006-08-27,53
2006-09-03,53
2006-09-10,54
2006-09-17,59
2006-09-24,50
2006-10-01,50
2006-10-08,74
2006-10-15,51
2006-10-22,57
2006-10-29,45
2006-11-05,61
2006-11-12,48
2006-11-19,35
2006-11-26,53
2006-12-03,45
2006-12-10,61
2006-12-17,68
2006-12-24,57
2006-12-31,49
2007-01-07,22
2007-01-14,34
2007-01-21,28
2007-01-28,23
2007-02-04,28
2007-02-11,21
2007-02-18,12
2007-02-25,24
2007-03-04,21
2007-03-11,14
2007-03-18,20
2007-03-25,20
2007-04-01,23
2007-04-08,12
2007-04-15,30
2007-04-22,24
2007-04-29,21
2007-05-06,18
2007-05-13,26
2007-05-20,22
2007-05-27,22
2007-06-03,23
2007-06-10,28
2007-06-17,16
2007-06-24,22
2007-07-01,34
2007-07-08,20
2007-07-15,18
2007-07-22,23
2007-07-29,21
2007-08-05,27
2007-08-12,19
2007-08-19,25
2007-08-26,21
2007-09-02,23
2007-09-09,9
